lane,allocation,key,share_rebuilt,share_published,se_rebuilt,se_published,carries_cps_replicates
receipts,shared,population,0.12145291772164984,0.1214529177216494,0.0011234465853476516,0.0011234465853476,True
receipts,shared,resident_population,0.12024478948134319,0.1202447894813429,0.001112271328534717,0.0011122713285346,True
receipts,shared,adults,0.11204841171090776,0.1120484117109079,0.0010952077513965792,0.0010952077513965,True
receipts,shared,wage,0.08782377602322258,0.0878237760232223,0.0013996024732035384,0.0013996024732035,True
receipts,shared,wage_oasdi,0.09497098222247717,0.0949709822224771,0.0012661745837232782,0.0012661745837233,True
receipts,shared,self_payroll,0.106786482208763,0.106786482208763,0.007009372345819277,0.0070093723458192,True
receipts,shared,positive_fica_worker,0.12104868583474672,0.1210486858347467,0.0013418247016112334,0.0013418247016112,True
receipts,shared,capital,0.03716970005337933,0.0371697000533793,0.0020283466496496382,0.0020283466496496,True
receipts,shared,interest_dividend,0.03692674158156219,0.0369267415815621,0.0020495843774009028,0.0020495843774009,True
receipts,shared,federal_liability,0.057399419379125766,0.0573994193791256,0.0019724815427388056,0.0019724815427388,True
receipts,shared,federal_high_agi,0.03275263245569169,0.0327526324556916,0.006746905914429887,0.0067469059144298,True
receipts,shared,state_liability,0.05368359574723252,0.0536835957472325,0.0017905202468118096,0.0017905202468118,True
receipts,shared,consumption,0.08104060733729875,0.0810406073372985,0.0011554357109942836,0.0011554357109943,True
receipts,shared,medicare,0.05414155070643578,0.0541415507064357,0.0015715456000892749,0.0015715456000892,True
receipts,shared,medicare_income,0.027004703308822157,0.0270047033088221,0.001878913323225699,0.0018789133232257,True
receipts,personal,population,0.12145291772164984,0.1214529177216494,0.0011234465853476516,0.0011234465853476,True
receipts,personal,resident_population,0.12024478948134319,0.1202447894813429,0.001112271328534717,0.0011122713285346,True
receipts,personal,adults,0.1090921762606933,0.1090921762606934,0.0010808300555525893,0.0010808300555525,True
receipts,personal,wage,0.08323440807808566,0.0832344080780857,0.001400974441244116,0.001400974441244,True
receipts,personal,wage_oasdi,0.09033905545635842,0.0903390554563584,0.0012030576806045035,0.0012030576806044,True
receipts,personal,self_payroll,0.10243594125760917,0.1024359412576092,0.00666807521717597,0.0066680752171759,True
receipts,personal,positive_fica_worker,0.11769125404979544,0.1176912540497955,0.0012788019244630894,0.0012788019244631,True
receipts,personal,capital,0.03112980957933761,0.0311298095793376,0.0018397793233304886,0.0018397793233304,True
receipts,personal,interest_dividend,0.03194166125174111,0.031941661251741,0.002055476667533869,0.0020554766675338,True
receipts,personal,federal_liability,0.05334829866810944,0.0533482986681094,0.001988570068684001,0.001988570068684,True
receipts,personal,federal_high_agi,0.0306326558871456,0.0306326558871455,0.006653119709109508,0.0066531197091095,True
receipts,personal,state_liability,0.05004425786251184,0.0500442578625119,0.0017762350430224434,0.0017762350430224,True
receipts,personal,consumption,0.08104060733729875,0.0810406073372985,0.0011554357109942836,0.0011554357109943,True
receipts,personal,medicare,0.05128038430571159,0.0512803843057115,0.0014685737962626213,0.0014685737962626,True
receipts,personal,medicare_income,0.02364989552495201,0.023649895524952,0.0018281949574427713,0.0018281949574427,True
spending,personal,social_security,0.041797014662154214,0.0417970146621542,0.0014693584393560774,,True
spending,personal,ssi,0.0822426056638995,0.0822426056638997,0.00850168468449411,,True
spending,personal,cash_assistance,0.16663978632565296,0.1666397863256528,0.0217004201549164,,True
spending,personal,unemployment,0.1132777727694642,0.1132777727694642,0.012744780810367265,,True
spending,personal,veterans,0.05057674009879357,0.0505767400987935,0.005740085867047113,,True
spending,personal,workers_comp,0.19316283508378343,0.1931628350837834,0.0429946315067131,,True
spending,personal,wages,0.08323440807808566,0.0832344080780849,0.001400974441244116,,True
spending,personal,refundable_credits,0.23017283399756377,0.2301728339975643,0.0068921330589119525,,True
spending,personal,all_cash,0.046104627605211966,0.0461046276052118,0.0015075591643169983,,True
spending,personal,snap,0.14814983969377093,0.1481498396937705,0.007374615978410068,,True
spending,personal,energy,0.10707730444856596,0.1070773044485651,0.012907572847659454,,True
spending,personal,wic,0.22875920171485434,0.2287592017148547,0.012980872494807968,,True
spending,personal,housing_support,0.12640990712070327,0.1264099071207035,0.011487967673897145,,True
spending,personal,resources,0.08104060733729875,0.0810406073372979,0.0011554357109942836,,True
spending,personal,population,0.12145291772164984,0.1214529177216476,0.0011234465853476516,,True
spending,personal,age65plus,0.05143129089620316,0.0514312908962027,0.0013615274215601871,,True
spending,personal,working_age,0.12662127637832082,0.1266212763783211,0.0012293164416185406,,True
