arm,account,rate,group,start_age,lifetime,gap_vs_white,gap_change_vs_terminal83,longevity_only
terminal83,partial,0.0,mexico_born,0,-154904.44856820852,554574.4737311925,0.0,25700.871709951432
common_white,partial,0.0,mexico_born,0,-143677.91737252392,528873.6020212411,-25700.871709951432,0.0
group_specific,partial,0.0,mexico_born,0,-181054.26807962023,566249.9527283375,11675.478997144965,37376.3507070964
paradox_fades,partial,0.0,mexico_born,0,-181054.26807962023,566249.9527283375,11675.478997144965,37376.3507070964
mortality_65plus,partial,0.0,mexico_born,0,-172215.013923144,557410.6985718613,2836.2248406687286,28537.09655062016
fenelon_mexican,partial,0.0,mexico_born,0,-163376.85595560592,548572.5406043231,-6001.933126869379,19698.938583082054
truncate83,partial,0.0,mexico_born,0,-101727.88606994742,566666.6866857745,12092.212954581948,37793.08466453338
male,partial,0.0,mexico_born,0,-154561.95103005273,564029.9007134463,9455.42698225379,35156.29869220522
female,partial,0.0,mexico_born,0,-204192.53291273388,564999.8963779086,10425.42264671612,36126.29435666755
lt2023,partial,0.0,mexico_born,0,-176757.48332219917,564457.5361995066,9883.062468314078,35583.93417826551
terminal83,partial,0.0,mexico_born,25,-109094.90062602027,346853.3695982821,0.0,20345.987143132195
common_white,partial,0.0,mexico_born,25,-99254.57120218725,326507.3824551499,-20345.987143132195,0.0
group_specific,partial,0.0,mexico_born,25,-137260.16701475583,364512.97826771846,17659.608669436362,38005.59581256856
paradox_fades,partial,0.0,mexico_born,25,-137260.16701475583,364512.97826771846,17659.608669436362,38005.59581256856
mortality_65plus,partial,0.0,mexico_born,25,-128141.62767152952,355394.43892449216,8541.069326210069,28887.056469342264
fenelon_mexican,partial,0.0,mexico_born,25,-119195.06724285737,346447.87849582,-405.4911024621106,19940.496040670085
truncate83,partial,0.0,mexico_born,25,-56870.93892317731,364844.78253123985,17991.412932957755,38337.40007608995
male,partial,0.0,mexico_born,25,-110725.53617372451,363472.169499425,16618.79990114289,36964.78704427509
female,partial,0.0,mexico_born,25,-160211.72397126013,361952.4279344141,15099.058336132031,35445.04547926423
lt2023,partial,0.0,mexico_born,25,-133057.46610584742,363050.69247564225,16197.322877360159,36543.310020492354
terminal83,partial,0.0,mexican_second_gen,0,-109104.19504400263,508774.2202069866,0.0,24266.851893322484
common_white,partial,0.0,mexican_second_gen,0,-99311.6836649469,484507.3683136641,-24266.851893322484,0.0
group_specific,partial,0.0,mexican_second_gen,0,-143293.2154051289,528488.9000538462,19714.679846859595,43981.53174018208
paradox_fades,partial,0.0,mexican_second_gen,0,-99311.6836649469,484507.3683136641,-24266.851893322484,0.0
mortality_65plus,partial,0.0,mexican_second_gen,0,-133321.31829910536,518517.00294782256,9742.782740835974,34009.63463415846
fenelon_mexican,partial,0.0,mexican_second_gen,0,-108374.55029515135,493570.2349438686,-15203.985263117997,9062.866630204488
truncate83,partial,0.0,mexican_second_gen,0,-49375.30064375809,514314.1012595851,5539.881052598532,29806.732945921016
male,partial,0.0,mexican_second_gen,0,-113078.93854804759,522546.88823144115,13772.668024454557,38039.51991777704
female,partial,0.0,mexican_second_gen,0,-169420.65708171442,530228.0205468892,21453.800339902577,45720.65223322506
lt2023,partial,0.0,mexican_second_gen,0,-138558.30875690456,526258.3616342121,17484.14142722549,41750.993320547976
terminal83,partial,0.0,mexican_second_gen,25,-54864.73384601812,292623.20281827997,0.0,19500.201827109442
common_white,partial,0.0,mexican_second_gen,25,-45870.1897382079,273123.0009911705,-19500.201827109442,0.0
group_specific,partial,0.0,mexican_second_gen,25,-90514.38904585298,317767.2002988156,25143.997480535647,44644.19930764509
paradox_fades,partial,0.0,mexican_second_gen,25,-45870.1897382079,273123.0009911705,-19500.201827109442,0.0
mortality_65plus,partial,0.0,mexican_second_gen,25,-80296.8958481288,307549.7071010914,14926.504282811424,34426.706109920866
fenelon_mexican,partial,0.0,mexican_second_gen,25,-55044.18826475295,282296.9995177156,-10326.203300564375,9173.998526545067
truncate83,partial,0.0,mexican_second_gen,25,4661.874895147777,303311.96871291474,10688.765894634766,30188.967721744208
male,partial,0.0,mexican_second_gen,25,-60064.614695342825,312811.24802104325,20188.045202763285,39688.24702987273
female,partial,0.0,mexican_second_gen,25,-116627.50891725178,318368.2128804058,25745.010062125803,45245.211889235245
lt2023,partial,0.0,mexican_second_gen,25,-85815.48896554904,315808.71533534385,23185.51251706388,42685.71434417332
terminal83,partial,0.0,mexican_third_plus_selfid,0,15749.544302631017,383920.480860353,0.0,22690.204318570788
common_white,partial,0.0,mexican_third_plus_selfid,0,23965.408106935065,361230.2765417822,-22690.204318570788,0.0
group_specific,partial,0.0,mexican_third_plus_selfid,0,-23396.94356867582,408592.62821739307,24672.147357040085,47362.35167561087
paradox_fades,partial,0.0,mexican_third_plus_selfid,0,23965.408106935065,361230.2765417822,-22690.204318570788,0.0
