birth_year,attains_65,single_man,single_woman,one_earner_couple,two_earner_couple,earnings_level
1920,1985,2.06,3.03,6.24,2.93,Very Low
1930,1995,1.44,1.9,3.8,1.98,Very Low
1937,2002,1.43,1.79,3.57,1.98,Very Low
1943,2008,1.4,1.75,3.38,1.9,Very Low
1949,2014,1.5,1.93,3.5,1.95,Very Low
1955,2020,1.67,2.26,3.86,2.15,Very Low
1964,2029,2.02,2.71,4.4,2.53,Very Low
1973,2038,2.25,2.99,4.78,2.76,Very Low
1985,2050,2.19,2.82,4.64,2.69,Very Low
1997,2062,2.04,2.56,4.2,2.48,Very Low
2004,2069,2.0,2.5,4.05,2.42,Very Low
1920,1985,1.91,2.49,4.7,2.36,Low
1930,1995,1.17,1.4,2.65,1.43,Low
1937,2002,1.09,1.3,2.39,1.35,Low
1943,2008,1.04,1.25,2.24,1.28,Low
1949,2014,1.13,1.38,2.38,1.37,Low
1955,2020,1.3,1.63,2.7,1.56,Low
1964,2029,1.56,1.91,3.08,1.82,Low
1973,2038,1.71,2.08,3.33,1.97,Low
1985,2050,1.66,1.95,3.18,1.89,Low
1997,2062,1.53,1.76,2.88,1.74,Low
2004,2069,1.5,1.72,2.78,1.69,Low
1920,1985,1.35,1.66,2.98,1.58,Medium
1930,1995,0.84,0.99,1.78,0.99,Medium
1937,2002,0.78,0.93,1.62,0.93,Medium
1943,2008,0.74,0.88,1.52,0.88,Medium
1949,2014,0.82,0.98,1.64,0.95,Medium
1955,2020,0.95,1.16,1.88,1.1,Medium
1964,2029,1.12,1.31,2.11,1.26,Medium
1973,2038,1.22,1.42,2.28,1.37,Medium
1985,2050,1.17,1.33,2.15,1.3,Medium
1997,2062,1.07,1.2,1.95,1.18,Medium
2004,2069,1.05,1.17,1.88,1.15,Medium
1920,1985,1.27,1.53,2.58,1.43,High
1930,1995,0.75,0.88,1.49,0.85,High
1937,2002,0.68,0.8,1.33,0.77,High
1943,2008,0.63,0.74,1.22,0.72,High
1949,2014,0.7,0.82,1.33,0.79,High
1955,2020,0.83,0.97,1.55,0.92,High
1964,2029,0.94,1.08,1.71,1.03,High
1973,2038,1.02,1.17,1.84,1.12,High
1985,2050,0.97,1.09,1.72,1.05,High
1997,2062,0.88,0.98,1.55,0.95,High
2004,2069,0.86,0.95,1.5,0.93,High
1920,1985,1.27,1.45,2.41,1.38,Maximum
1930,1995,0.73,0.83,1.37,0.8,Maximum
1937,2002,0.66,0.75,1.23,0.72,Maximum
1943,2008,0.59,0.67,1.09,0.65,Maximum
1949,2014,0.62,0.69,1.12,0.67,Maximum
1955,2020,0.67,0.75,1.2,0.72,Maximum
1964,2029,0.71,0.79,1.26,0.76,Maximum
1973,2038,0.79,0.87,1.37,0.84,Maximum
1985,2050,0.76,0.83,1.31,0.8,Maximum
1997,2062,0.68,0.74,1.17,0.72,Maximum
2004,2069,0.66,0.71,1.12,0.69,Maximum
