family_arm,earnings_arm,self_employment,coverage_scale,adjustment,group,population,per_person_year,total_bn,oasdi_tax_per_person,ss_benefit_per_person,std_vs_white,gap_change,complete_gap_after
observed_family,individual,True,1.0,accrual_only,mexico_born,12220781.882555902,-6337.376759565337,-77.4476990862269,3628.667237221076,1729.1022193618344,-4554.890139317864,1203.346124157033,-6020.653875842967
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,14333217.663520351,-3936.2382027880194,-56.41895893602484,2745.2591102684128,787.1845325458506,-4783.416759617046,974.8195038578506,-6249.180496142149
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,14342574.60627561,-3783.829015402652,-54.26984995080293,2712.0953709253054,1313.7635095058488,-4925.991983789085,832.2442796858122,-6391.755720314188
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,173053893.39728963,-5758.2362634749015,-996.4852044957929,4330.868363684945,4924.000893395011,-5758.236263474897,0.0,-7224.0
observed_family,individual,True,1.0,accrual_only,all_native,283672179.878623,-5124.164321069728,-1453.5828630141143,3837.2860306935636,3853.3631230274277,-5470.219229053716,288.01703442118105,-6935.982965578819
observed_family,individual,True,1.0,cash_to_accrual,mexico_born,12220781.882555902,-4608.2745402035025,-56.3167180107626,3628.667237221076,1729.1022193618344,-1913.5903146171304,-1079.3549445372446,-8303.354944537245
observed_family,individual,True,1.0,cash_to_accrual,mexican_second_gen,14333217.663520351,-3149.0536702421687,-45.13607168968864,2745.2591102684128,787.1845325458506,-637.1997235873491,197.03564649253667,-7026.964353507463
observed_family,individual,True,1.0,cash_to_accrual,mexican_third_plus_selfid,14342574.60627561,-2470.0655058968036,-35.42709880071281,2712.0953709253054,1313.7635095058488,-1113.1997831750143,-278.9644130951285,-7502.964413095128
observed_family,individual,True,1.0,cash_to_accrual,third_plus_nh_white,173053893.39728963,-834.2353700798895,-144.3676788020537,4330.868363684945,4924.000893395011,-834.2353700798858,0.0,-7224.0
observed_family,individual,True,1.0,cash_to_accrual,all_native,283672179.878623,-1270.8011980423014,-360.4909460410253,3837.2860306935636,3853.3631230274277,-674.9060956743149,159.3292744055709,-7064.670725594429
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,40896574.15235186,-4600.299948650721,-188.13650797305468,2997.6099450490483,1253.323060287263,-4717.429956177672,1040.8063072972254,-6183.193692702775
observed_family,individual,True,1.0,cash_to_accrual,mexican_observed_total,40896574.15235186,-3346.9768883634574,-136.87988850116403,2997.6099450490483,1253.323060287263,-1509.4441124958369,-675.2087424159511,-7899.208742415951
