family_arm,earnings_arm,self_employment,coverage_scale,adjustment,group,band,adjustment_per_person
observed_family,individual,True,1.0,accrual_only,mexico_born,0,-252.46177365062061
observed_family,individual,True,1.0,accrual_only,mexico_born,1,-3338.117297295145
observed_family,individual,True,1.0,accrual_only,mexico_born,2,-6924.577897149937
observed_family,individual,True,1.0,accrual_only,mexico_born,3,-7614.646882067586
observed_family,individual,True,1.0,accrual_only,mexico_born,4,-8521.523990220541
observed_family,individual,True,1.0,accrual_only,mexico_born,5,-6884.939067021482
observed_family,individual,True,1.0,accrual_only,mexico_born,6,-2996.5265100138395
observed_family,individual,True,1.0,accrual_only,mexico_born,7,-656.1384509096447
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,0,-42.516039463056124
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,1,-3545.423833255206
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,2,-7477.14921776974
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,3,-9121.221145232554
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,4,-8700.90458558429
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,5,-7268.875964137094
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,6,-2310.3773339494396
observed_family,individual,True,1.0,accrual_only,mexican_second_gen,7,-726.1210658624582
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,0,-63.86126032079332
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,1,-3430.680370566171
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,2,-7530.053583024152
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,3,-8969.764635207423
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,4,-9918.751570065624
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,5,-6874.565066695119
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,6,-2816.435801013165
observed_family,individual,True,1.0,accrual_only,mexican_third_plus_selfid,7,-768.0588167401053
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,0,-98.70757723822987
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,1,-3868.5392149841123
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,2,-8537.299247426059
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,3,-10566.330041499745
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,4,-11180.569075715772
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,5,-8726.183897359717
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,6,-3179.7072140862347
observed_family,individual,True,1.0,accrual_only,third_plus_nh_white,7,-872.1721136298847
observed_family,individual,True,1.0,accrual_only,all_native,0,-80.89857471857746
observed_family,individual,True,1.0,accrual_only,all_native,1,-3520.7242632416237
observed_family,individual,True,1.0,accrual_only,all_native,2,-8014.657016800889
observed_family,individual,True,1.0,accrual_only,all_native,3,-10103.449752130395
observed_family,individual,True,1.0,accrual_only,all_native,4,-10633.376127799133
observed_family,individual,True,1.0,accrual_only,all_native,5,-8330.203317496873
observed_family,individual,True,1.0,accrual_only,all_native,6,-3093.6293501568293
observed_family,individual,True,1.0,accrual_only,all_native,7,-841.2714983784524
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,0,-62.81512145646714
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,1,-3483.543448847035
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,2,-7344.537062295668
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,3,-8394.614779214297
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,4,-8885.144529985668
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,5,-6937.7908128757845
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,6,-2838.299909693955
observed_family,individual,True,1.0,accrual_only,mexican_observed_total,7,-706.1729240102871
