year,table,age,lx,Lx
2024,hispanic,0,100000.0,99562.1484375
2024,hispanic,1,99509.6875,99493.4765625
2024,hispanic,2,99477.265625,99466.109375
2024,hispanic,3,99454.9609375,99446.953125
2024,hispanic,4,99438.9453125,99431.796875
2024,hispanic,5,99424.640625,99418.359375
2024,hispanic,6,99412.0703125,99406.28125
2024,hispanic,7,99400.5,99395.109375
2024,hispanic,8,99389.7109375,99384.765625
2024,hispanic,9,99379.8125,99375.328125
2024,hispanic,10,99370.8359375,99366.6015625
2024,hispanic,11,99362.3671875,99357.78125
2024,hispanic,12,99353.1875,99347.171875
2024,hispanic,13,99341.15625,99332.453125
2024,hispanic,14,99323.75,99311.53125
2024,hispanic,15,99299.3125,99283.34375
2024,hispanic,16,99267.3828125,99247.8671875
2024,hispanic,17,99228.3515625,99205.40625
2024,hispanic,18,99182.46875,99156.2578125
2024,hispanic,19,99130.046875,99100.59375
2024,hispanic,20,99071.1484375,99038.1796875
2024,hispanic,21,99005.2109375,98968.59375
2024,hispanic,22,98931.984375,98892.109375
2024,hispanic,23,98852.2265625,98809.71875
2024,hispanic,24,98767.203125,98722.5390625
2024,hispanic,25,98677.875,98631.234375
2024,hispanic,26,98584.6015625,98535.796875
2024,hispanic,27,98487.0,98435.7578125
2024,hispanic,28,98384.515625,98330.453125
2024,hispanic,29,98276.390625,98219.3046875
2024,hispanic,30,98162.21875,98102.1015625
2024,hispanic,31,98041.984375,97979.046875
2024,hispanic,32,97916.1015625,97850.59375
2024,hispanic,33,97785.0859375,97717.296875
2024,hispanic,34,97649.5,97579.546875
2024,hispanic,35,97509.59375,97437.390625
2024,hispanic,36,97365.1953125,97290.5546875
2024,hispanic,37,97215.9140625,97138.71875
2024,hispanic,38,97061.5234375,96981.6875
2024,hispanic,39,96901.84375,96819.2734375
2024,hispanic,40,96736.703125,96651.296875
2024,hispanic,41,96565.890625,96477.40625
2024,hispanic,42,96388.921875,96296.9375
2024,hispanic,43,96204.9609375,96108.875
2024,hispanic,44,96012.78125,95911.90625
2024,hispanic,45,95811.0234375,95704.765625
2024,hispanic,46,95598.515625,95486.3515625
2024,hispanic,47,95374.1875,95255.46875
2024,hispanic,48,95136.75,95010.890625
2024,hispanic,49,94885.0234375,94751.453125
2024,hispanic,50,94617.8828125,94475.921875
2024,hispanic,51,94333.9609375,94182.8359375
2024,hispanic,52,94031.7109375,93870.640625
2024,hispanic,53,93709.578125,93537.6171875
2024,hispanic,54,93365.65625,93181.640625
2024,hispanic,55,92997.6171875,92800.84375
2024,hispanic,56,92604.0703125,92393.28125
2024,hispanic,57,92182.5,91955.1875
2024,hispanic,58,91727.8828125,91481.0859375
2024,hispanic,59,91234.2890625,90965.75
2024,hispanic,60,90697.2109375,90405.1875
2024,hispanic,61,90113.171875,89797.234375
2024,hispanic,62,89481.296875,89142.0625
2024,hispanic,63,88802.828125,88441.4296875
2024,hispanic,64,88080.03125,87696.6328125
2024,hispanic,65,87313.234375,86906.40625
2024,hispanic,66,86499.5859375,86066.765625
2024,hispanic,67,85633.953125,85172.5234375
2024,hispanic,68,84711.09375,84217.9765625
2024,hispanic,69,83724.859375,83196.90625
2024,hispanic,70,82668.953125,82103.171875
2024,hispanic,71,81537.390625,80930.3828125
2024,hispanic,72,80323.375,79671.3359375
2024,hispanic,73,79019.296875,78318.6875
2024,hispanic,74,77618.078125,76865.7890625
2024,hispanic,75,76113.5,75306.671875
2024,hispanic,76,74499.8515625,73636.1875
2024,hispanic,77,72772.515625,71852.953125
2024,hispanic,78,70933.390625,69930.1640625
2024,hispanic,79,68926.9375,67851.015625
2024,hispanic,80,66775.1015625,65602.0625
2024,hispanic,81,64429.0234375,63169.16015625
2024,hispanic,82,61909.296875,60541.1328125
2024,hispanic,83,59172.97265625,57722.16796875
2024,hispanic,84,56271.36328125,54725.87890625
2024,hispanic,85,53180.39453125,51579.4921875
2024,hispanic,86,49978.5859375,48277.3359375
2024,hispanic,87,46576.08203125,44786.79296875
2024,hispanic,88,42997.50390625,41137.2890625
2024,hispanic,89,39277.0703125,37367.9453125
2024,hispanic,90,35458.8203125,33527.45703125
2024,hispanic,91,31596.09375,29673.087890625
2024,hispanic,92,27750.08203125,25868.71484375
2024,hispanic,93,23987.34765625,22181.841796875
2024,hispanic,94,20376.3359375,18679.703125
2024,hispanic,95,16983.0703125,15424.748046875
2024,hispanic,96,13866.42578125,12469.986328125
2024,hispanic,97,11073.5458984375,9854.8046875
2024,hispanic,98,8636.064453125,7601.91796875
2024,hispanic,99,6567.771484375,5715.966796875
2024,hispanic,100,4864.16162109375,12900.39453125
2024,hispanic_male,0,100000.0,99541.8515625
2024,hispanic_male,1,99487.53125,99471.3828125
2024,hispanic_male,2,99455.234375,99442.5
2024,hispanic_male,3,99429.765625,99421.59375
2024,hispanic_male,4,99413.4140625,99406.921875
2024,hispanic_male,5,99400.4296875,99393.84375
2024,hispanic_male,6,99387.265625,99381.078125
2024,hispanic_male,7,99374.8828125,99369.09375
2024,hispanic_male,8,99363.296875,99358.1484375
2024,hispanic_male,9,99353.0,99348.6640625
2024,hispanic_male,10,99344.328125,99340.5859375
2024,hispanic_male,11,99336.84375,99332.78125
2024,hispanic_male,12,99328.7265625,99322.65625
2024,hispanic_male,13,99316.5859375,99306.46875
2024,hispanic_male,14,99296.3515625,99280.859375
2024,hispanic_male,15,99265.3671875,99244.140625
2024,hispanic_male,16,99222.921875,99196.3125
2024,hispanic_male,17,99169.6953125,99137.9453125
2024,hispanic_male,18,99106.1953125,99069.609375
2024,hispanic_male,19,99033.0234375,98991.6796875
2024,hispanic_male,20,98950.3359375,98903.890625
2024,hispanic_male,21,98857.4453125,98805.671875
2024,hispanic_male,22,98753.8984375,98697.0703125
2024,hispanic_male,23,98640.2421875,98578.890625
2024,hispanic_male,24,98517.53125,98452.09375
2024,hispanic_male,25,98386.6484375,98317.21875
2024,hispanic_male,26,98247.796875,98174.2734375
2024,hispanic_male,27,98100.75,98023.2421875
2024,hispanic_male,28,97945.734375,97864.453125
2024,hispanic_male,29,97783.171875,97698.3984375
2024,hispanic_male,30,97613.625,97525.5546875
2024,hispanic_male,31,97437.484375,97346.3125
2024,hispanic_male,32,97255.1484375,97161.15625
2024,hispanic_male,33,97067.171875,96970.578125
2024,hispanic_male,34,96873.9921875,96774.8671875
2024,hispanic_male,35,96675.7421875,96574.140625
2024,hispanic_male,36,96472.546875,96368.34375
2024,hispanic_male,37,96264.140625,96156.9375
2024,hispanic_male,38,96049.734375,95939.03125
2024,hispanic_male,39,95828.328125,95713.7734375
2024,hispanic_male,40,95599.21875,95480.46875
2024,hispanic_male,41,95361.7109375,95238.6875
2024,hispanic_male,42,95115.65625,94988.5625
2024,hispanic_male,43,94861.4609375,94730.546875
2024,hispanic_male,44,94599.640625,94464.828125
2024,hispanic_male,45,94330.0078125,94190.9765625
2024,hispanic_male,46,94051.9453125,93907.78125
2024,hispanic_male,47,93763.609375,93612.765625
2024,hispanic_male,48,93461.9296875,93302.515625
2024,hispanic_male,49,93143.1015625,92973.5390625
2024,hispanic_male,50,92803.9765625,92623.140625
2024,hispanic_male,51,92442.3125,92249.515625
2024,hispanic_male,52,92056.71875,91851.359375
2024,hispanic_male,53,91646.0078125,91427.59375
2024,hispanic_male,54,91209.171875,90976.859375
2024,hispanic_male,55,90744.546875,90497.65625
2024,hispanic_male,56,90250.7734375,89987.78125
2024,hispanic_male,57,89724.78125,89442.8515625
2024,hispanic_male,58,89160.921875,88856.546875
2024,hispanic_male,59,88552.1796875,88222.53125
2024,hispanic_male,60,87892.875,87536.140625
2024,hispanic_male,61,87179.40625,86794.96875
2024,hispanic_male,62,86410.53125,85997.953125
2024,hispanic_male,63,85585.3671875,85144.359375
2024,hispanic_male,64,84703.34375,84232.9453125
2024,hispanic_male,65,83762.546875,83260.265625
2024,hispanic_male,66,82757.984375,82221.359375
2024,hispanic_male,67,81684.7265625,81112.7890625
2024,hispanic_male,68,80540.8515625,79933.515625
2024,hispanic_male,69,79326.171875,78682.953125
2024,hispanic_male,70,78039.734375,77358.578125
2024,hispanic_male,71,76677.4140625,75954.796875
2024,hispanic_male,72,75232.1796875,74465.3125
2024,hispanic_male,73,73698.4453125,72885.078125
2024,hispanic_male,74,72071.71875,71210.34375
2024,hispanic_male,75,70348.9609375,69438.6640625
2024,hispanic_male,76,68528.3671875,67568.5390625
2024,hispanic_male,77,66608.7109375,65600.484375
2024,hispanic_male,78,64592.25390625,63506.3984375
2024,hispanic_male,79,62420.54296875,61264.375
2024,hispanic_male,80,60108.20703125,58857.77734375
2024,hispanic_male,81,57607.34765625,56280.015625
2024,hispanic_male,82,54952.6796875,53520.2734375
2024,hispanic_male,83,52087.87109375,50592.73046875
2024,hispanic_male,84,49097.58984375,47515.28125
2024,hispanic_male,85,45932.96875,44303.23046875
2024,hispanic_male,86,42673.4921875,41020.1171875
2024,hispanic_male,87,39366.74609375,37643.953125
2024,hispanic_male,88,35921.1640625,34150.046875
2024,hispanic_male,89,32378.93359375,30585.265625
2024,hispanic_male,90,28791.59765625,27005.107421875
2024,hispanic_male,91,25218.6171875,23471.73046875
2024,hispanic_male,92,21724.84375,20050.896484375
2024,hispanic_male,93,18376.94921875,16807.974609375
2024,hispanic_male,94,15239.0009765625,13803.314453125
2024,hispanic_male,95,12367.62890625,11087.51171875
2024,hispanic_male,96,9807.3955078125,8697.23828125
2024,hispanic_male,97,7587.08203125,6652.3173828125
2024,hispanic_male,98,5717.552734375,4954.5888671875
2024,hispanic_male,99,4191.62451171875,3588.826416015625
2024,hispanic_male,100,2986.0283203125,7231.2783203125
2024,hispanic_female,0,100000.0,99583.59375
2024,hispanic_female,1,99532.65625,99516.65625
2024,hispanic_female,2,99500.6484375,99491.375
2024,hispanic_female,3,99482.109375,99474.421875
2024,hispanic_female,4,99466.7265625,99458.9921875
2024,hispanic_female,5,99451.2578125,99445.390625
2024,hispanic_female,6,99439.53125,99434.2578125
2024,hispanic_female,7,99428.984375,99424.09375
2024,hispanic_female,8,99419.1953125,99414.546875
2024,hispanic_female,9,99409.8984375,99405.375
2024,hispanic_female,10,99400.84375,99396.25
2024,hispanic_female,11,99391.6640625,99386.703125
2024,hispanic_female,12,99381.7421875,99375.96875
2024,hispanic_female,13,99370.1953125,99363.125
2024,hispanic_female,14,99356.046875,99347.359375
2024,hispanic_female,15,99338.6640625,99328.265625
2024,hispanic_female,16,99317.859375,99305.8046875
2024,hispanic_female,17,99293.75,99280.09375
2024,hispanic_female,18,99266.4453125,99251.25
2024,hispanic_female,19,99236.0546875,99219.34375
2024,hispanic_female,20,99202.625,99184.1875
2024,hispanic_female,21,99165.7578125,99145.578125
2024,hispanic_female,22,99125.40625,99103.890625
2024,hispanic_female,23,99082.3828125,99060.15625
2024,hispanic_female,24,99037.921875,99015.3984375
2024,hispanic_female,25,98992.875,98970.265625
2024,hispanic_female,26,98947.65625,98924.71875
2024,hispanic_female,27,98901.7890625,98877.9453125
2024,hispanic_female,28,98854.1015625,98828.5234375
2024,hispanic_female,29,98802.9453125,98775.0546875
2024,hispanic_female,30,98747.1640625,98716.7734375
2024,hispanic_female,31,98686.3828125,98653.671875
2024,hispanic_female,32,98620.96875,98586.171875
2024,hispanic_female,33,98551.375,98514.8046875
2024,hispanic_female,34,98478.234375,98440.0625
2024,hispanic_female,35,98401.8828125,98361.890625
2024,hispanic_female,36,98321.890625,98279.8125
2024,hispanic_female,37,98237.7421875,98193.7109375
2024,hispanic_female,38,98149.6796875,98103.953125
2024,hispanic_female,39,98058.21875,98010.90625
2024,hispanic_female,40,97963.5859375,97914.796875
2024,hispanic_female,41,97866.0,97815.3125
2024,hispanic_female,42,97764.6328125,97711.03125
2024,hispanic_female,43,97657.421875,97599.4375
2024,hispanic_female,44,97541.4453125,97477.8359375
2024,hispanic_female,45,97414.2265625,97344.1484375
2024,hispanic_female,46,97274.0703125,97197.375
2024,hispanic_female,47,97120.6875,97037.6171875
2024,hispanic_female,48,96954.546875,96865.796875
2024,hispanic_female,49,96777.0390625,96683.015625
2024,hispanic_female,50,96589.0,96489.4375
2024,hispanic_female,51,96389.8828125,96283.921875
2024,hispanic_female,52,96177.953125,96064.671875
2024,hispanic_female,53,95951.3984375,95829.5078125
2024,hispanic_female,54,95707.6171875,95575.703125
2024,hispanic_female,55,95443.7890625,95301.1875
2024,hispanic_female,56,95158.578125,95004.28125
2024,hispanic_female,57,94849.9921875,94681.7421875
2024,hispanic_female,58,94513.4921875,94328.71875
2024,hispanic_female,59,94143.953125,93940.828125
2024,hispanic_female,60,93737.703125,93514.453125
2024,hispanic_female,61,93291.203125,93047.5
2024,hispanic_female,62,92803.8046875,92541.1015625
2024,hispanic_female,63,92278.3984375,91998.9375
2024,hispanic_female,64,91719.484375,91424.28125
2024,hispanic_female,65,91129.0859375,90817.484375
2024,hispanic_female,66,90505.875,90175.0078125
2024,hispanic_female,67,89844.140625,89489.796875
2024,hispanic_female,68,89135.453125,88751.859375
2024,hispanic_female,69,88368.265625,87949.890625
2024,hispanic_female,70,87531.5078125,87074.3671875
2024,hispanic_female,71,86617.2265625,86117.8125
2024,hispanic_female,72,85618.3984375,85071.984375
2024,hispanic_female,73,84525.578125,83927.5859375
2024,hispanic_female,74,83329.59375,82675.59375
2024,hispanic_female,75,82021.5859375,81307.078125
2024,hispanic_female,76,80592.578125,79813.546875
2024,hispanic_female,77,79034.5078125,78191.1875
2024,hispanic_female,78,77347.8671875,76411.7421875
2024,hispanic_female,79,75475.6171875,74460.75
2024,hispanic_female,80,73445.890625,72324.59375
2024,hispanic_female,81,71203.296875,69978.671875
2024,hispanic_female,82,68754.0546875,67410.015625
2024,hispanic_female,83,66065.984375,64612.91015625
2024,hispanic_female,84,63159.8359375,61597.1796875
2024,hispanic_female,85,60034.52734375,58380.515625
2024,hispanic_female,86,56726.50390625,54940.65625
2024,hispanic_female,87,53154.8125,51246.5234375
2024,hispanic_female,88,49338.23046875,47322.890625
2024,hispanic_female,89,45307.5546875,43207.1484375
2024,hispanic_female,90,41106.7421875,38949.984375
2024,hispanic_female,91,36793.2265625,34615.140625
2024,hispanic_female,92,32437.05078125,30277.802734375
2024,hispanic_female,93,28118.5546875,26021.484375
2024,hispanic_female,94,23924.4140625,21933.30078125
2024,hispanic_female,95,19942.185546875,18097.958984375
2024,hispanic_female,96,16253.7333984375,14591.025390625
2024,hispanic_female,97,12928.318359375,11472.3388671875
2024,hispanic_female,98,10016.359375,8780.6640625
2024,hispanic_female,99,7544.9677734375,6530.56005859375
2024,hispanic_female,100,5516.15234375,13905.458984375
2024,nh_white,0,100000.0,99613.0390625
2024,nh_white,1,99558.765625,99541.9921875
2024,nh_white,2,99525.21875,99514.3125
2024,nh_white,3,99503.4140625,99494.5625
2024,nh_white,4,99485.703125,99479.265625
2024,nh_white,5,99472.8359375,99466.71875
2024,nh_white,6,99460.6015625,99454.9609375
2024,nh_white,7,99449.3203125,99444.015625
2024,nh_white,8,99438.7109375,99433.7421875
2024,nh_white,9,99428.7734375,99424.125
2024,nh_white,10,99419.46875,99414.9140625
2024,nh_white,11,99410.359375,99405.359375
2024,nh_white,12,99400.3515625,99393.96875
2024,nh_white,13,99387.578125,99378.71875
2024,nh_white,14,99369.8515625,99357.78125
2024,nh_white,15,99345.71875,99330.1640625
2024,nh_white,16,99314.609375,99295.71875
2024,nh_white,17,99276.8203125,99254.875
2024,nh_white,18,99232.9296875,99208.359375
2024,nh_white,19,99183.796875,99156.8984375
2024,nh_white,20,99130.0,99100.578125
2024,nh_white,21,99071.1640625,99039.0625
2024,nh_white,22,99006.96875,98972.4921875
2024,nh_white,23,98938.015625,98901.546875
2024,nh_white,24,98865.0859375,98826.8046875
2024,nh_white,25,98788.5234375,98748.484375
2024,nh_white,26,98708.4375,98666.234375
2024,nh_white,27,98624.03125,98578.859375
2024,nh_white,28,98533.6796875,98484.546875
2024,nh_white,29,98435.4140625,98381.703125
2024,nh_white,30,98328.0,98269.5625
