load_decile,n,median_fb_per_permit_unit,median_recent_fb_share,median_fb_share,median_margin_shift_pp,median_wkly_wage_change_pp,median_employment_change_pp,median_net_us_migration_share_pp
D1,233,0.041666666666666664,0.0002217013998859,0.0157107703956085,3.11822699146243,13.556311950924663,6.06538142088995,0.823106854235259
D2,233,0.09643605870020881,0.0004511309748625,0.0204784342152953,2.85275005895686,14.056511942962485,5.846036352192114,0.6374665844129138
D3,232,0.15229276286751323,0.00068718592260185,0.026970327482279,2.673592578401665,13.394485710859474,5.817229537170106,0.5118422384279006
D4,233,0.21511627906976388,0.0007725481178468,0.0312347709551656,2.7910309671099,13.498277168916964,5.824922650693341,0.4561096041470775
D5,232,0.29550108274431147,0.0008417024155463,0.030579881716611898,2.907371221351325,12.930481779952085,4.810277341467915,0.29762133142533675
D6,233,0.4145454545454476,0.0010903206270179,0.0365962223254373,3.21752721997484,12.917775889587823,5.160347746884261,0.118199492323492
D7,232,0.560837630879808,0.00116072407518905,0.038728655940711204,3.6006340244821105,12.977660990769579,4.733775111665082,0.0567289155484092
D8,233,0.873015873015853,0.0014952024439568,0.0484149527466554,3.45811723048473,12.670370141476283,4.702319358033023,-0.13346844954151116
D9,232,1.5031347193469151,0.0016268417288172999,0.052560757966041996,3.739360564952285,12.679770121055661,4.331482983738331,-0.23328625193701655
D10,233,3.5555555555531098,0.0018585178808983,0.0702908312861557,4.90285994671604,11.994933150196315,4.504992257052433,-0.24337133341872677
