outcome,model,term,beta,t_stat,p_value,adj_r2,n
margin_shift,stock_only,z_fb_share,0.015028947603625182,12.078252518504527,1.3761326949544593e-33,0.41513538165695896,2390
margin_shift,flow_only,z_recent_fb_annual_share,0.009889718450209552,9.31877005502434,1.1769669815313214e-20,0.3690783613013625,2390
margin_shift,load_only,z_log_recent_fb_per_permit_unit_w99,0.005446432108433827,6.963445541091321,3.320495572499784e-12,0.34477672573003093,2326
margin_shift,combined,z_log_recent_fb_per_permit_unit_w99,0.002118827143671031,2.7359272644265027,0.006220477376813162,0.4269491345907961,2326
margin_shift,high_load90,high_load_q90,0.014240287983117668,5.538065859208414,3.058302635052636e-08,0.3331551489876523,2390
wkly_wage_log_change,stock_only,z_fb_share,-0.0065797750400103175,-3.965495794924729,7.324354368216841e-05,0.14738755505299606,2390
wkly_wage_log_change,flow_only,z_recent_fb_annual_share,-0.004712242123465696,-3.7515897404171965,0.0001757168346746898,0.14351586371062364,2390
wkly_wage_log_change,load_only,z_log_recent_fb_per_permit_unit_w99,-0.0036614752761042215,-4.0770274314386965,4.5615113075502835e-05,0.154178206038463,2326
wkly_wage_log_change,combined,z_log_recent_fb_per_permit_unit_w99,-0.0024568094244888337,-2.493654044998502,0.01264357083415207,0.15789341148899216,2326
wkly_wage_log_change,high_load90,high_load_q90,-0.010442845585074726,-3.3385136130916004,0.000842279031344537,0.1417318977159736,2390
employment_log_change,stock_only,z_fb_share,0.0023583475016695334,1.3656235529964693,0.1720571500246677,0.09033913267143612,2390
employment_log_change,flow_only,z_recent_fb_annual_share,0.002696220589594697,1.757860458691948,0.07877125522218799,0.09079970483043409,2390
employment_log_change,load_only,z_log_recent_fb_per_permit_unit_w99,-0.008730889729668206,-7.095067593468379,1.292882792506046e-12,0.11664212776831129,2326
employment_log_change,combined,z_log_recent_fb_per_permit_unit_w99,-0.012300469252783459,-8.8321185478677,1.027115012063084e-18,0.12876095277785793,2326
employment_log_change,high_load90,high_load_q90,-0.010616956577143665,-2.4744369126678016,0.013344638705748882,0.0923898751543708,2390
net_us_migration_share,stock_only,z_fb_share,-0.003133381927518024,-14.325542420832482,1.5154026231454263e-46,0.2919660547047692,2390
net_us_migration_share,flow_only,z_recent_fb_annual_share,-0.00325818954457405,-13.711050099750695,8.718679060781126e-43,0.3110469586587322,2390
net_us_migration_share,load_only,z_log_recent_fb_per_permit_unit_w99,-0.002792965234653412,-13.539649872437144,9.122267415452e-42,0.32400898255426813,2326
net_us_migration_share,combined,z_log_recent_fb_per_permit_unit_w99,-0.0020065061280005137,-9.325343998571766,1.1062415325191581e-20,0.3501240073575368,2326
net_us_migration_share,high_load90,high_load_q90,-0.004447701843514843,-8.98596552455563,2.564723895714453e-19,0.254242849388435,2390
