family,recent_quantile,capacity_quantile,outcome,term,beta,t_stat,p_value,adj_r2,n
flow_x_permit,70,25.0,margin_shift,high_recent_q70:low_permit_q25,0.0011717507561841245,0.26700692081229677,0.7894638324486194,0.37892593716067813,2390
flow_x_permit,70,25.0,wkly_wage_log_change,high_recent_q70:low_permit_q25,-0.016010634096416634,-2.558346699576711,0.010517117973093987,0.1464797382413875,2390
flow_x_permit,70,25.0,employment_log_change,high_recent_q70:low_permit_q25,-0.01864517384538629,-2.842219172667196,0.0044800680939713795,0.18237214268494062,2390
flow_x_permit,70,25.0,net_us_migration_share,high_recent_q70:low_permit_q25,0.00120394313542834,1.6713078408446378,0.09466088850694478,0.5522632051456886,2390
flow_x_permit,70,50.0,margin_shift,high_recent_q70:low_permit_q50,0.00616639361407118,2.0588166878164116,0.03951180241945811,0.3825598229830899,2390
flow_x_permit,70,50.0,wkly_wage_log_change,high_recent_q70:low_permit_q50,-0.012546254636688223,-3.2772851103458724,0.001048104770104585,0.14755227392367853,2390
flow_x_permit,70,50.0,employment_log_change,high_recent_q70:low_permit_q50,-0.004733362455841558,-1.0536908888647898,0.2920244616699744,0.18906859535284815,2390
flow_x_permit,70,50.0,net_us_migration_share,high_recent_q70:low_permit_q50,-6.708319203869447e-05,-0.10483297661092394,0.9165083426612316,0.5569911218836874,2390
flow_x_permit,80,25.0,margin_shift,high_recent_q80:low_permit_q25,0.003131084574133425,0.49474511020036843,0.6207800545807467,0.39468910958748427,2390
flow_x_permit,80,25.0,wkly_wage_log_change,high_recent_q80:low_permit_q25,-0.020316283177808606,-2.2479369861939538,0.024580208308325614,0.14403396305466487,2390
flow_x_permit,80,25.0,employment_log_change,high_recent_q80:low_permit_q25,-0.018245306010433456,-2.344404684013226,0.019057480933799834,0.18170413808614438,2390
flow_x_permit,80,25.0,net_us_migration_share,high_recent_q80:low_permit_q25,0.0018716917391489517,2.249172678927962,0.02450151198018526,0.5493529990831549,2390
flow_x_permit,80,50.0,margin_shift,high_recent_q80:low_permit_q50,0.008546939406141082,2.178044628263724,0.02940271435922033,0.39872630104528906,2390
flow_x_permit,80,50.0,wkly_wage_log_change,high_recent_q80:low_permit_q50,-0.015095158936775795,-3.1836939013398813,0.0014540868825076712,0.14529877620243303,2390
flow_x_permit,80,50.0,employment_log_change,high_recent_q80:low_permit_q50,-0.0030219717049020742,-0.6097687532594019,0.54201500299977,0.18916087711924556,2390
flow_x_permit,80,50.0,net_us_migration_share,high_recent_q80:low_permit_q50,0.00025069846989448654,0.3261004706370772,0.7443483409576447,0.5537334293886771,2390
flow_x_permit,90,25.0,margin_shift,high_recent_q90:low_permit_q25,-0.0002790583020193995,-0.025234467368025572,0.979867944719109,0.40708134730038315,2390
flow_x_permit,90,25.0,wkly_wage_log_change,high_recent_q90:low_permit_q25,-0.012686797707659042,-1.508694077133256,0.13137697983656155,0.14011761514872034,2390
flow_x_permit,90,25.0,employment_log_change,high_recent_q90:low_permit_q25,-0.011264353418199912,-1.5262217720750249,0.12695464303756904,0.18027065359396877,2390
flow_x_permit,90,25.0,net_us_migration_share,high_recent_q90:low_permit_q25,0.00444794527913942,3.490819536975326,0.00048154139609670485,0.5484020523415628,2390
flow_x_permit,90,50.0,margin_shift,high_recent_q90:low_permit_q50,0.009366753218117495,1.499224483633936,0.13381540543594958,0.40998938175998567,2390
flow_x_permit,90,50.0,wkly_wage_log_change,high_recent_q90:low_permit_q50,-0.010097090461194409,-1.8682769602460656,0.061723476345102474,0.14087788592563932,2390
flow_x_permit,90,50.0,employment_log_change,high_recent_q90:low_permit_q50,0.008730675778482865,1.3141358193060364,0.18880050201349274,0.1894822321784393,2390
flow_x_permit,90,50.0,net_us_migration_share,high_recent_q90:low_permit_q50,0.002851083640540944,2.5883327883301614,0.009644175736954017,0.5529633589723423,2390
load_threshold,80,,margin_shift,high_load_q80,0.0021614479492823553,1.385913172721837,0.1657734179874948,0.41542888745482287,2390
load_threshold,80,,wkly_wage_log_change,high_load_q80,-0.0023055749639298018,-0.9042408165633986,0.3658677213697642,0.147365091344832,2390
load_threshold,80,,employment_log_change,high_load_q80,-0.018325775469782687,-5.7250682596906985,1.0339216102826e-08,0.10245030187864712,2390
load_threshold,80,,net_us_migration_share,high_load_q80,-0.003957000088536177,-10.19678969666989,2.0493468210135217e-24,0.31707720261084926,2390
load_threshold,90,,margin_shift,high_load_q90,0.0023689135842777775,1.0429218006820689,0.29698451183254004,0.41527262432523326,2390
load_threshold,90,,wkly_wage_log_change,high_load_q90,-0.005809025323800995,-1.6829530579095044,0.09238417909198776,0.14831214929741698,2390
load_threshold,90,,employment_log_change,high_load_q90,-0.014200790406912443,-3.0716623645414165,0.0021287035801093855,0.09440316501733026,2390
load_threshold,90,,net_us_migration_share,high_load_q90,-0.0021706633645799727,-4.392802361263163,1.1189884480584511e-05,0.2962002333501622,2390
