country,n_M,n_F,kir_M_bottom_v1-4,kir_M_mid_v9-12,kir_M_top_v17-20,kir_M_slope_per_ventile,kir_F_bottom_v1-4,kir_F_mid_v9-12,kir_F_top_v17-20,kir_F_slope_per_ventile,kfr_P_bottom_v1-4,kfr_P_mid_v9-12,kfr_P_top_v17-20,kfr_P_slope_per_ventile
INDIA,6120,5950,18.7,15.4,8.1,0.98,23.0,20.3,15.0,0.82,26.3,18.6,10.5,0.93
CHINA,4190,3880,18.6,14.0,7.1,0.82,21.1,22.6,14.8,0.79,21.0,16.5,8.4,0.92
ITALY,7320,6890,11.7,7.8,4.6,1.09,13.3,9.3,4.6,0.8,15.3,10.5,4.3,1.13
CUBA,5050,4750,6.3,1.4,2.3,1.36,11.2,7.3,4.7,0.86,8.7,3.1,1.4,1.38
GREECE,2740,2490,12.1,8.6,1.9,1.05,15.6,10.2,3.0,0.56,16.1,9.6,1.7,0.97
SOUTH KOREA,5280,4990,12.5,6.0,1.9,0.96,17.8,12.1,7.2,0.56,17.7,9.1,2.2,0.84
VIETNAM,4250,3850,15.7,8.2,1.6,0.69,24.8,17.8,12.7,0.51,21.2,10.0,3.0,0.69
ISRAEL,1460,1420,8.0,4.1,0.4,1.28,2.0,7.2,3.5,1.35,9.5,7.6,1.7,1.34
USA,2861500,2750000,0.0,0.0,0.0,1.65,0.0,0.0,0.0,1.27,0.0,0.0,0.0,1.85
GERMANY,14700,13550,5.0,0.6,-0.5,1.24,0.6,-0.5,0.4,1.25,6.1,0.6,-0.3,1.41
CANADA,9370,8940,7.1,2.3,-0.5,1.18,2.9,-0.3,-0.8,1.09,9.0,2.3,-0.2,1.27
PHILIPPINES,10700,9890,9.2,2.4,-0.7,1.0,11.7,7.6,7.0,0.98,12.3,3.4,-0.5,1.03
UNITED KINGDOM,7750,7470,3.9,1.3,-1.3,1.38,1.6,-0.4,-0.7,1.2,7.0,1.4,-1.8,1.31
COLOMBIA,1970,1900,12.1,4.1,-1.4,0.83,14.4,6.9,2.1,0.54,12.0,3.6,-2.3,0.97
JAPAN,4520,4170,7.2,1.5,-1.8,1.05,8.0,2.7,-0.3,0.82,9.0,2.4,-2.2,1.13
ECUADOR,1440,1340,9.6,6.2,-2.0,1.0,9.9,7.1,0.0,0.75,10.5,4.1,-3.9,1.02
DOMINICAN REPUBLIC,2500,2240,8.4,-0.4,-2.4,1.03,10.7,6.3,0.3,0.74,6.3,-2.3,-5.7,1.16
EL SALVADOR,2620,2570,8.2,0.5,-3.5,0.92,7.8,7.5,4.5,0.98,8.0,-0.9,-3.9,1.08
MEXICO,63000,59050,5.6,1.3,-4.2,1.04,1.8,2.2,-0.1,1.15,3.7,-1.0,-5.7,1.25
GUATEMALA,1460,1390,8.2,3.3,-4.9,0.79,8.3,4.5,-3.3,0.67,7.2,-0.3,-4.8,1.09
JAMAICA,1930,1870,0.9,-7.0,-6.6,1.27,10.7,4.3,6.6,1.02,1.8,-8.1,-7.9,1.24
HAITI,1750,1890,4.7,-4.7,-8.3,0.86,11.3,8.4,8.9,1.16,3.6,-5.5,-7.8,1.14
IRAN,140,160,11.8,,,,19.4,,,,16.3,,,
