outcome,outcome_label,taxonomy,period,group,n_obs,adjusted_gap,se_adjusted_gap,raw_gap,se_raw_gap
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Africa|1st_foreign_born,7417.0,-0.03829280248044277,0.006313806592886238,-0.014225211195325937,0.006403440641909978
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Africa|2nd_gen_all,955.0,-0.002570555899673885,0.016007165070670768,0.01716361696908475,0.016116662450168608
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Canada|1st_foreign_born,3463.0,0.0033522478904844852,0.009319402769384717,0.005102684051195072,0.009570003316287117
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Canada|2nd_gen_all,5208.0,0.0059214877826055815,0.008295581753152011,-0.011682584289358755,0.00854549093038498
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Other|1st_foreign_born,1678.0,-0.040526975443890806,0.01358118993615075,-0.02685211177526181,0.014222510938582077
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Other|2nd_gen_all,594.0,-0.02247741809472306,0.0225832022944345,-0.003600413747906983,0.023011270148266053
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,US outlying|1st_foreign_born,7649.0,-0.15288727976477243,0.00742444671534913,-0.15748602096427422,0.007622100056936356
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,US outlying|2nd_gen_all,5354.0,-0.08849017901073537,0.0068738261048887795,-0.06328859983879398,0.006858284720315994
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_NH_white,600798.0,0.0,0.0,0.0,0.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_Mexican_selfid,26359.0,-0.05752844819538487,0.003476504154779097,-0.04363824038297082,0.0034488334963509973
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_other,138531.0,-0.1011284191436263,0.001762392302527158,-0.09775282209489944,0.0017845628748222161
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Mexico|1st_foreign_born,59003.0,-0.07841276432313517,0.0021354359777813713,-0.05624089606396043,0.0022483802454702616
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Mexico|2nd_gen_all,23990.0,-0.038985224835336806,0.0035726816234803623,-0.004668097060643639,0.00359922403655523
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Central America|1st_foreign_born,17502.0,-0.046712285511205494,0.003920545128362222,-0.0175053129951086,0.00395182556652129
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Central America|2nd_gen_all,3362.0,-0.02453104604058161,0.008479471229588883,0.016968155464509804,0.008471997789899264
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Caribbean|1st_foreign_born,15222.0,-0.021739814683175877,0.004430674969582753,-0.01834228189767395,0.004449450736833887
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Caribbean|2nd_gen_all,5172.0,-0.02000434550473214,0.007057385165692517,0.015616196877239918,0.00693821001950178
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,South America|1st_foreign_born,13993.0,-0.007481170304532261,0.004548856017538678,0.005006647436590073,0.004501082206857483
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,South America|2nd_gen_all,3004.0,0.015086038195760805,0.008548954995176748,0.05414837006418893,0.008627237152149823
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Europe|1st_foreign_born,15925.0,0.006330484551716534,0.004078499788107823,0.010728249272975554,0.004140051314866648
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Europe|2nd_gen_all,14029.0,0.028237180045417233,0.003939014249050226,0.027498823194338273,0.004100551037341596
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Asia|1st_foreign_born,55940.0,-0.03469188570003996,0.002132656356389727,-0.024666520326819374,0.0022222257243759897
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Asia|2nd_gen_all,15003.0,0.013926407473194099,0.00402110509052948,0.05027315483954731,0.0040822013077739866
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Africa|1st_foreign_born,9286.0,-0.018406851848723736,0.005477028318221604,0.006012640962627103,0.005344013135936725
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Africa|2nd_gen_all,1457.0,-0.014827206835827847,0.012547078748438531,0.023272619976153153,0.012884201715254444
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Canada|1st_foreign_born,2585.0,0.006630167449641463,0.008703172941525528,0.003926911503138952,0.009032589782532022
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Canada|2nd_gen_all,3016.0,0.009277973808262563,0.009952519461317831,-0.003822208794903914,0.010290169810544389
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Other|1st_foreign_born,1640.0,-0.06344994908972887,0.01339003416493157,-0.04657914883957659,0.013432869561066001
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Other|2nd_gen_all,693.0,-0.03746937914507108,0.020689875591447873,-0.0036963547081131365,0.020121929986092406
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,US outlying|1st_foreign_born,6065.0,-0.12638766084885455,0.007161905651647279,-0.1204962909629762,0.007507213774232292
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,US outlying|2nd_gen_all,4590.0,-0.07341680555320076,0.007393321030765292,-0.06408048536389976,0.007498915134991762
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_NH_white,496750.0,0.0,0.0,0.0,0.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_Mexican_selfid,29593.0,-0.04897506309110528,0.003368812944885094,-0.02956779978663815,0.003409182110651736
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_other,130267.0,-0.08579868655152847,0.0017697529717233,-0.08001799003182597,0.001796990634902667
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Mexico|1st_foreign_born,161785.0,-0.10054689738751081,0.0013052749273465927,-0.07546604095021503,0.0013548518524058829
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Mexico|2nd_gen_all,50183.0,-0.04080622266137841,0.0022837081060794965,-0.017885459662640435,0.002297235029772162
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Central America|1st_foreign_born,44868.0,-0.04680140210122334,0.0025087068640292347,-0.020243200885593282,0.002563707059290247
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Central America|2nd_gen_all,6762.0,-0.021196517869820287,0.005916084287701609,0.012035818394421915,0.005791888582603624
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Caribbean|1st_foreign_born,44054.0,-0.03977544451925342,0.002614028785335155,-0.0395856246939883,0.0026018146243015168
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Caribbean|2nd_gen_all,11109.0,-0.02792376553982021,0.005136406898502448,0.0033282321477191568,0.005062354824066645
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,South America|1st_foreign_born,36385.0,-0.01604293513763894,0.0027682574272014093,-0.00400878048553166,0.0027592515132825028
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,South America|2nd_gen_all,6118.0,0.008816730975753183,0.006024130169569746,0.04137709960552949,0.0059681503501921715
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Europe|1st_foreign_born,53572.0,-0.01213901497583233,0.0022282655371850526,-0.015367740812349706,0.0023148509907882993
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Europe|2nd_gen_all,58003.0,0.017129301279532536,0.002161512277153687,0.00024199242473188498,0.002331085037352437
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Asia|1st_foreign_born,140182.0,-0.04090076934038039,0.001375774800437164,-0.03283178708934331,0.0013984731201846453
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Asia|2nd_gen_all,29942.0,0.0038780172828552168,0.002963442542908979,0.030828187861899337,0.0030559901068320733
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Africa|1st_foreign_born,19343.0,-0.030436888751931797,0.004116740964910752,-0.006163466658414829,0.004082302771410212
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Africa|2nd_gen_all,2661.0,-0.006149206497752358,0.009538026905173505,0.021171171185856208,0.009641623204344429
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Canada|1st_foreign_born,9483.0,-0.0006295949116769225,0.004800990225443824,-0.005552201668999945,0.005061855830466989
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Canada|2nd_gen_all,14867.0,0.01240754556508382,0.0047270179991626225,-0.005022351870377695,0.004953367590818804
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Other|1st_foreign_born,4197.0,-0.055082196054929304,0.008388748717658467,-0.04148577177013024,0.00837150505084882
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Other|2nd_gen_all,1553.0,-0.021809697449842715,0.013845252612531278,-0.0008985306115831815,0.013776121250165306
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,US outlying|1st_foreign_born,22114.0,-0.1472864117963791,0.004009048037738486,-0.15018739592908759,0.004238522423679306
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,US outlying|2nd_gen_all,14662.0,-0.08762331613829445,0.004279659150068795,-0.07062241402994751,0.0043158035569320135
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,3rd+_NH_white,1683418.0,0.0,0.0,0.0,0.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,3rd+_Mexican_selfid,76779.0,-0.054129063488520666,0.0020538050225639847,-0.03842009527246204,0.002097063310249266
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,3rd+_other,382713.0,-0.09240168427025093,0.0010981450657273303,-0.08896564735136858,0.0011062312538185348
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Mexico|1st_foreign_born,42104.0,-0.1324430552652945,0.002512941894463824,-0.10374485193790983,0.002584061843536865
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Mexico|2nd_father_foreign,3006.0,-0.06990036057766287,0.008926654122441827,-0.07638188370158294,0.009187734673896802
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Mexico|2nd_mother_foreign,2093.0,-0.03660957881558239,0.010309512395477706,-0.01987936724698114,0.010771874800998234
