outcome,outcome_label,taxonomy,period,origin,g1_adjusted_gap,se_g1_adjusted_gap,g2_adjusted_gap,se_g2_adjusted_gap,closing_ratio_adjusted,se_closing_ratio_adjusted,p025_closing_ratio_adjusted,p975_closing_ratio_adjusted,g1_raw_gap,g2_raw_gap,closing_ratio_raw,se_closing_ratio_raw,n_obs_g1,n_obs_g2
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Africa,-0.05058425839434418,0.00980511406978187,0.07372960869922555,0.024005456398971656,2.45756033674439,0.5861288452132518,1.5828949384530229,3.6712091507619986,-0.011432710845238558,0.07242223760659317,7.3346513864430705,403.41709172244833,2640.0,249.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Africa,-0.03829280248044277,0.006313806592886238,-0.002570555899673885,0.016007165070670768,0.9328710427765964,0.4362207372970171,0.08883107279995274,1.8584200343496502,-0.014225211195325937,0.01716361696908475,2.206563244187496,6.326226850823152,7417.0,955.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Africa,-0.018406851848723736,0.005477028318221604,-0.014827206835827847,0.012547078748438531,0.1944735059702286,0.8674763587427939,-2.184669291489047,1.6402232412910573,0.006012640962627103,0.023272619976153153,-2.870615278844897,55.276804367812595,9286.0,1457.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Africa,-0.030436888751931797,0.004116740964910752,-0.006149206497752358,0.009538026905173505,0.7979686245900519,0.3251969221155094,0.09987891089379591,1.433761477475283,-0.006163466658414829,0.021171171185856208,4.434945357731713,15.45934515764253,19343.0,2661.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Asia,-0.06079824153759073,0.0028813502918998662,-0.001248126181528677,0.0073503146075373504,0.9794710151155116,0.1200460474057767,0.728223977323598,1.1868773498530611,-0.05202338737304335,0.011746782480232643,1.2257981087621257,0.14017655324087913,32945.0,4744.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Asia,-0.032480213617379794,0.002379725107085691,-0.007428322189045087,0.004848015498708787,0.7712970032601548,0.15260433174752894,0.4675112530588407,1.0789971593947028,-0.024128042383658954,0.013721948320373989,1.5687137025947604,0.2045334187845551,51297.0,10195.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Asia,-0.03469188570003996,0.002132656356389727,0.013926407473194099,0.00402110509052948,1.4014312624458478,0.1222841523399697,1.1670535821578212,1.643825755234862,-0.024666520326819374,0.05027315483954731,3.038112963379208,0.26866873509128797,55940.0,15003.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Asia,-0.04090076934038039,0.001375774800437164,0.0038780172828552168,0.002963442542908979,1.0948152649790512,0.07284120542837455,0.951032297170658,1.2256720154707805,-0.03283178708934331,0.030828187861899337,1.9389737993246698,0.10404473603315491,140182.0,29942.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Canada,-0.011298636292599298,0.008476463921719505,0.017184834628601316,0.005761184900224108,2.5209653787915562,21.635205833864507,-10.518352494836844,14.73561288554044,-0.024891809299577905,-0.006139977951886588,0.7533334006383093,0.33077236433388224,3435.0,6643.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Canada,0.0033522478904844852,0.009319402769384717,0.0059214877826055815,0.008295581753152011,-0.7664230021335849,7.729861018413336,-10.77463529989761,11.553328365889696,0.005102684051195072,-0.011682584289358755,3.28949787448091,55.55184911557264,3463.0,5208.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Canada,0.006630167449641463,0.008703172941525528,0.009277973808262563,0.009952519461317831,-0.39935738859269443,11.343787958788246,-33.75001411351909,13.101663817270047,0.003926911503138952,-0.003822208794903914,1.9733371357741714,52.10309126033209,2585.0,3016.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Canada,-0.0006295949116769225,0.004800990225443824,0.01240754556508382,0.0047270179991626225,20.707188439684803,2290.6782745965156,-46.00170816198469,17.412193158951375,-0.005552201668999945,-0.005022351870377695,0.0954305751501433,9.13162975111141,9483.0,14867.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Caribbean,-0.07027583686193078,0.004623754365543581,-0.03304820334255947,0.010524847000166496,0.5297358975960903,0.15646947703242237,0.25660624720582215,0.8080971146847862,-0.07567212082121777,-0.0031027882254455186,0.9589969437651135,0.13960483866538034,13903.0,2294.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Caribbean,-0.03654218558930966,0.004252628927344111,-0.035134699259862755,0.009089261649521172,0.0385167528090784,0.27984262936782955,-0.5462653458431466,0.5889166651000295,-0.03429595123920537,-0.007371979281628693,0.7850481174815345,0.26598040590621963,14929.0,3643.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Caribbean,-0.021739814683175877,0.004430674969582753,-0.02000434550473214,0.007057385165692517,0.07982906955443325,0.413141791856382,-0.8434642636224355,0.7258297078106263,-0.01834228189767395,0.015616196877239918,1.8513769968403038,0.522294414079671,15222.0,5172.0
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Caribbean,-0.03977544451925342,0.002614028785335155,-0.02792376553982021,0.005136406898502448,0.2979647147298723,0.13737260584800065,0.029670570383011866,0.5690128026536895,-0.0395856246939883,0.0033282321477191568,1.0840767873046753,0.12777360346260483,44054.0,11109.0
