outcome,taxonomy,group,mean_1994-2004,se_mean_1994-2004,gap_1994-2004,se_gap_1994-2004,mean_2005-2014,se_mean_2005-2014,gap_2005-2014,se_gap_2005-2014,mean_2015-2025,se_mean_2015-2025,gap_2015-2025,se_gap_2015-2025,change_mean_first_to_last,change_gap_first_to_last,se_change_mean,se_change_gap
employed,region_gen_union,Mexico|1st_foreign_born,0.6810194809652809,0.0024360080161702877,-0.13243171309689897,0.0025135445398155646,0.6805825780382653,0.002094286920102845,-0.10325907548312366,0.0021941029863868007,0.7094382656925429,0.002132517622358726,-0.07841276432313517,0.0021354359777813713,0.028418784727262003,0.0540189487737638,0.003016201955204416,0.0031458949459376977
employed,region_gen_union,Mexico|2nd_gen_all,0.7350819559807342,0.004758754019232021,-0.050990427547410906,0.004612483220136323,0.7394989270225514,0.0039193779659849335,-0.032501694702110624,0.00410843077877385,0.7610110646958597,0.0034208802257421848,-0.038985224835336806,0.0035726816234803623,0.025929108715125437,0.0120052027120741,0.006142728729570169,0.006169703189105188
employed,region_gen_union,Central America|1st_foreign_born,0.7486437021883994,0.004604088320388511,-0.06076183656270028,0.004552286206296357,0.7470140762576732,0.004340425480348977,-0.0341672051112013,0.004376451303372503,0.7481738487613947,0.003899924617377899,-0.046712285511205494,0.003920545128362222,-0.0004698534270046739,0.014049551051494788,0.005985835363076207,0.00604512352713768
employed,region_gen_union,Central America|2nd_gen_all,0.7752821982332014,0.01144219832191478,-0.027486477575018382,0.010900414791731783,0.7790870606440274,0.011763724884257384,-0.00025260635715692085,0.011950029102322894,0.7826473172210131,0.008384005373136735,-0.02453104604058161,0.008479471229588883,0.00736511898781167,0.002955431534436774,0.014853008356091268,0.014308880591700109
employed,region_gen_union,Caribbean|1st_foreign_born,0.7090922120819729,0.004662357038527781,-0.07027583686193078,0.004623754365543581,0.7190525120874561,0.004137937896669458,-0.03654218558930966,0.004252628927344111,0.7473368798588294,0.004325459950691866,-0.021739814683175877,0.004430674969582753,0.03824466777685642,0.04853602217875491,0.006498965713680712,0.006382753881064121
employed,region_gen_union,Caribbean|2nd_gen_all,0.7816615446777452,0.010448716686483873,-0.03304820334255947,0.010524847000166496,0.7459764840450328,0.009073194136112284,-0.035134699259862755,0.009089261649521172,0.7812953586337432,0.006904062019568861,-0.02000434550473214,0.007057385165692517,-0.0003661860440019593,0.01304385783782733,0.012188780886282502,0.012423437073139818
employed,region_gen_union,South America|1st_foreign_born,0.7536796116270976,0.0051157715884941135,-0.040607349217824606,0.005176222480244303,0.7614632578141025,0.004543228176766408,-0.008309001204154853,0.004597501223298311,0.7706858091930934,0.004366238626476628,-0.007481170304532261,0.004548856017538678,0.01700619756599575,0.033126178913292344,0.006391590124833702,0.006525696826957673
employed,region_gen_union,South America|2nd_gen_all,0.8183869330188981,0.014079883871155422,0.012500908074955932,0.014203586217514833,0.7830079749076051,0.011522630181103957,-0.0002887281089449488,0.011766838312014569,0.8198275318206922,0.008632400509235773,0.015086038195760805,0.008548954995176748,0.0014405988017941462,0.0025851301208048728,0.01647569828616174,0.016414999635969176
employed,region_gen_union,Europe|1st_foreign_born,0.7406158408322415,0.004029068859483533,-0.03134419955577445,0.0038125263054050586,0.7393807964645609,0.003937440359653585,-0.012399337539827906,0.00395115549878368,0.7764074110294789,0.0040661654198147525,0.006330484551716534,0.004078499788107823,0.03579157019723733,0.03767468410749099,0.005864600815929926,0.005634840230285351
employed,region_gen_union,Europe|2nd_gen_all,0.7522827851296393,0.0032642408517781414,0.006089907857075135,0.0030215006895176443,0.7660210397012612,0.003890388903549269,0.019831532078686865,0.00385435707183315,0.7931779849508416,0.0041035248503383534,0.028237180045417233,0.003939014249050226,0.040895199821202266,0.022147272188342098,0.0051359234775122135,0.00501011788078805
