outcome,outcome_label,taxonomy,period,group,n_obs,mean,se_mean
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Mexico|1st_foreign_born,42104.0,0.6810194809652809,0.0024360080161702877
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Mexico|2nd_gen_all,10582.0,0.7350819559807342,0.004758754019232021
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Central America|1st_foreign_born,11373.0,0.7486437021883994,0.004604088320388511
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Central America|2nd_gen_all,1674.0,0.7752821982332014,0.01144219832191478
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Caribbean|1st_foreign_born,13903.0,0.7090922120819729,0.004662357038527781
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Caribbean|2nd_gen_all,2294.0,0.7816615446777452,0.010448716686483873
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,South America|1st_foreign_born,9768.0,0.7536796116270976,0.0051157715884941135
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,South America|2nd_gen_all,1163.0,0.8183869330188981,0.014079883871155422
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Europe|1st_foreign_born,18681.0,0.7406158408322415,0.004029068859483533
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Europe|2nd_gen_all,24547.0,0.7522827851296393,0.0032642408517781414
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Asia|1st_foreign_born,32945.0,0.7327409455301473,0.0028403293276116418
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Asia|2nd_gen_all,4744.0,0.7965111153834233,0.007318611240890538
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Africa|1st_foreign_born,2640.0,0.7733316220579521,0.010080631425361213
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Africa|2nd_gen_all,249.0,0.8571865705097839,0.025332644396169366
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Canada|1st_foreign_born,3435.0,0.7598725236036128,0.009068456510325269
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Canada|2nd_gen_all,6643.0,0.7786243549513041,0.006175046186398842
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Other|1st_foreign_born,879.0,0.7414522252295163,0.01699090654562221
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,Other|2nd_gen_all,266.0,0.8186527414549918,0.02552109667596444
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,US outlying|1st_foreign_born,8400.0,0.6093032250408115,0.006637816051823356
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,US outlying|2nd_gen_all,4718.0,0.7008621712004108,0.00743618959159714
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_NH_white,585870.0,0.7847643329031907,0.0006290357255364992
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_Mexican_selfid,20827.0,0.7444124447747554,0.003680553363624425
employed,employed (EMPSTAT 10 or 12),region_gen_union,1994-2004,3rd+_other,113915.0,0.695054705348572,0.0018451436091218426
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Mexico|1st_foreign_born,60678.0,0.6805825780382653,0.002094286920102845
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Mexico|2nd_gen_all,15611.0,0.7394989270225514,0.0039193779659849335
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Central America|1st_foreign_born,15993.0,0.7470140762576732,0.004340425480348977
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Central America|2nd_gen_all,1726.0,0.7790870606440274,0.011763724884257384
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Caribbean|1st_foreign_born,14929.0,0.7190525120874561,0.004137937896669458
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Caribbean|2nd_gen_all,3643.0,0.7459764840450328,0.009073194136112284
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,South America|1st_foreign_born,12624.0,0.7614632578141025,0.004543228176766408
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,South America|2nd_gen_all,1951.0,0.7830079749076051,0.011522630181103957
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Europe|1st_foreign_born,18966.0,0.7393807964645609,0.003937440359653585
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Europe|2nd_gen_all,19427.0,0.7660210397012612,0.003890388903549269
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Asia|1st_foreign_born,51297.0,0.7292204209430025,0.0023098261531641524
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Asia|2nd_gen_all,10195.0,0.7670704116470355,0.004784114788657096
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Africa|1st_foreign_born,7417.0,0.7391232521313356,0.006367659243524914
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Africa|2nd_gen_all,955.0,0.7705120802957462,0.01610084298644315
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Canada|1st_foreign_born,3463.0,0.7584511473778566,0.009478469348562484
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Canada|2nd_gen_all,5208.0,0.7416658790373027,0.00848965817253502
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Other|1st_foreign_born,1678.0,0.7264963515513997,0.014307974207418583
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,Other|2nd_gen_all,594.0,0.7497480495787545,0.02292810865140212
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,US outlying|1st_foreign_born,7649.0,0.5958624423623873,0.007544597781113714
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,US outlying|2nd_gen_all,5354.0,0.6900598634878675,0.006835697604042575
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_NH_white,600798.0,0.7533484633266615,0.0007537882738798737
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_Mexican_selfid,26359.0,0.7097102229436907,0.003374144072308146
employed,employed (EMPSTAT 10 or 12),region_gen_union,2005-2014,3rd+_other,138531.0,0.6555956412317621,0.0016795985241310157
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Mexico|1st_foreign_born,59003.0,0.7094382656925429,0.002132517622358726
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Mexico|2nd_gen_all,23990.0,0.7610110646958597,0.0034208802257421848
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Central America|1st_foreign_born,17502.0,0.7481738487613947,0.003899924617377899
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Central America|2nd_gen_all,3362.0,0.7826473172210131,0.008384005373136735
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Caribbean|1st_foreign_born,15222.0,0.7473368798588294,0.004325459950691866
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Caribbean|2nd_gen_all,5172.0,0.7812953586337432,0.006904062019568861
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,South America|1st_foreign_born,13993.0,0.7706858091930934,0.004366238626476628
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,South America|2nd_gen_all,3004.0,0.8198275318206922,0.008632400509235773
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Europe|1st_foreign_born,15925.0,0.7764074110294789,0.0040661654198147525
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Europe|2nd_gen_all,14029.0,0.7931779849508416,0.0041035248503383534
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Asia|1st_foreign_born,55940.0,0.7410126414296839,0.0020576006424150267
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Asia|2nd_gen_all,15003.0,0.8159523165960506,0.004042646463914307
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Africa|1st_foreign_born,9286.0,0.7716918027191304,0.005209236535639436
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Africa|2nd_gen_all,1457.0,0.7889517817326565,0.012874003683877743
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Canada|1st_foreign_born,2585.0,0.7696060732596423,0.008963047350170368
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Canada|2nd_gen_all,3016.0,0.7618569529615994,0.010232304875275615
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Other|1st_foreign_born,1640.0,0.7191000129169267,0.013419610414503106
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,Other|2nd_gen_all,693.0,0.7619828070483902,0.02010501245917575
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,US outlying|1st_foreign_born,6065.0,0.6451828707935271,0.007467859607165196
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,US outlying|2nd_gen_all,4590.0,0.7015986763926035,0.007448088373212399
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_NH_white,496750.0,0.7656791617565033,0.0007966108290117498
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_Mexican_selfid,29593.0,0.7361113619698652,0.0032938456125313617
employed,employed (EMPSTAT 10 or 12),region_gen_union,2015-2025,3rd+_other,130267.0,0.6856611717246773,0.0016397392518148549
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Mexico|1st_foreign_born,161785.0,0.6926878899281171,0.001290079416302381
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Mexico|2nd_gen_all,50183.0,0.7502684712156917,0.002251057147907097
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Central America|1st_foreign_born,44868.0,0.7479107299927389,0.0025470433080903403
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Central America|2nd_gen_all,6762.0,0.7801897492727541,0.005767662557289568
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Caribbean|1st_foreign_born,44054.0,0.7285683061843439,0.002547515661322059
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Caribbean|2nd_gen_all,11109.0,0.7714821630260513,0.005060411740420946
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,South America|1st_foreign_born,36385.0,0.7641451503928005,0.002673124515718621
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,South America|2nd_gen_all,6118.0,0.8095310304838617,0.0059677675813173394
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Europe|1st_foreign_born,53572.0,0.7527861900659825,0.002282377160938502
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Europe|2nd_gen_all,58003.0,0.768395923303064,0.0023222585339706964
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Asia|1st_foreign_born,140182.0,0.7353221437889889,0.0013163456044058852
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Asia|2nd_gen_all,29942.0,0.7989821187402315,0.0030071797206968074
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Africa|1st_foreign_born,19343.0,0.7619904642199173,0.004015910593835905
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Africa|2nd_gen_all,2661.0,0.7893251020641884,0.00965978171224223
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Canada|1st_foreign_born,9483.0,0.7626017292093322,0.005042811794756124
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Canada|2nd_gen_all,14867.0,0.7631315790079545,0.00494379709066025
employed,employed (EMPSTAT 10 or 12),region_gen_union,all,Other|1st_foreign_born,4197.0,0.7266681591082019,0.008349013733950831
