arm,allocation,group,metric,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference,mc_sd_of_difference,note
baseline_reported,equal_all_members,third_plus_nh_white,taxes_minus_transfers,11784.661700470604,250.00037788263177,0.0,0.0,,
baseline_reported,equal_all_members,third_plus_nh_white,extended_balance,15984.424821159118,291.8329232922911,0.0,0.0,,
baseline_reported,equal_all_members,all_native,taxes_minus_transfers,10471.612922880897,195.4268331172783,-1313.0487775897072,105.62473648155367,,
baseline_reported,equal_all_members,all_native,extended_balance,14265.65477926144,231.61216091525716,-1718.7700418976783,123.62827661330896,,
baseline_reported,equal_all_members,all_second_gen,taxes_minus_transfers,11663.10930324451,360.92794236945997,-121.5523972260944,413.21013150244687,,
baseline_reported,equal_all_members,all_second_gen,extended_balance,15657.872183584454,438.8908751656361,-326.5526375746649,488.480895046934,,
baseline_reported,equal_all_members,mexican_second_gen,taxes_minus_transfers,5718.833339376534,277.9650893527934,-6065.82836109407,352.7115364315271,,
baseline_reported,equal_all_members,mexican_second_gen,extended_balance,7698.194188185556,374.82046709798595,-8286.230632973562,443.06107635205746,,
baseline_reported,equal_all_members,mexican_third_plus_selfid,taxes_minus_transfers,6868.35723008839,468.38915933231635,-4916.304470382214,456.17306296512743,,
baseline_reported,equal_all_members,mexican_third_plus_selfid,extended_balance,9705.404507912976,560.699824593887,-6279.020313246143,545.6976861753006,,
baseline_reported,equal_all_members,mexico_born,taxes_minus_transfers,3768.329673750283,230.08624858729618,-8016.332026720322,338.39551490809225,,
baseline_reported,equal_all_members,mexico_born,extended_balance,4461.995996762274,290.2272095857769,-11522.428824396844,402.4769223134545,,
baseline_reported,equal_adults_18plus,third_plus_nh_white,taxes_minus_transfers,14408.990003096285,286.3034953126972,0.0,0.0,,
baseline_reported,equal_adults_18plus,third_plus_nh_white,extended_balance,18099.25937665313,333.2635223433559,0.0,0.0,,
baseline_reported,equal_adults_18plus,all_native,taxes_minus_transfers,12669.394413196685,223.62289185160148,-1739.5955898995999,120.90060268557804,,
baseline_reported,equal_adults_18plus,all_native,extended_balance,15776.094426356549,267.15042913813573,-2323.164950296583,143.9864795354716,,
baseline_reported,equal_adults_18plus,all_second_gen,taxes_minus_transfers,14281.892675008112,442.175436520483,-127.09732808817353,509.6786284491253,,
baseline_reported,equal_adults_18plus,all_second_gen,extended_balance,17628.956258739254,543.5322215479009,-470.30311791387794,608.8531065810865,,
baseline_reported,equal_adults_18plus,mexican_second_gen,taxes_minus_transfers,6783.9232692092555,382.07091708764847,-7625.06673388703,462.439068778257,,
baseline_reported,equal_adults_18plus,mexican_second_gen,extended_balance,7465.999914903468,515.1838741408567,-10633.259461749663,587.2412434370143,,
baseline_reported,equal_adults_18plus,mexican_third_plus_selfid,taxes_minus_transfers,8092.652446880181,528.3279074794624,-6316.3375562161045,521.7950778344587,,
baseline_reported,equal_adults_18plus,mexican_third_plus_selfid,extended_balance,10086.067610463806,651.8581207974652,-8013.191766189326,634.2828933156062,,
baseline_reported,equal_adults_18plus,mexico_born,taxes_minus_transfers,4022.5444657085463,250.7495244330057,-10386.445537387739,384.27799066472176,,
baseline_reported,equal_adults_18plus,mexico_born,extended_balance,3154.373627131322,353.863815200989,-14944.88574952181,474.5178256831667,,
a_proportional_base,equal_all_members,third_plus_nh_white,taxes_minus_transfers,11202.18658434357,253.19087607512702,0.0,0.0,,
a_proportional_base,equal_all_members,third_plus_nh_white,extended_balance,15401.949705032128,294.796481962174,0.0,0.0,,
a_proportional_base,equal_all_members,all_native,taxes_minus_transfers,9855.65941713233,197.9740072783781,-1346.5271672112394,107.03623349428183,,
a_proportional_base,equal_all_members,all_native,extended_balance,13649.701273513045,233.9417469705304,-1752.2484315190832,124.84505564918773,,
a_proportional_base,equal_all_members,all_second_gen,taxes_minus_transfers,11175.753686937489,365.44991296543515,-26.432897406080883,417.61170288230164,,
a_proportional_base,equal_all_members,all_second_gen,extended_balance,15170.516567277436,442.51420991314865,-231.43313775469142,492.0673168390282,,
a_proportional_base,equal_all_members,mexican_second_gen,taxes_minus_transfers,5229.619861448058,289.83668388388355,-5972.566722895512,364.8967570444603,,
a_proportional_base,equal_all_members,mexican_second_gen,extended_balance,7208.9807102570985,382.4181595026482,-8192.96899477503,451.52407087923444,,
a_proportional_base,equal_all_members,mexican_third_plus_selfid,taxes_minus_transfers,6323.795929643067,480.0757426874553,-4878.390654700503,466.5942202113065,,
a_proportional_base,equal_all_members,mexican_third_plus_selfid,extended_balance,9160.843207467666,570.8816593232734,-6241.106497564462,554.1543895692444,,
a_proportional_base,equal_all_members,mexico_born,taxes_minus_transfers,3493.3795151918935,236.0590683781422,-7708.807069151677,344.26380672826895,,
a_proportional_base,equal_all_members,mexico_born,extended_balance,4187.045838203899,295.44529911374826,-11214.90386682823,408.11012461575694,,
a_proportional_base,equal_adults_18plus,third_plus_nh_white,taxes_minus_transfers,13708.36666384158,290.0907176186757,0.0,0.0,,
a_proportional_base,equal_adults_18plus,third_plus_nh_white,extended_balance,17398.636037398493,336.90448566974055,0.0,0.0,,
a_proportional_base,equal_adults_18plus,all_native,taxes_minus_transfers,11903.744702645277,226.87245661253922,-1804.6219611963024,123.08945245652038,,
a_proportional_base,equal_adults_18plus,all_native,extended_balance,15010.444715805223,270.369188733316,-2388.191321593271,146.3447663785662,,
a_proportional_base,equal_adults_18plus,all_second_gen,taxes_minus_transfers,13656.148359956895,449.91315015331435,-52.218303884685156,516.5767560055295,,
a_proportional_base,equal_adults_18plus,all_second_gen,extended_balance,17003.211943688002,551.4573285500634,-395.42409371049143,615.9351241321597,,
a_proportional_base,equal_adults_18plus,mexican_second_gen,taxes_minus_transfers,6078.7123559008605,399.7337266423029,-7629.654307940719,477.93440551862,,
a_proportional_base,equal_adults_18plus,mexican_second_gen,extended_balance,6760.789001595089,529.6934662178386,-10637.847035803405,600.2163208994546,,
a_proportional_base,equal_adults_18plus,mexican_third_plus_selfid,taxes_minus_transfers,7345.639847095352,544.5595563883563,-6362.726816746228,537.134653887385,,
a_proportional_base,equal_adults_18plus,mexican_third_plus_selfid,extended_balance,9339.055010678992,666.6839426833644,-8059.581026719501,648.1117478567407,,
a_proportional_base,equal_adults_18plus,mexico_born,taxes_minus_transfers,3605.985030522324,261.64713796214977,-10102.381633319255,392.421712287539,,
a_proportional_base,equal_adults_18plus,mexico_born,extended_balance,2737.8141919450895,364.94887661714876,-14660.821845453404,484.1167032768606,,
a_proportional_noncash_extended,equal_all_members,third_plus_nh_white,taxes_minus_transfers,11150.456725365693,253.3491531375655,0.0,0.0,,
a_proportional_noncash_extended,equal_all_members,third_plus_nh_white,extended_balance,15350.21984605402,295.01118552170675,0.0,0.0,,
a_proportional_noncash_extended,equal_all_members,all_native,taxes_minus_transfers,9794.067719328184,198.28883566996478,-1356.3890060375088,107.05025675568123,,
a_proportional_noncash_extended,equal_all_members,all_native,extended_balance,13588.109575708806,234.30620588035714,-1762.1102703452143,124.9207859136817,,
a_proportional_noncash_extended,equal_all_members,all_second_gen,taxes_minus_transfers,11111.562554281794,366.048039925032,-38.89417108389898,417.83771264697793,,
a_proportional_noncash_extended,equal_all_members,all_second_gen,extended_balance,15106.325434621753,443.26138924720334,-243.8944114322676,492.4604602342105,,
a_proportional_noncash_extended,equal_all_members,mexican_second_gen,taxes_minus_transfers,5130.422110466945,290.67153205833677,-6020.034614898748,365.5099331466289,,
a_proportional_noncash_extended,equal_all_members,mexican_second_gen,extended_balance,7109.782959275973,384.038349239775,-8240.436886778047,452.8639921584377,,
a_proportional_noncash_extended,equal_all_members,mexican_third_plus_selfid,taxes_minus_transfers,6240.427363401065,481.29912954692713,-4910.029361964628,467.59771402370006,,
a_proportional_noncash_extended,equal_all_members,mexican_third_plus_selfid,extended_balance,9077.474641225648,572.5083785538856,-6272.745204828372,555.5779024003914,,
a_proportional_noncash_extended,equal_all_members,mexico_born,taxes_minus_transfers,3371.783223108567,236.51991895575762,-7778.6735022571265,344.2744888198828,,
a_proportional_noncash_extended,equal_all_members,mexico_born,extended_balance,4065.449546120568,296.53912514294035,-11284.770299933452,408.67724457146005,,
a_proportional_noncash_extended,equal_adults_18plus,third_plus_nh_white,taxes_minus_transfers,13603.779624226716,290.4478422760414,0.0,0.0,,
a_proportional_noncash_extended,equal_adults_18plus,third_plus_nh_white,extended_balance,17294.048997783666,337.4679132458501,0.0,0.0,,
a_proportional_noncash_extended,equal_adults_18plus,all_native,taxes_minus_transfers,11776.420326805097,227.54337947509782,-1827.359297421619,123.31707162013132,,
a_proportional_noncash_extended,equal_adults_18plus,all_native,extended_balance,14883.120339965197,271.26160612841966,-2410.928657818469,146.81446316801794,,
a_proportional_noncash_extended,equal_adults_18plus,all_second_gen,taxes_minus_transfers,13524.511641979856,451.14662482129825,-79.2679822468599,517.274896409195,,
a_proportional_noncash_extended,equal_adults_18plus,all_second_gen,extended_balance,16871.575225710945,553.3082074606532,-422.47377207272075,617.2739804715225,,
a_proportional_noncash_extended,equal_adults_18plus,mexican_second_gen,taxes_minus_transfers,5869.982565954457,400.71970483479356,-7733.797058272259,478.9106966803202,,
a_proportional_noncash_extended,equal_adults_18plus,mexican_second_gen,extended_balance,6552.059211648683,533.5815454508361,-10741.989786134982,603.8683150775183,,
a_proportional_noncash_extended,equal_adults_18plus,mexican_third_plus_selfid,taxes_minus_transfers,7174.424039237742,547.4034816068726,-6429.3555849889735,539.4878632226894,,
a_proportional_noncash_extended,equal_adults_18plus,mexican_third_plus_selfid,extended_balance,9167.839202821353,671.1581418928372,-8126.209794962313,652.1484339113152,,
