origin,raw_ratio_2010_2021,approx_adj_ratio,chart_adj_ratio,persons,agesex_factor_rel_DK,implied_chart_gap_removed_pct,my_gap_removed_pct
Kuwait,10.51,8.16,6.5,213,0.777,42.0,25.0
Tunisia,8.6,7.18,6.4,135,0.835,29.0,19.0
Somalia,9.78,7.15,6.2,1739,0.73,41.0,30.0
Lebanon,8.84,6.68,5.7,2405,0.755,40.0,28.0
Jordan,6.54,5.42,4.8,164,0.83,31.0,20.0
Uganda,5.74,5.45,4.8,116,0.95,20.0,6.0
Algeria,4.46,3.98,4.0,72,0.894,13.0,14.0
Morocco,4.93,4.16,3.8,586,0.843,29.0,20.0
Iraq,4.94,3.91,3.3,1630,0.79,42.0,26.0
Ethiopia,4.3,3.45,3.0,82,0.803,39.0,26.0
Egypt,3.71,3.14,3.0,104,0.846,26.0,21.0
Iran,3.61,3.26,2.9,825,0.905,27.0,13.0
Syria,4.22,3.12,2.5,889,0.74,53.0,34.0
Turkey,3.44,2.84,2.4,2476,0.827,43.0,25.0
Afghanistan,4.12,3.12,2.3,707,0.757,58.0,32.0
Pakistan,2.59,2.21,1.9,704,0.852,43.0,24.0
Denmark,1.0,1.0,1.0,55541,1.0,,
