origin_da,pop_total,conv_total,share,chart_pct,diff
Kuwait,33,23,69.7,70,-0.3
Etiopien,22,15,68.2,68,0.2
Jordan,55,35,63.6,64,-0.4
Somalia,357,222,62.2,62,0.2
Syrien,58,36,62.1,62,0.1
Uganda,48,29,60.4,60,0.4
Libanon,535,322,60.2,60,0.2
Marokko,181,98,54.1,54,0.1
Algeriet,24,12,50.0,50,0.0
Brasilien,23,11,47.8,48,-0.2
Irak,445,212,47.6,48,-0.4
Makedonien,40,19,47.5,48,-0.5
Iran,296,137,46.3,46,0.3
Jugoslavien,336,151,44.9,45,-0.1
Egypten,27,11,40.7,41,-0.3
Afghanistan,184,68,37.0,37,0.0
Tyrkiet,1374,507,36.9,37,-0.1
Pakistan,400,142,35.5,36,-0.5
Norge,44,14,31.8,32,-0.2
Nordamerika/Oceanien/Statsloes/Uoplyst,56,17,30.4,30,0.4
Storbritannien,40,12,30.0,30,0.0
Filippinerne,47,14,29.8,30,-0.2
Sri Lanka,236,70,29.7,30,-0.3
Polen,191,56,29.3,29,0.3
Island,60,17,28.3,28,0.3
Bosnien-Hercegovina,519,147,28.3,28,0.3
Rusland,48,12,25.0,25,0.0
Nederlandene,61,14,23.0,23,0.0
Sverige,54,12,22.2,22,0.2
Vietnam,219,48,21.9,22,-0.1
Thailand,79,16,20.3,20,0.3
Tyskland,90,18,20.0,20,0.0
I alt,84848,16730,19.7,20,-0.3
Danmark,78120,14043,18.0,18,0.0
