year_range,origin,offence,persons,population,rate_per_100k,ratio_to_danish_origin
2008-2024,Tanzania,criminal_code_total,168.0,13165.0,1276.1109001139384,2.6817935354181373
2008-2024,Thailand,criminal_code_total,807.0,177604.0,454.38165807076416,0.9548996040375095
2008-2024,Tunisia,criminal_code_total,657.0,19152.0,3430.451127819549,7.209217989857243
2008-2024,Turkey,criminal_code_total,10610.0,868883.0,1221.1080202973244,2.5662029801549493
2008-2024,USA,criminal_code_total,233.0,137041.0,170.02211017140854,0.35730765711281254
2008-2024,Uganda,criminal_code_total,591.0,24898.0,2373.6846333038798,4.988384711820381
2008-2024,Ukraine,criminal_code_total,1229.0,183616.0,669.3316486580691,1.4066248382187667
2008-2024,United Kingdom,criminal_code_total,729.0,234341.0,311.0851280825805,0.6537567270854748
2008-2024,Vietnam,criminal_code_total,2025.0,203211.0,996.5011736569379,2.0941835112537275
2008-2024,Yugoslavia,criminal_code_total,5235.0,224154.0,2335.4479509622847,4.908028931213562
2008-2024,"Yugoslavia, Federal Republic",criminal_code_total,519.0,23594.0,2199.711791133339,4.622774447516848
2010-2022,Afghanistan,criminal_code_total,2368.0,160073.0,1479.3250579423138,3.15965944181223
2010-2022,Algeria,criminal_code_total,345.0,14993.0,2301.0738344560796,4.914815461491183
2010-2022,Argentina,criminal_code_total,100.0,23342.0,428.41230400137096,0.9150368771616171
2010-2022,Australia,criminal_code_total,38.0,26852.0,141.51646059883808,0.3022620474805771
2010-2022,Austria,criminal_code_total,60.0,18586.0,322.8236306897665,0.6895122388907715
2010-2022,Belgium,criminal_code_total,41.0,15237.0,269.0818402572685,0.5747262730556967
2010-2022,Bosnia and Herzegovina,criminal_code_total,2849.0,243601.0,1169.535428836499,2.4979862542159808
2010-2022,Brazil,criminal_code_total,234.0,41580.0,562.7705627705628,1.202009871113351
2010-2022,Bulgaria,criminal_code_total,582.0,90196.0,645.2614306621136,1.3782003900242985
2010-2022,Canada,criminal_code_total,49.0,28270.0,173.32861690838345,0.37020896658953545
2010-2022,Chile,criminal_code_total,203.0,21018.0,965.8388048339518,2.0629148966130995
2010-2022,China,criminal_code_total,384.0,138718.0,276.8206000663216,0.5912553282267105
2010-2022,Croatia,criminal_code_total,230.0,20110.0,1143.7095972153159,2.442825400767025
2010-2022,Czechoslovakia,criminal_code_total,93.0,9558.0,973.0069052102949,2.0782250922407415
2010-2022,Denmark,criminal_code_total,238221.0,50881125.0,468.191298836258,1.0
2010-2022,Egypt,criminal_code_total,393.0,26043.0,1509.042737011865,3.223132810803533
2010-2022,Estonia,criminal_code_total,83.0,16750.0,495.5223880597014,1.0583759016696337
2010-2022,Ethiopia,criminal_code_total,301.0,17647.0,1705.6723522411742,3.6431098922188734
2010-2022,Finland,criminal_code_total,146.0,44148.0,330.70580773760986,0.7063476159416381
2010-2022,France,criminal_code_total,203.0,74102.0,273.9467220857737,0.5851170723734059
2010-2022,Germany,criminal_code_total,968.0,371268.0,260.72809937834666,0.5568836926837718
2010-2022,Ghana,criminal_code_total,350.0,26452.0,1323.1513685165583,2.8260913259289513
2010-2022,Greece,criminal_code_total,112.0,30830.0,363.28251702886797,0.7759275277687719
2010-2022,Hungary,criminal_code_total,193.0,55693.0,346.54265347530213,0.7401732034249093
2010-2022,Iceland,criminal_code_total,510.0,93977.0,542.6859763559169,1.159111623186556
2010-2022,India,criminal_code_total,416.0,113682.0,365.93304129061767,0.781588727086952
2010-2022,Indonesia,criminal_code_total,38.0,12610.0,301.3481363996828,0.6436431799324708
2010-2022,Iran,criminal_code_total,3561.0,213056.0,1671.3915590267347,3.5698902631919176
2010-2022,Iraq,criminal_code_total,5921.0,306074.0,1934.499500120886,4.131857010007024
2010-2022,Ireland,criminal_code_total,75.0,20627.0,363.60110534736026,0.7766079938929484
2010-2022,Israel,criminal_code_total,179.0,17535.0,1020.8155118334759,2.1803384949075886
2010-2022,Italy,criminal_code_total,373.0,89921.0,414.80855417533166,0.8859809125167103
2010-2022,Japan,criminal_code_total,18.0,19530.0,92.16589861751152,0.1968552146240227
2010-2022,Jordan,criminal_code_total,621.0,23279.0,2667.640362558529,5.69775723980614
2010-2022,Kenya,criminal_code_total,198.0,15336.0,1291.0798122065728,2.757590359786046
2010-2022,Kuwait,criminal_code_total,1057.0,19019.0,5557.6002944424,11.870362196513346
2010-2022,Latvia,criminal_code_total,433.0,53580.0,808.1373646883167,1.726083689929806
2010-2022,Lebanon,criminal_code_total,8783.0,253367.0,3466.513002877249,7.404052598785275
2010-2022,Lithuania,criminal_code_total,995.0,125141.0,795.1031236764929,1.6982441272463007
2010-2022,Morocco,criminal_code_total,2540.0,110282.0,2303.1863767432583,4.919327596365175
2010-2022,Myanmar,criminal_code_total,164.0,19997.0,820.123018452768,1.7516835970494875
2010-2022,Netherlands,criminal_code_total,200.0,82420.0,242.6595486532395,0.5182914532081161
2010-2022,Nigeria,criminal_code_total,160.0,16077.0,995.2105492318218,2.1256493909765717
2010-2022,Norway,criminal_code_total,605.0,197405.0,306.47653301588105,0.654596814972134
2010-2022,Pakistan,criminal_code_total,3256.0,251508.0,1294.5910269255849,2.765089889845104
2010-2022,Philippines,criminal_code_total,428.0,134098.0,319.1695625587257,0.6817075912176443
2010-2022,Poland,criminal_code_total,3075.0,453474.0,678.098413580492,1.4483362148463281
2010-2022,Portugal,criminal_code_total,93.0,25510.0,364.562916503332,0.7786623062186205
2010-2022,Republic of North Macedonia,criminal_code_total,483.0,49065.0,984.4084377866095,2.1025773871352738
2010-2022,Romania,criminal_code_total,2092.0,253188.0,826.2634880010112,1.7647988974907944
2010-2022,Russia,criminal_code_total,643.0,70261.0,915.1591921549651,1.95466937217692
2010-2022,Serbia and Montenegro,criminal_code_total,231.0,9360.0,2467.948717948718,5.27124003389871
2010-2022,Somalia,criminal_code_total,6407.0,166086.0,3857.640017822092,8.239452607108866
2010-2022,South Africa,criminal_code_total,73.0,13220.0,552.1936459909228,1.1794188558468774
2010-2022,Soviet Union,criminal_code_total,132.0,13944.0,946.6437177280551,2.0219165116503537
2010-2022,Spain,criminal_code_total,306.0,67916.0,450.5565698804405,0.962334351365242
2010-2022,Sri Lanka,criminal_code_total,883.0,119742.0,737.4187837183277,1.5750373523627306
2010-2022,Sweden,criminal_code_total,758.0,184533.0,410.76663794551655,0.8773478682037088
2010-2022,Switzerland,criminal_code_total,44.0,19216.0,228.9758534554538,0.4890647349162596
2010-2022,Syria,criminal_code_total,3446.0,207323.0,1662.1407176241905,3.550131584580123
2010-2022,Tanzania,criminal_code_total,132.0,9920.0,1330.6451612903224,2.8420971611343275
2010-2022,Thailand,criminal_code_total,645.0,137191.0,470.1474586525355,1.0041781208261233
2010-2022,Tunisia,criminal_code_total,518.0,14608.0,3546.002190580504,7.57383189178118
2010-2022,Turkey,criminal_code_total,8281.0,665706.0,1243.9425211730102,2.65691080604225
2010-2022,USA,criminal_code_total,179.0,104529.0,171.24434367496102,0.36575721099603525
2010-2022,Uganda,criminal_code_total,445.0,18756.0,2372.5741096182555,5.067531403329268
2010-2022,Ukraine,criminal_code_total,544.0,108702.0,500.45077367481736,1.0689023373965811
2010-2022,United Kingdom,criminal_code_total,525.0,178847.0,293.54699827226625,0.6269808922163018
2010-2022,Vietnam,criminal_code_total,1528.0,154638.0,988.1141763344068,2.1104923965705376
2010-2022,Yugoslavia,criminal_code_total,4066.0,172345.0,2359.2213293103946,5.039011479227623
2010-2022,"Yugoslavia, Federal Republic",criminal_code_total,401.0,18275.0,2194.2544459644323,4.686662164415481
2008-2024,Afghanistan,sexual_total,126.0,208190.0,60.52163888755464,3.783906621948842
2008-2024,Algeria,sexual_total,7.0,19673.0,35.58176180552026,2.2246268705092977
2008-2024,Argentina,sexual_total,6.0,35620.0,16.844469399213924,1.0531423218945073
2008-2024,Australia,sexual_total,0.0,34640.0,0.0,0.0
2008-2024,Austria,sexual_total,3.0,24094.0,12.451232672034532,0.7784703558122843
2008-2024,Belgium,sexual_total,3.0,20315.0,14.767413241447205,0.9232815531844044
2008-2024,Bosnia and Herzegovina,sexual_total,54.0,317869.0,16.988130330419136,1.0621242258695915
2008-2024,Brazil,sexual_total,13.0,55919.0,23.24791215865806,1.4534954832778084
2008-2024,Bulgaria,sexual_total,28.0,116073.0,24.122750338149267,1.508191721538322
