statefips,agi_stub,inflow_n1_0,inflow_n2_0,inflow_y1_agi_0,inflow_y2_agi_0,outflow_n1_0,outflow_n2_0,outflow_y1_agi_0,outflow_y2_agi_0,nonmig_n1_0,nonmig_n2_0,nonmig_y1_agi_0,nonmig_y2_agi_0,total_n1_0,total_n2_0,total_y1_agi_0,total_y2_agi_0,year2,pair
01,0,49573.0,101955.0,2052718.0,2226263.0,51104.0,106073.0,2080224.0,2150213.0,1566337.0,3571675.0,86346444.0,88763272.0,1679103,3807951,90691917,93398378,2012,1112
01,1,7521.0,11801.0,108486.0,46365.0,7755.0,12010.0,101163.0,48413.0,142766.0,238307.0,1596723.0,906422.0,160174,266204,1819941,1017090,2012,1112
01,2,15973.0,30616.0,308291.0,271413.0,17042.0,33697.0,318463.0,288734.0,442784.0,950368.0,8157098.0,7599317.0,481426,1028975,8855052,8252527,2012,1112
01,3,12997.0,26726.0,373164.0,463513.0,13724.0,28831.0,449286.0,490930.0,412774.0,893384.0,14777875.0,14850286.0,443061,957061,15715995,15924857,2012,1112
01,4,5495.0,12460.0,302747.0,336484.0,5519.0,12392.0,308274.0,335688.0,225815.0,536745.0,13599515.0,13890403.0,237815,564054,14267435,14622344,2012,1112
01,5,3095.0,7936.0,240989.0,266878.0,2956.0,7649.0,227903.0,254522.0,142845.0,380778.0,11960069.0,12348963.0,149108,396978,12448596,12888706,2012,1112
01,6,3612.0,9905.0,440309.0,486282.0,3332.0,9269.0,397370.0,447337.0,160264.0,456419.0,20076197.0,21115255.0,166894,474607,20875279,22015052,2012,1112
01,7,880.0,2511.0,278730.0,355326.0,776.0,2225.0,277763.0,284586.0,39089.0,115674.0,16178963.0,18052623.0,40625,120072,16709617,18677800,2012,1112
02,0,17863.0,33874.0,777203.0,749363.0,19049.0,37702.0,983947.0,983022.0,255841.0,543639.0,18073963.0,18772628.0,281047,591219,19181212,19869999,2012,1112
02,1,2186.0,3249.0,32434.0,13225.0,2129.0,3081.0,38446.0,12805.0,19966.0,28983.0,246186.0,112380.0,23168,33649,291732,131564,2012,1112
02,2,5593.0,9069.0,131102.0,98455.0,4791.0,7729.0,109742.0,85613.0,42586.0,73246.0,869228.0,753806.0,49999,85277,1034979,883549,2012,1112
02,3,5762.0,10869.0,243189.0,207528.0,5735.0,11086.0,199285.0,203631.0,64657.0,122808.0,2347321.0,2377633.0,72427,137200,2659924,2657829,2012,1112
02,4,2056.0,4797.0,110907.0,124547.0,2612.0,6123.0,154744.0,160036.0,43271.0,93481.0,2611118.0,2671887.0,46398,100508,2782332,2862285,2012,1112
02,5,1049.0,2607.0,77308.0,90201.0,1561.0,3806.0,131077.0,134898.0,30799.0,76939.0,2589203.0,2668495.0,32512,81092,2718144,2816486,2012,1112
02,6,975.0,2580.0,114083.0,129954.0,1797.0,4718.0,222123.0,241638.0,44284.0,120245.0,5605944.0,5936614.0,45937,124635,5800007,6156561,2012,1112
02,7,242.0,703.0,68176.0,85450.0,424.0,1159.0,128526.0,144397.0,10278.0,27937.0,3804961.0,4251809.0,10606,28858,3894090,4361722,2012,1112
