state,bracket,year,out_agi_bn,in_agi_bn,net_agi_out_bn,net_returns_out,revenue_at_top1_rate_bn
California,all filers,2012,15.287508,15.911358,-0.62385,2257.0,-0.07548585
California,all filers,2013,18.347404,17.48165,0.865754,10905.0,0.104756234
California,all filers,2014,19.793573,17.331745,2.461828,14936.0,0.297881188
California,all filers,2015,14.014215,13.874485,0.13973,10653.0,0.016907329999999998
California,all filers,2016,20.859449,20.115163,0.744286,27291.0,0.090058606
California,all filers,2017,30.089818,24.728659,5.361159,63984.0,0.648700239
California,all filers,2018,25.238881,20.092947,5.145934,59542.0,0.622658014
California,all filers,2019,27.304369,21.466833,5.837536,69109.0,0.706341856
California,all filers,2020,36.482673,21.189582,15.293091,114652.0,1.850464011
California,all filers,2021,42.099442,21.547264,20.552178,154412.0,2.4868135380000003
California,all filers,2022,40.966416,28.875124,12.091292,141625.0,1.4630463319999998
California,all filers,2023,42.407911,25.220674,17.187237,103824.0,2.079655677
California,AGI $200k+,2012,4.288423,5.371896,-1.083473,439.0,-0.13110023299999998
California,AGI $200k+,2013,6.583843,6.311524,0.272319,1293.0,0.032950599
California,AGI $200k+,2014,8.254776,6.545118,1.709658,1533.0,0.20686861799999998
California,AGI $200k+,2015,5.387244,5.721362,-0.334118,1391.0,-0.040428278000000005
California,AGI $200k+,2016,7.618477,8.318959,-0.700482,2282.0,-0.084758322
California,AGI $200k+,2017,10.493169,9.018386,1.474783,6608.0,0.178448743
California,AGI $200k+,2018,9.704389,7.727124,1.977265,8021.0,0.239249065
California,AGI $200k+,2019,11.383515,9.102138,2.281377,9163.0,0.276046617
California,AGI $200k+,2020,17.364496,8.843301,8.521195,19229.0,1.0310645950000001
California,AGI $200k+,2021,21.181336,9.672772,11.508564,27341.0,1.392536244
California,AGI $200k+,2022,21.101565,15.457233,5.644332,24670.0,0.682964172
California,AGI $200k+,2023,19.938756,11.723675,8.215081,15705.0,0.9940248009999999
California,AGI $100-200k,2012,3.167501,3.17653,-0.009029,1352.0,-0.001092509
California,AGI $100-200k,2013,3.767331,3.559742,0.207589,3300.0,0.025118269
California,AGI $100-200k,2014,3.789802,3.55774,0.232062,3250.0,0.028079502
California,AGI $100-200k,2015,2.703895,2.631588,0.072307,1866.0,0.008749146999999999
California,AGI $100-200k,2016,4.608885,4.326495,0.28239,4339.0,0.034169189999999995
California,AGI $100-200k,2017,7.561937,5.826526,1.735411,15341.0,0.209984731
California,AGI $100-200k,2018,6.030052,4.462591,1.567461,14836.0,0.189662781
California,AGI $100-200k,2019,6.335297,4.691966,1.643331,15833.0,0.198843051
California,AGI $100-200k,2020,8.071323,4.775976,3.295347,27675.0,0.398736987
California,AGI $100-200k,2021,9.187501,4.647546,4.539955,36847.0,0.549334555
California,AGI $100-200k,2022,8.831508,5.707721,3.123787,29952.0,0.377978227
California,AGI $100-200k,2023,8.35133,5.841018,2.510312,19293.0,0.303747752
Texas,all filers,2012,11.396377,14.495153,-3.098776,-59599.0,-0.142543696
Texas,all filers,2013,11.771065,19.618517,-7.847452,-72032.0,-0.360982792
Texas,all filers,2014,11.916125,17.445077,-5.528952,-104868.0,-0.254331792
Texas,all filers,2016,14.853572,17.858759,-3.005187,-18857.0,-0.138238602
Texas,all filers,2017,18.538321,22.436972,-3.898651,-39068.0,-0.179337946
Texas,all filers,2018,13.802419,18.487618,-4.685199,-35516.0,-0.215519154
Texas,all filers,2019,14.10559,19.770922,-5.665332,-52228.0,-0.260605272
Texas,all filers,2020,15.718118,23.247692,-7.529574,-63141.0,-0.346360404
Texas,all filers,2021,16.255716,28.238685,-11.982969,-83136.0,-0.551216574
Texas,all filers,2022,18.602533,32.112236,-13.509703,-88170.0,-0.621446338
Texas,all filers,2023,22.352811,26.448921,-4.09611,-54783.0,-0.18842106
Texas,AGI $200k+,2012,2.834872,3.959821,-1.124949,-1188.0,-0.051747654
Texas,AGI $200k+,2013,3.139718,7.688935,-4.549217,-2269.0,-0.209263982
Texas,AGI $200k+,2014,3.489189,5.309906,-1.820717,-2980.0,-0.08375298199999999
Texas,AGI $200k+,2016,5.145306,6.372277,-1.226971,-2961.0,-0.056440666
Texas,AGI $200k+,2017,5.231049,6.992654,-1.761605,-3541.0,-0.08103383
Texas,AGI $200k+,2018,3.999528,6.250954,-2.251426,-2918.0,-0.103565596
Texas,AGI $200k+,2019,4.748654,6.987313,-2.238659,-3499.0,-0.102978314
Texas,AGI $200k+,2020,5.462184,9.248903,-3.786719,-5356.0,-0.174189074
Texas,AGI $200k+,2021,5.455678,12.605933,-7.150255,-9008.0,-0.32891172999999996
Texas,AGI $200k+,2022,7.382024,15.019411,-7.637387,-8260.0,-0.351319802
Texas,AGI $200k+,2023,8.192036,10.486519,-2.294483,-5084.0,-0.105546218
Texas,AGI $100-200k,2012,2.152686,2.963462,-0.810776,-4031.0,-0.037295696
Texas,AGI $100-200k,2013,2.407624,3.630624,-1.223,-6571.0,-0.056258
Texas,AGI $100-200k,2014,2.470135,3.747084,-1.276949,-7979.0,-0.058739653999999995
Texas,AGI $100-200k,2016,2.997166,4.126171,-1.129005,-5989.0,-0.05193423
Texas,AGI $100-200k,2017,4.482119,5.778154,-1.296035,-7341.0,-0.05961761
Texas,AGI $100-200k,2018,3.265344,4.471631,-1.206287,-6706.0,-0.055489202
Texas,AGI $100-200k,2019,3.183421,4.793258,-1.609837,-8700.0,-0.07405250199999999
Texas,AGI $100-200k,2020,3.643079,5.418655,-1.775576,-10386.0,-0.081676496
Texas,AGI $100-200k,2021,3.952679,6.291547,-2.338868,-15043.0,-0.107587928
Texas,AGI $100-200k,2022,4.284847,7.099247,-2.8144,-15796.0,-0.1294624
Texas,AGI $100-200k,2023,4.762184,6.521534,-1.75935,-9705.0,-0.08093009999999999
