statefips,pair,year2,agi_in,agi_out,n1_in,n1_out,n2_in,n2_out
01,1112,2012,2118535.0,2059642.0,49341.0,50940.0,100777.0,105006.0
01,1213,2013,2322922.0,2247089.0,48896.0,49516.0,102657.0,101455.0
01,1314,2014,2189941.5,2209009.0,50281.0,51720.5,106205.5,108273.5
01,1415,2015,1669511.0,1716740.5,39749.0,40798.5,80739.5,81871.5
01,1516,2016,2391044.5,2473829.0,49763.5,49980.5,102601.5,101645.0
01,1617,2017,3511353.0,3260284.5,65117.5,63201.5,136172.5,130023.0
01,1718,2018,2774290.0,2636578.5,53122.5,51968.5,107855.5,103774.5
01,1819,2019,2825716.0,2700211.0,51628.0,50321.0,103647.0,99314.0
01,1920,2020,3358415.0,3102710.0,57426.0,53884.0,117641.5,109074.0
01,2021,2021,3582157.5,3213086.0,59914.5,55680.5,116162.0,105474.0
01,2122,2022,3886332.0,3489356.5,59742.5,55505.5,113447.0,102231.0
01,2223,2023,3685755.5,3415720.0,60102.5,57001.5,111478.5,103310.0
02,1112,2012,712778.0,950156.0,17417.0,18811.0,32832.0,36955.0
02,1213,2013,748512.0,1169990.0,17048.0,20215.0,33256.0,41611.0
02,1314,2014,560032.0,688684.0,11129.5,12784.0,21561.5,25576.0
02,1415,2015,437212.5,496026.0,8749.0,9369.0,16005.5,17353.5
02,1516,2016,574069.5,714273.0,10757.5,12026.0,21038.5,23808.5
02,1617,2017,693728.0,992530.0,12773.0,16032.0,25684.0,33325.0
02,1718,2018,540225.0,699875.0,9901.0,11940.5,18943.5,23446.5
02,1819,2019,565596.0,711497.5,9758.0,11336.0,18405.0,22228.5
02,1920,2020,620208.5,763342.5,10213.0,11615.5,20176.0,23735.0
02,2021,2021,644508.5,757825.5,10653.0,11523.5,19907.0,22073.5
02,2122,2022,691208.5,847669.5,10342.0,11429.5,19154.5,21737.5
02,2223,2023,676123.0,781088.5,10331.5,11026.0,18231.5,20306.0
04,1112,2012,5258696.0,4283129.0,98730.0,88221.0,190316.0,169664.0
04,1213,2013,6252871.0,4745087.0,101534.0,91904.0,196281.0,179924.0
04,1314,2014,3616404.0,3043508.0,66616.5,60636.0,131886.5,120878.0
04,1415,2015,2863696.5,2259503.5,50872.5,45685.0,96401.0,87732.5
04,1516,2016,4258601.5,3262816.5,71888.0,59782.5,139610.0,116394.5
04,1617,2017,6386672.0,4500235.0,99417.5,79837.0,193893.5,156124.0
04,1718,2018,5470296.5,3711826.5,81318.0,64021.5,154271.5,121568.0
04,1819,2019,5763937.0,3924435.0,81205.0,63378.0,151292.0,118126.5
04,1920,2020,7082520.0,4682341.0,91083.0,69807.0,171971.5,131955.0
04,2021,2021,7469301.5,5249650.5,93536.0,77218.0,166866.0,138328.5
04,2122,2022,7947994.0,6103954.0,91053.0,80002.0,158587.5,140167.0
04,2223,2023,6854793.5,5476094.0,85605.5,76947.5,144837.0,131273.5
05,1112,2012,1309845.0,1404757.0,31580.0,32742.0,65126.0,66354.0
05,1213,2013,1449893.0,1490074.0,31665.0,32861.0,65919.0,67692.0
05,1314,2014,1382764.0,1415399.5,34193.0,35401.5,71069.0,73182.5
05,1415,2015,1064109.5,1104121.0,27177.0,27699.0,54581.0,55308.5
05,1516,2016,1527323.5,1544769.5,34632.0,34758.5,71516.0,70912.5
