cbsa,name,region,pop0,native0,native1,d_native,d_fb_share,fb_share0,d_mex_share,mex_share0,d_cuban_share,cuban_share0,d_asian_share,asian_share0,d_native_pc,d_mex_pc,d_fb_pc,d_asian_pc,d_cuban_pc,coll0,rent0,d_lrent,hhinc0,lpop0,medage0,d_mexborn_share,mexborn_share0,mex_base,fb_base,z_fb,z_mex,national_d_fb,national_d_mex
36580,"Oneonta, NY Micro Area",NE,62604.0,60354.0,57220.0,-0.05192696424429201,0.6210529317101775,3.59401955146636,0.2436773626108901,0.333844482780653,0.08174226270551857,0.0638936809149575,0.6111595613413126,0.9104849530381445,-5.0060698996869215,0.21723851511085557,0.4280876621302153,0.5414989457542649,0.07507507507507508,25.49702038159147,733.0,0.2508595726897118,45268.0,11.044584452810392,39.8,,,,,,,7433889.0,6710548.0
36620,"Ontario, OR-ID Micro Area",W,53777.0,49836.0,54113.0,0.08582149450196645,-0.8023541835604941,7.3284117745504584,3.1625607024447695,20.98108856946278,-0.13106377216636683,0.2157055990479201,0.2714835958885239,0.7252171002473176,7.953214199378916,5.009576584785317,-0.30310355728285326,0.34773230191345744,-0.12458857876043662,13.792201754895695,573.0,0.3789383537747355,41159.0,10.892601145448044,36.3,,,,,,,7433889.0,6710548.0
36660,"Opelousas-Eunice, LA Micro Area",S,84309.0,83542.0,80893.0,-0.03170860166143975,0.5940015808647019,0.9097486626576048,0.2751861855978168,0.8255346404298474,-0.06784959704636097,0.10437794304285425,0.15560527744441022,0.4032784163019369,-3.1420133081877384,0.24671150173765552,0.5551008789097249,0.14114744570567792,-0.06879455336915394,12.547344067764987,504.0,0.3867729750960116,31813.0,11.342243899857174,36.8,,,,,,,7433889.0,6710548.0
36700,"Orangeburg, SC Micro Area",S,92475.0,90700.0,82131.0,-0.09447629547960308,-0.24341321590378232,1.9194376858610436,0.22621505454916563,1.3971343606380102,-0.014485879558569476,0.06596377399297107,0.15099488474004696,0.6499053798323872,-9.266288185996215,0.06920789402541228,-0.40551500405515,0.07353338740200054,-0.019464720194647202,16.714015151515152,585.0,0.3179874219471097,32849.0,11.434693616700654,37.3,,,,,,,7433889.0,6710548.0
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",S,2083626.0,1745701.0,2168055.0,0.24193948448216504,4.103911734179127,16.218121678266638,-0.26484270790554965,2.974670118341775,0.874442873129671,1.6981934377858598,0.5918990628323393,3.8819346658181457,20.27014445010765,0.5641127534403967,10.320566166864879,1.9604765922483212,1.6614306022289989,27.96871477529992,994.0,0.5122330835338698,50602.0,14.549620203178083,35.8,-0.7282328495938326,1.776986132063469,0.0018448427951241,0.0063143810180645,2.252823087828549,0.5941520277215988,7433889.0,6710548.0
36780,"Oshkosh-Neenah, WI Metro Area",MW,165032.0,159406.0,165678.0,0.039346072293389205,-0.09490217255626182,3.4090358233554703,0.7837579818801812,2.513451936594115,-0.020012313969269033,0.0678656260604004,0.8681750762036915,2.344999757622764,3.800475059382423,0.9101265209171554,0.03211498376072519,0.991322894953706,-0.01817829269475011,23.714680603736284,623.0,0.39416555285423094,50974.0,12.013894673472844,37.4,-1.788360406125998,2.228785397421017,0.0001077320219873,0.0001393770859714,0.6278259890535439,0.43806104554439873,7433889.0,6710548.0
36820,"Oskaloosa, IA Micro Area",MW,22382.0,22062.0,21584.0,-0.021666213398603935,0.6614568267087741,1.4297203109641676,0.3908172410925663,1.2331337682065946,0.11794057609435246,0.0,0.4152623697083157,0.755071039227951,-2.1356447145027255,0.366365829684568,0.6299705120185863,0.39764096148690914,0.11616477526583861,17.862741089075172,521.0,0.4547730676990609,45025.0,10.016012343377973,39.0,,,,,,,7433889.0,6710548.0
36900,"Ottumwa, IA Micro Area",MW,35553.0,33580.0,32026.0,-0.046277546158427635,3.6352827129973155,5.549461367535791,2.304928427258144,5.844795094647428,0.41195355110108556,0.09563187354091075,0.6336897138237658,0.8578741597052288,-4.370939161252215,2.238910921722499,3.5608809383174416,0.6216071780159199,0.4078418136303547,14.898240628526056,565.0,0.5196362534481453,40093.0,10.478779819856559,39.8,,,,,,,7433889.0,6710548.0
36940,"Owatonna, MN Micro Area",MW,36434.0,35128.0,35610.0,0.013721248007287634,1.234616629843465,3.584563868913652,2.523730152304704,4.984355272547621,-0.014082551668449973,0.027446890267332713,-0.17433077995602048,0.839874842180381,1.3229401108854366,2.725476203546138,1.3641104462864357,-0.15644727452379645,-0.013723445133666357,22.01884141806462,650.0,0.43676498777000194,55321.0,10.503257683590775,38.0,,,,,,,7433889.0,6710548.0
36980,"Owensboro, KY Metro Area",S,113588.0,111779.0,108410.0,-0.03013982948496587,1.8902461568258113,1.5925978096277775,1.0626084698787457,1.3857097580730358,0.02476240155861117,0.06426735218508997,1.5437230237251793,0.4692397084199035,-2.9659823220762758,1.0353206324611754,1.8514279677430714,1.5212874599429518,0.02377011656160862,16.888331242158092,545.0,0.49491998051026975,42799.0,11.640333145886729,38.9,1.9872856555054588,0.7649517581472934,3.158977388911292e-05,3.3763146084548174e-05,0.22096654601130028,0.18662595872102591,7433889.0,6710548.0
37020,"Owosso, MI Micro Area",MW,71621.0,70865.0,67284.0,-0.0505327030268821,0.08606662463418596,1.0555563312436296,0.5039181618431764,1.7969589924742742,0.01784170099049468,0.03211348626799402,0.09988840346939862,0.30856871587942086,-4.99993018807333,0.3895505508161014,0.029321009201211935,0.07958559640328954,0.015358623867301491,14.932562620423893,637.0,0.31859643536422855,46453.0,11.179143606035232,39.4,,,,,,,7433889.0,6710548.0
37060,"Oxford, MS Micro Area",S,45859.0,44122.0,67186.0,0.5227324237341916,-0.6547222592492234,3.7876970714581653,0.5145959089753994,1.5918358446542664,0.26966898120248917,0.08068209075644912,-0.14260263375321414,1.9996074925314549,50.29329030288493,1.594016441701738,0.9507403126976167,0.8090015046119627,0.44920299177914913,39.25778876149577,737.0,0.34053453063009176,39080.0,10.733326750679167,26.8,,,,,,,7433889.0,6710548.0
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",W,809080.0,624069.0,654302.0,0.048444963617805085,-0.9217096619463905,22.866836406783012,3.1519374946338,35.05809067088545,0.1350846102104846,0.16327186433974392,0.3365334275504936,6.888441192465517,3.7367133039996046,4.52995995451624,-0.13027141938992437,0.5970979383991694,0.14584466307410887,30.80336494826208,1391.0,0.48001801909013864,75348.0,13.603653078667032,36.0,-0.6440668283996835,18.768035765349993,0.0103488099260733,0.004994414986224,4.58890673697604,8.583352171823718,7433889.0,6710548.0
37140,"Paducah, KY-IL Micro Area",S,98381.0,96946.0,101259.0,0.04448868442225569,0.1590835195085809,1.4586149764690337,0.6225537379204336,1.1719742633232026,-0.006757770197598687,0.06505321149408931,0.16554674408987366,0.5417712769742125,4.383976580843862,0.7054207621390309,0.23378497880688345,0.19820900377105335,-0.004065825718380582,18.0148337003129,540.0,0.4583620542302498,41288.0,11.496602974965286,41.7,,,,,,,7433889.0,6710548.0
37220,"Pahrump, NV Micro Area",W,43878.0,40071.0,49023.0,0.22340345886052257,-0.8127028572252004,8.676329823601806,0.9447480421696588,11.226582797757418,0.0366680313360521,0.30539222389352294,0.6448589913438407,1.3172888463466885,20.402023793244904,3.5325219927982134,0.859200510506404,1.0620356442864305,0.1093942294543963,10.487281449220475,852.0,0.1730849774193679,41181.0,10.689168334499007,47.4,,,,,,,7433889.0,6710548.0
37260,"Palatka, FL Micro Area",S,74715.0,71551.0,70731.0,-0.011460356948190802,0.4853867340197999,4.234758749916349,1.1592842455807717,4.707220772267952,0.4481863032105013,0.5648129558990832,-0.08981229094888717,0.6933012112694907,-1.0975038479555645,1.121595395837516,0.4550625711035267,-0.0936893528742555,0.44167837783577596,12.230806845965772,587.0,0.42958970023452725,34645.0,11.221436154175494,42.4,,,,,,,7433889.0,6710548.0
37300,"Palestine, TX Micro Area",S,58016.0,54472.0,54055.0,-0.007655309149654868,0.41101174230690696,6.108659680088251,3.602823372487074,12.739589078874793,-0.010256573972527279,0.036196911196911194,0.041523050486363434,0.5291643684500827,-0.7187672366243795,3.5490209597352456,0.3895477109762824,0.0396442360728075,-0.010341974627688913,11.34539617685685,647.0,0.4413910561587837,40378.0,10.968474113554578,38.5,,,,,,,7433889.0,6710548.0
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",S,540583.0,494121.0,561557.0,0.136476692955774,0.9092927361396774,8.594794878862265,0.6644418262934156,1.1456150119408122,0.6542138415388612,0.911053436752543,0.3787016860570303,2.0413146547338705,12.474680113877055,0.9321417802631604,2.314908163963721,0.7366121391164724,0.8857104274459241,26.210519001577566,897.0,0.48439236669783536,49523.0,13.200403465789151,44.6,0.2834685670701462,0.4461195292669794,0.0001119803019241,0.0009930657417144,1.3656257214169738,0.13900718134239615,7433889.0,6710548.0
37420,"Pampa, TX Micro Area",S,23374.0,21737.0,19870.0,-0.08589041726089157,2.3321370192556587,7.003508171472577,7.06929409744243,19.77410798322923,0.0,0.0,0.6053766153000341,0.45777359459228206,-7.987507486951313,5.394883203559511,1.7498074783947974,0.5390604945666124,0.0,13.05474775572133,598.0,0.4054651081081646,40881.0,10.059379572493102,38.9,,,,,,,7433889.0,6710548.0
37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",S,166798.0,157728.0,191312.0,0.21292351389734226,1.9741913983076078,5.437715080516553,0.746210893025905,1.556973105193108,0.09678526244219274,0.4268636314584108,-0.4450365181231076,2.2686123334812165,20.134533987218074,1.2961786112543316,3.7440496888451897,-0.009592441156368783,0.22182520174102807,20.415792350690342,889.0,0.44696179061083274,47770.0,12.024538778427225,38.7,-0.5537589484559431,0.9365370096997496,2.178605095800891e-05,0.0001812126351046,0.8076323545636637,0.08764873720558088,7433889.0,6710548.0
37500,"Paragould, AR Micro Area",S,41318.0,40921.0,45756.0,0.11815449280320618,-0.038402998489620206,0.9608403117285444,1.4249734175214417,1.190764315794569,0.0,0.0,0.23015438453366494,0.13795440243961468,11.701921680623457,1.7329009148555108,0.07018732755699696,0.2734885522048502,0.0,11.985937671659281,568.0,0.4054651081081637,38209.0,10.629053519351574,37.3,,,,,,,7433889.0,6710548.0
37540,"Paris, TN Micro Area",S,32042.0,31541.0,31834.0,0.009289496211280555,0.01626951424832726,1.5635728106859748,0.3942423729312845,1.4793084077148742,0.09275003864584944,0.0,0.5181138386259131,0.13731976780475627,0.9144248174271268,0.41195930341426873,0.031209038137444602,0.5243118407090693,0.0936271144123338,14.840755913836395,534.0,0.3276047863358915,36836.0,10.374802821206659,43.4,,,,,,,7433889.0,6710548.0
37580,"Paris, TX Micro Area",S,49536.0,47508.0,59495.0,0.2523153995116612,0.0112912695550825,4.0939922480620154,2.760932435887601,5.1740148578811365,0.011282679475194223,0.0,0.2705342840188196,0.536983204134367,24.198562661498705,4.76421188630491,1.0477228682170543,0.4744024547803618,0.014131136950904392,17.424890083048364,587.0,0.4251452484741032,38015.0,10.8104549569494,39.6,,,,,,,7433889.0,6710548.0
37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",S,162214.0,160855.0,88092.0,-0.45235149668956515,0.13793723550016931,0.8377821889602624,0.22584914086312666,0.510436830359895,0.040539057651261465,0.024658784075357244,-0.051947445766862936,0.48022981986758234,-44.85617764188048,-0.10664924112592009,-0.3026865745250102,-0.24535490154980458,0.01109645283391076,17.195177593710515,560.0,0.3390200087000119,41687.0,11.996671730132269,41.9,0.0,0.0,7.625117835303119e-06,3.0271511432540817e-05,0.13872727129085,0.031543959978459116,7433889.0,6710548.0
