spec,y,x,ctrl,n,coef,se,lo,hi
none,net_out_all,mex_share,none,487,-0.014012958293797676,0.011591541429803214,-0.0367319620215159,0.008706045433920548
size,net_out_all,mex_share,lpop,487,-0.013344988951424535,0.011839235109477606,-0.036549463370502765,0.009859485467653695
size+tax,net_out_all,mex_share,lpop+tax_top1,487,-0.010968033729412895,0.005860342086005707,-0.02245409315506841,0.0005180256962426227
size+tax+rent,net_out_all,mex_share,lpop+tax_top1+rent,487,-0.012775292787652697,0.007227584161756337,-0.026941097439927234,0.00139051186462184
size+tax+rent+coll+inc,net_out_all,mex_share,lpop+tax_top1+rent+coll+hhinc,487,-0.009749682634591646,0.007957608095449578,-0.02534630790475719,0.005846942635573902
none,net_out_all,fb_share,none,561,0.024490691321659777,0.015160123397371817,-0.005222604538371992,0.054203987181691546
size,net_out_all,fb_share,lpop,561,0.03626116491462377,0.018496426985593204,8.834180186330365e-06,0.0725134956490612
size+tax,net_out_all,fb_share,lpop+tax_top1,561,0.017259064614974978,0.01584847969057731,-0.013803384788271048,0.048321514018221004
size+tax+rent,net_out_all,fb_share,lpop+tax_top1+rent,561,-0.011544231931319874,0.02179827635986975,-0.05426806852171545,0.031179604659075707
size+tax+rent+coll+inc,net_out_all,fb_share,lpop+tax_top1+rent+coll+hhinc,561,-0.011035324199314522,0.019651431599894697,-0.049551422379760464,0.02748077398113142
none,net_out_all,asian_share,none,561,0.03645415311457821,0.012033423674741235,0.01286907610137376,0.06003923012778266
size,net_out_all,asian_share,lpop,561,0.037992245280992994,0.014765034743068407,0.009053308954096305,0.06693118160788969
size+tax,net_out_all,asian_share,lpop+tax_top1,561,0.0211292189027849,0.013304604299083204,-0.004947326351974948,0.04720576415754475
size+tax+rent,net_out_all,asian_share,lpop+tax_top1+rent,561,0.007857974012546776,0.01459851177409471,-0.020754583292562787,0.03647053131765634
size+tax+rent+coll+inc,net_out_all,asian_share,lpop+tax_top1+rent+coll+hhinc,561,0.012398387704408046,0.016827516791707575,-0.0205829391565818,0.0453797145653979
none,net_out_all,cuban_share,none,487,-0.1308929384271311,0.023916569429695795,-0.1777685531430865,-0.08401732371117568
size,net_out_all,cuban_share,lpop,487,-0.12616158108102904,0.04102929546275068,-0.20657752249907302,-0.04574563966298506
size+tax,net_out_all,cuban_share,lpop+tax_top1,487,-0.02491369866119579,0.035500923707392704,-0.09449423054558966,0.044666833223198074
size+tax+rent,net_out_all,cuban_share,lpop+tax_top1+rent,487,-0.05568210914862011,0.030075627397061194,-0.11462925565930618,0.003265037362065959
size+tax+rent+coll+inc,net_out_all,cuban_share,lpop+tax_top1+rent+coll+hhinc,487,-0.02962577810874012,0.03661349734345531,-0.10138691424996547,0.042135358032485234
none,net_out_all,tax_top1,none,561,0.1247847396657489,0.03805587009718096,0.05019660487493942,0.19937287445655838
size,net_out_all,tax_top1,lpop,561,0.12834689359355292,0.036003751911055114,0.05778083653956975,0.19891295064753609
size+tax,net_out_all,tax_top1,lpop,561,0.12834689359355292,0.036003751911055114,0.05778083653956975,0.19891295064753609
size+tax+rent,net_out_all,tax_top1,lpop+rent,561,0.10616040530516926,0.03927966724565367,0.029173672178970447,0.1831471384313681
size+tax+rent+coll+inc,net_out_all,tax_top1,lpop+rent+coll+hhinc,561,0.11150576148710808,0.03082275897740509,0.05109426398723548,0.17191725898698068
none,net_out_top,mex_share,none,487,-0.030481072619575923,0.024904520143355063,-0.07929303515280414,0.018330889913652303
size,net_out_top,mex_share,lpop,487,-0.03483987591651774,0.02606376957025033,-0.08592392557555939,0.016244173742523904
size+tax,net_out_top,mex_share,lpop+tax_top1,487,-0.02998275216794038,0.016606517163017885,-0.0625309277161017,0.002565423380220949
size+tax+rent,net_out_top,mex_share,lpop+tax_top1+rent,487,-0.02965443555086362,0.017251873838935956,-0.06346748694100685,0.0041586158392796155
size+tax+rent+coll+inc,net_out_top,mex_share,lpop+tax_top1+rent+coll+hhinc,487,-0.01211669951114607,0.01743520852936382,-0.04628908029164472,0.022055681269352576
none,net_out_top,fb_share,none,561,0.03500191409896383,0.039983376716717256,-0.04336406424609934,0.11336789244402701
size,net_out_top,fb_share,lpop,561,0.03094019163065882,0.047497393423581946,-0.062152988839091414,0.12403337210040906
size+tax,net_out_top,fb_share,lpop+tax_top1,561,-0.014238090467139483,0.04205836325994485,-0.09667096770533402,0.06819478677105505
size+tax+rent,net_out_top,fb_share,lpop+tax_top1+rent,561,-0.06278287892222001,0.05473270673143194,-0.17005701289221958,0.04449125504777958
size+tax+rent+coll+inc,net_out_top,fb_share,lpop+tax_top1+rent+coll+hhinc,561,-0.05160357858884793,0.043084580413414925,-0.136047804488161,0.03284064731046515
none,net_out_top,asian_share,none,561,0.03361363989282255,0.04117294175213996,-0.04708384307893723,0.11431112286458234
size,net_out_top,asian_share,lpop,561,0.030934916042347584,0.03762719063678017,-0.042813022445164294,0.10468285452985945
size+tax,net_out_top,asian_share,lpop+tax_top1,561,-0.009001279123532262,0.03434763544878965,-0.07632140755727124,0.05831884931020671
size+tax+rent,net_out_top,asian_share,lpop+tax_top1+rent,561,-0.025013516795945056,0.0462692926400446,-0.11569966396057667,0.06567263036868655
size+tax+rent+coll+inc,net_out_top,asian_share,lpop+tax_top1+rent+coll+hhinc,561,0.0007971812227006662,0.03809584044876962,-0.07386929401767199,0.07546365646307333
none,net_out_top,cuban_share,none,487,-0.5027278333174782,0.05852192240209316,-0.6174286935316285,-0.3880269731033278
size,net_out_top,cuban_share,lpop,487,-0.5512436346162937,0.09361031135382024,-0.7347164734513623,-0.36777079578122507
size+tax,net_out_top,cuban_share,lpop+tax_top1,487,-0.36566734078118585,0.1046591233418264,-0.5707954531847008,-0.16053922837767082
size+tax+rent,net_out_top,cuban_share,lpop+tax_top1+rent,487,-0.38213992672568514,0.08427803397227118,-0.5473218379991798,-0.21695801545219048
size+tax+rent+coll+inc,net_out_top,cuban_share,lpop+tax_top1+rent+coll+hhinc,487,-0.2999816128518922,0.09342333890798628,-0.4830879924270248,-0.11687523327675953
none,net_out_top,tax_top1,none,561,0.26427324067325825,0.087303550553482,0.09316142586596163,0.43538505548055484
size,net_out_top,tax_top1,lpop,561,0.26108837565967113,0.0935764770613339,0.07768185081931817,0.4444949005000241
size+tax,net_out_top,tax_top1,lpop,561,0.26108837565967113,0.0935764770613339,0.07768185081931817,0.4444949005000241
size+tax+rent,net_out_top,tax_top1,lpop+rent,561,0.25218667033011893,0.10349214234669764,0.049345798647698974,0.4550275420125389
size+tax+rent+coll+inc,net_out_top,tax_top1,lpop+rent+coll+hhinc,561,0.239583668700051,0.07749463804154381,0.08769696914365752,0.39147036825644443
none,net_agi,mex_share,none,487,-0.023292102159193025,0.01904351723779948,-0.060616710084247696,0.014032505765861649
size,net_agi,mex_share,lpop,487,-0.026901060610928146,0.020655666006941676,-0.06738542206122211,0.013583300839365813
size+tax,net_agi,mex_share,lpop+tax_top1,487,-0.023241091521913032,0.012869783562954313,-0.04846540379412906,0.0019832207503029976
size+tax+rent,net_agi,mex_share,lpop+tax_top1+rent,487,-0.02164976970980795,0.0128391984819588,-0.046814136324808533,0.0035145969051926344
size+tax+rent+coll+inc,net_agi,mex_share,lpop+tax_top1+rent+coll+hhinc,487,-0.009792563542427458,0.01299674133130418,-0.035265708468166804,0.015680581383311888
none,net_agi,fb_share,none,561,0.02139393601988688,0.030634771821745264,-0.03864911342533634,0.0814369854651101
size,net_agi,fb_share,lpop,561,0.017925149911306566,0.03184240222446399,-0.04448481162988095,0.08033511145249408
size+tax,net_agi,fb_share,lpop+tax_top1,561,-0.01874505021873968,0.029645485428461044,-0.0768491339627303,0.03935903352525094
size+tax+rent,net_agi,fb_share,lpop+tax_top1+rent,561,-0.041214462168386506,0.03985618334906772,-0.11933114609378423,0.03690222175701122
size+tax+rent+coll+inc,net_agi,fb_share,lpop+tax_top1+rent+coll+hhinc,561,-0.038833114048026154,0.031172007137840168,-0.09992912536401838,0.02226289726796607
none,net_agi,asian_share,none,561,0.031058958534306645,0.028648797297274917,-0.025091652368740634,0.08720956943735392
size,net_agi,asian_share,lpop,561,0.02935627846899958,0.026584636893004294,-0.022748652383363637,0.08146120932136279
size+tax,net_agi,asian_share,lpop+tax_top1,561,-0.0015838794632265238,0.02309440450343761,-0.046848080534363866,0.04368032160791082
size+tax+rent,net_agi,asian_share,lpop+tax_top1+rent,561,0.0020193240429193047,0.028825102400210134,-0.054476838512171624,0.05851548659801023
size+tax+rent+coll+inc,net_agi,asian_share,lpop+tax_top1+rent+coll+hhinc,561,0.008261645528095982,0.02829181643116116,-0.047189295734198416,0.06371258679039038
none,net_agi,cuban_share,none,487,-0.43836265599543855,0.043070904356939575,-0.5227800773166094,-0.3539452346742677
size,net_agi,cuban_share,lpop,487,-0.481343598117298,0.05962860548291462,-0.5982135173121582,-0.36447367892243776
size+tax,net_agi,cuban_share,lpop+tax_top1,487,-0.3464253269660818,0.052653756859115226,-0.44962479406067646,-0.24322585987148712
size+tax+rent,net_agi,cuban_share,lpop+tax_top1+rent,487,-0.34084772414819653,0.05187146745990564,-0.4425139321948529,-0.23918151610154012
size+tax+rent+coll+inc,net_agi,cuban_share,lpop+tax_top1+rent+coll+hhinc,487,-0.23659053323373566,0.059497665227462845,-0.35320381424378394,-0.11997725222368737
none,net_agi,tax_top1,none,561,0.2080102213290703,0.05853651213271246,0.09328076576836197,0.3227396768897786
size,net_agi,tax_top1,lpop,561,0.20618924122600302,0.06065448546426369,0.08730863421523796,0.3250698482367681
size+tax,net_agi,tax_top1,lpop,561,0.20618924122600302,0.06065448546426369,0.08730863421523796,0.3250698482367681
size+tax+rent,net_agi,tax_top1,lpop+rent,561,0.21006194732157896,0.07763428554002931,0.05790154369762282,0.3622223509455351
size+tax+rent+coll+inc,net_agi,tax_top1,lpop+rent+coll+hhinc,561,0.22317953703460913,0.053535720641640194,0.1182514526905968,0.3281076213786215
none,net_agi_top,mex_share,none,487,-0.042732933324184555,0.034541938566109376,-0.11043388886995405,0.024968022221584937
size,net_agi_top,mex_share,lpop,487,-0.05547199276941114,0.036862120158406765,-0.1277204206736763,0.01677643513485403
size+tax,net_agi_top,mex_share,lpop+tax_top1,487,-0.04984644464695173,0.02637195411889066,-0.10153452492192017,0.0018416356280166954
size+tax+rent,net_agi_top,mex_share,lpop+tax_top1+rent,487,-0.042528418384580366,0.02482071607232448,-0.0911761279568308,0.00611929118767008
size+tax+rent+coll+inc,net_agi_top,mex_share,lpop+tax_top1+rent+coll+hhinc,487,-0.015254944090631512,0.02321347019253082,-0.06075250962418599,0.03024262144292297
none,net_agi_top,fb_share,none,561,0.014918534001078931,0.06077234804238358,-0.10419307941792615,0.134030147420084
size,net_agi_top,fb_share,lpop,561,-0.02384861779580315,0.06076994148093562,-0.14295551444104365,0.09525827884943734
size+tax,net_agi_top,fb_share,lpop+tax_top1,561,-0.08851618489018337,0.05847453367615863,-0.20312416490822882,0.026091795127862083
size+tax+rent,net_agi_top,fb_share,lpop+tax_top1+rent,561,-0.1097732159910101,0.07730050970730336,-0.26127943100391354,0.04173299902189333
size+tax+rent+coll+inc,net_agi_top,fb_share,lpop+tax_top1+rent+coll+hhinc,561,-0.09937902398277462,0.05747625394320744,-0.21203041167773948,0.013272363712190233
none,net_agi_top,asian_share,none,561,0.0025815024053822393,0.0619610950612662,-0.11886001235736213,0.12402301716812661
