item,allocation,group,dollars_per_adult_25_64,se_sampling,n_adults_unweighted,weighted_adults,difference_from_third_plus_nh_white,se_difference
ccdf_literal,equal_all_members,third_plus_nh_white,46.76132838171628,1.0848755107426542,36287,87647853.34583464,,
ccdf_literal,equal_all_members,all_native,58.43320120284134,1.041553735446841,55652,134686458.17077535,11.671872821125056,0.6997861041926553
ccdf_literal,equal_all_members,all_second_gen,68.27854294727612,2.7182604188761084,6871,16869387.509126462,21.51721456555984,2.82821313664832
ccdf_literal,equal_all_members,mexican_second_gen,108.67549097730513,5.5865181200082565,2452,5614636.31290289,61.91416259558885,5.688204852752684
ccdf_literal,equal_all_members,mexican_third_plus_selfid,85.78186849059334,5.721691018241236,2477,5526182.2353818305,39.02054010887706,5.648221025614399
ccdf_literal,equal_all_members,mexico_born,120.1730760877944,4.949474590051525,4318,9446562.93512691,73.41174770607812,5.078797703143185
ccdf_literal,equal_adults_18plus,third_plus_nh_white,107.4264897644388,2.6726483434131056,36287,87647853.34583464,,
ccdf_literal,equal_adults_18plus,all_native,137.2973273947034,2.6369719146567996,55652,134686458.17077535,29.87083763026459,1.9196488482388903
ccdf_literal,equal_adults_18plus,all_second_gen,156.01567011020663,6.925552871951278,6871,16869387.509126462,48.58918034576783,7.202150414050201
ccdf_literal,equal_adults_18plus,mexican_second_gen,250.2577487542447,14.385406359207236,2452,5614636.31290289,142.8312589898059,14.491179678703284
ccdf_literal,equal_adults_18plus,mexican_third_plus_selfid,192.49044610129857,13.777145200949079,2477,5526182.2353818305,85.06395633685977,13.688753795311106
ccdf_literal,equal_adults_18plus,mexico_born,252.01063064240583,11.617169499280312,4318,9446562.93512691,144.58414087796703,11.859487307211502
ccdf,equal_all_members,third_plus_nh_white,21.08959934451751,0.4892844290793765,36287,87647853.34583464,,
ccdf,equal_all_members,all_native,26.3536739530979,0.4697460858478833,55652,134686458.17077535,5.2640746085803904,0.31560712826228315
