person_rule,estimate,se
all,340110990.0,4.0
grp_p1,39429519.0,75333.5097977653
hisp_mx,38932033.0,79640.57987797428
mx_born,11592022.0,58971.39923513771
gq,8388561.0,0.0
grp_gq,650205.0,6545.531330610221
