OWNENT,properties,units,sample,entity,properties_share_all,properties_share_reported,units_share_all,units_share_reported
-9,1561466.0245501613,5402661.84196077,563,not reported,0.08233593917928292,,0.10828025379417058,
1,11161819.610242218,15767309.484867804,785,individual investor,0.5885615736171963,0.6413693188450831,0.3160087235911656,0.3543812110651899
2,1200034.6740918343,1889846.7148272954,89,trustee for estate,0.06327770209891094,0.06895519264677122,0.03787634464260903,0.04247561501667845
3,4065470.202974623,21471485.541197333,2257,"LLP, LP or LLC",0.21437181603982594,0.23360598414206338,0.43033193113839774,0.48258652224469994
4,8643.279238289,45860.17032153,10,tenant in common,0.00045575920480135965,0.0004966514700311455,0.0009191304262080105,0.0010307391196828493
5,49232.6511039617,697875.6928134975,108,general partnership,0.0025960325125219696,0.002828957374880951,0.013986838218844206,0.01568523998527192
6,197303.7908943458,663319.084373082,62,REIT,0.010403808133832976,0.01133727316783909,0.013294253999870404,0.014908556254850257
7,131645.7772476399,1505039.2142589146,155,real estate corporation,0.006941667982685525,0.0075644980326212315,0.030164025226311335,0.033826799680792066
8,22711.4771733563,189075.9025259814,33,housing cooperative,0.001197573801681565,0.0013050241943773073,0.0037894629186054807,0.004249611982609147
9,118938.185193673,1055474.1602214098,244,nonprofit,0.006271597990754717,0.006834307083079709,0.021153833662942247,0.02372251343872277
10,447308.4866996475,1207223.7742456356,119,other institution,0.023586529438505966,0.02570279304325293,0.024195202380875403,0.027133191211502667
