quarter,hh_owner_occ_market,hh_resid_structures,nc_fdi_re_debt,nc_fdi_re_equity,nc_real_estate_market,nc_resid_market,nc_resid_structures,land_share_owner_occupied,land_share_noncorp_residential,foreign_share_noncorp_real_estate,foreign_equity_share_noncorp_real_estate
2019:Q4,28528131.0,18608464.0,6985.0,108080.0,13210796.0,7673281.0,3964390.0,0.34771527794793144,0.4833513851506285,0.008709921794265841,0.008181187568107175
2022:Q4,41881209.0,26517950.0,4397.0,76944.0,17222888.0,10531414.0,5276116.0,0.3668294055216983,0.4990116237002933,0.00472284323047331,0.0044675434224504046
2023:Q4,44742853.0,26996160.0,4977.0,106858.0,16858420.0,10230674.0,5387540.0,0.39663749202582144,0.473393444068299,0.006633777068076368,0.006338553672289574
2024:Q4,46891453.0,27911336.0,4644.0,117154.0,17038344.0,10341836.0,5575573.0,0.404767090497281,0.4608720347141455,0.007148464662997765,0.00687590296333963
2025:Q4,47862010.0,28951762.0,4037.0,124786.0,17304620.0,10436225.0,5747438.0,0.39509932825637706,0.44927998390222523,0.0074444281353765645,0.007211137834867221
2026:Q2,49791678.0,29697221.0,4213.0,130196.0,17650086.0,10603430.0,5867394.0,0.40357059266008266,0.44665131943154246,0.0076152036879593675,0.007376507967156647
