item,estimate
intp_all,796028453691.8926
intp_grp_p1,17277726433.225002
intp_hispanic,37979161892.832504
intp_positive_all,31279937.0
intp_positive_grp_p1,950981.0
households_all,132737145.0
households_hispanic_head,20219998.0
households_grp_head,11116792.0
households_hisp02_head,10956962.0
owners_2to4_all,1748321.0
owners_2to4_grp_head,104511.0
owners_2to4_hispanic_head,296485.0
owners_all,86710963.0
owners_grp_head,6074042.0
renters_in_2to4_all,7772077.0
renters_in_2to4_grp_head,865194.0
