arm,level,elasticity,form,geography,ownership,leak_other_occupied,leak_group_occupied,other_renters_extra_rent_bn,other_renters_share_of_rent,group_renters_extra_rent_bn,landlord_gain_from_other_renters_to_others_bn,landlord_gain_from_other_renters_leaked_bn,landlord_gain_from_group_to_others_bn,landlord_gain_from_group_leaked_bn,net_other_residents_frame_bn,kappa_group,other_renters_welfare_loss_bn,landlords_welfare_gain_all_owners_bn,net_other_residents_welfare_bn,other_owner_value_gain_stock_bn,group_owner_value_gain_stock_bn,extra_rent_per_other_renter_household,rule
short_run,low,1.0,A,metro_local,central,0.035,0.065,78.92176153361503,0.11520630820080538,23.23681763789191,76.1594998799385,2.762261653676526,21.726424491428936,1.5103931464629743,18.96416283775241,0.49999999999999994,90.54017035256098,102.15857917150693,7.345754018806453,4497.520355172185,775.0087372804331,2024.0460000508058,householder
short_run,low,1.0,A,national_uniform,central,0.035,0.065,82.37335883736978,0.12024478903339643,10.025149807024274,79.49029127806185,2.8830675593079422,9.373515069567697,0.6516347374565779,6.490447510259755,0.5000000000000007,87.38593374088191,92.39850864439406,1.4778726067476236,4701.149420425319,301.2447827665267,2112.566473754061,householder
short_run,central,1.5,A,metro_local,central,0.035,0.065,110.4222543061106,0.16118925901570388,31.04454322945948,106.55747540539673,3.864778900713871,29.026647919544615,2.0178953099148664,25.161869018830746,0.5217116381709127,125.27049803106105,141.46679753557007,10.313625293880285,6288.01150222484,1023.3868012214871,2831.9150232053694,householder
short_run,central,1.5,A,national_uniform,central,0.035,0.065,119.7676630470055,0.17483125101821972,14.57617828179087,115.57579484036029,4.191868206645193,13.628726693474464,0.9474515883164066,9.436858486829271,0.5053332083364116,126.97801439237546,134.34384132879634,2.2265071414593054,6835.2885892482445,437.99820896318545,3071.589566870889,householder
short_run,high,2.0,A,metro_local,central,0.035,0.065,137.98581285370344,0.20142525678664047,37.32210893053185,133.1563094038238,4.8295034498796205,34.89617185004728,2.42593708048457,30.06666840016766,0.5408670598136441,155.12162246093396,175.3079217842353,12.93085879293712,7853.215013677471,1219.5066765092367,3538.816508186276,householder
short_run,high,2.0,A,national_uniform,central,0.035,0.065,154.84175051936776,0.22603076877710682,18.844827590474726,149.42228925118988,5.419461268177873,17.61991379709387,1.224913793380857,12.200452528915996,0.51066132058064,164.0632535663762,173.6865781098425,2.9789494819075717,8837.01012057712,566.266450181881,3971.107837552539,householder
long_run,low,0.25,A,metro_local,central,0.035,0.065,22.147597973774978,0.032330031014164304,7.1611787533826,21.372432044692854,0.7751659290821243,6.695702134412732,0.4654766189698691,5.920536205330607,0.45942124426164926,22.147597973774978,25.4375956270341,2.300981876715154,1263.8785232803805,245.31262863174575,568.0024902948873,householder
long_run,low,0.25,A,national_uniform,central,0.035,0.065,21.592985738717047,0.03152043392912197,2.6279481602657593,20.83723123786195,0.7557545008550968,2.4571315298484855,0.17081663041727438,1.7013770289933887,0.49199540260182406,21.592985738717047,22.885924151843724,0.4531429154183445,1232.3383897849458,78.96696686829223,553.7787748818689,householder
long_run,central,0.39106145251396646,A,metro_local,central,0.035,0.065,33.858535114576824,0.049425111095325755,10.722279943438046,32.67348638556663,1.185048729010189,10.025331747114572,0.6969481963234729,8.840283018104383,0.4680770107731071,33.858535114576824,38.877387859173744,3.507578587187932,1931.6398319116452,365.03186514840365,868.3439299191209,householder
long_run,central,0.39106145251396646,A,national_uniform,central,0.035,0.065,33.47498223794534,0.04886521848702796,4.074032144123679,32.30335785961726,1.171624378328087,3.80922005475564,0.2648120893680392,2.637595676427553,0.49350108350907296,33.47498223794534,35.48552151532117,0.7082298460183115,1910.4586187551593,122.42020836241983,858.5072429183717,householder
