spec,dep,offset,n,quadratic,elasticity_log_share,se,z_vs_zero,z_vs_one,log_pop_coef,log_inc_coef,dep_total,dep_zero_cbsas,dropped_collinear,quad_coef,quad_se,quad_z
all_cbsas,mexican,pop_b03001,935,False,0.38446,0.04489,8.56407,-13.71158,-0.02669,0.69407,28523.0,346,,,,
all_cbsas,mexican,pop_b03001,935,True,0.33722,0.15141,2.22722,-4.37734,-0.02687,0.67399,28523.0,346,,-0.00985,0.02852,-0.34547
all_cbsas_name_classifier,mexican_by_name,pop_b03001,935,False,0.34258,0.04609,7.43233,-14.26307,-0.00931,0.65406,18124.0,354,,,,
all_cbsas_name_classifier,mexican_by_name,pop_b03001,935,True,0.32845,0.15753,2.08504,-4.26305,-0.00936,0.64813,18124.0,354,,-0.00291,0.02973,-0.0979
all_cbsas_tagged_offset,mexican,tagged,605,False,0.20034,0.0155,12.92912,-51.60606,-0.03519,-0.06043,28523.0,16,region_PR,,,
all_cbsas_tagged_offset,mexican,tagged,605,True,0.1724,0.04514,3.81917,-18.33396,-0.03544,-0.06939,28523.0,16,region_PR,-0.00571,0.00834,-0.68487
all_cbsas_placebo,all,pop_b03001,935,False,0.17464,0.04824,3.61983,-17.10771,-0.00058,0.75591,261400.0,329,,,,
all_cbsas_placebo,chinese,pop_b03001,935,False,0.17513,0.0706,2.48072,-11.68426,0.04235,1.6425,10848.0,445,,,,
all_cbsas_placebo,italian,pop_b03001,935,False,0.14529,0.05414,2.68359,-15.78733,-0.02592,0.90094,31970.0,340,,,,
all_cbsas_placebo,indian,pop_b03001,935,False,0.26659,0.09252,2.88145,-7.92705,0.03627,3.32309,2836.0,704,,,,
all_cbsas_placebo,american,pop_b03001,935,False,0.17667,0.03977,4.44233,-20.70253,-0.01801,-0.0024,58740.0,331,,,,
metro_only,mexican,pop_b03001,393,False,0.39525,0.04996,7.91121,-12.10475,-0.02719,0.72118,26647.0,126,,,,
metro_only,mexican,pop_b03001,393,True,0.32724,0.1755,1.86464,-3.83352,-0.02787,0.69214,26647.0,126,,-0.01438,0.03397,-0.42332
metro_only_name_classifier,mexican_by_name,pop_b03001,393,False,0.35465,0.05106,6.9454,-12.6384,-0.01715,0.66071,17016.0,126,,,,
metro_only_name_classifier,mexican_by_name,pop_b03001,393,True,0.31913,0.18405,1.73394,-3.69933,-0.01747,0.64568,17016.0,126,,-0.00743,0.03589,-0.20699
metro_only_tagged_offset,mexican,tagged,270,False,0.20559,0.01702,12.08081,-46.68035,-0.03835,-0.05807,26647.0,3,region_PR,,,
metro_only_tagged_offset,mexican,tagged,270,True,0.16024,0.05153,3.10983,-16.29698,-0.03903,-0.07237,26647.0,3,region_PR,-0.00943,0.00996,-0.94664
metro_only_placebo,all,pop_b03001,393,False,0.18405,0.05372,3.42592,-15.18792,0.00285,0.7659,243589.0,122,,,,
metro_only_placebo,chinese,pop_b03001,393,False,0.17466,0.07653,2.28229,-10.78482,0.04763,1.72007,10342.0,130,,,,
metro_only_placebo,italian,pop_b03001,393,False,0.15308,0.06055,2.52795,-13.98632,-0.02676,0.90414,29723.0,125,,,,
metro_only_placebo,indian,pop_b03001,393,False,0.27425,0.0941,2.91436,-7.71237,0.00351,3.32375,2794.0,199,,,,
metro_only_placebo,american,pop_b03001,393,False,0.1841,0.04533,4.06096,-17.99786,-0.01312,-0.04071,53572.0,124,,,,
pop_250k_plus,mexican,pop_b03001,121,False,0.21078,0.03612,5.83597,-21.85184,-0.0738,0.71963,22489.0,0,,,,
pop_250k_plus,mexican,pop_b03001,121,True,-0.08799,0.10792,-0.81527,-10.08099,-0.08168,0.54717,22489.0,0,,-0.06478,0.02263,-2.86285
pop_250k_plus_name_classifier,mexican_by_name,pop_b03001,121,False,0.17497,0.03477,5.03261,-23.72995,-0.07301,0.66117,14273.0,0,,,,
pop_250k_plus_name_classifier,mexican_by_name,pop_b03001,121,True,-0.11629,0.12079,-0.96272,-9.24151,-0.08036,0.49384,14273.0,0,,-0.06275,0.02538,-2.47221
pop_250k_plus_tagged_offset,mexican,tagged,121,False,0.22509,0.01782,12.63201,-43.48811,-0.04048,-0.08653,22489.0,0,,,,
pop_250k_plus_tagged_offset,mexican,tagged,121,True,0.13645,0.06239,2.18704,-13.84114,-0.04255,-0.13329,22489.0,0,,-0.019,0.01242,-1.52935
pop_250k_plus_placebo,all,pop_b03001,121,False,-0.01501,0.02589,-0.57998,-39.21132,-0.04341,0.79677,201121.0,0,,,,
pop_250k_plus_placebo,chinese,pop_b03001,121,False,-0.09284,0.0577,-1.60912,-18.94041,0.03866,1.79766,8644.0,0,,,,
pop_250k_plus_placebo,italian,pop_b03001,121,False,-0.05121,0.03235,-1.58291,-32.49043,-0.06729,0.83382,24093.0,0,,,,
pop_250k_plus_placebo,indian,pop_b03001,121,False,-0.03469,0.06982,-0.49679,-14.81878,-0.019,3.36031,2410.0,12,,,,
pop_250k_plus_placebo,american,pop_b03001,121,False,0.01236,0.03023,0.40876,-32.66795,-0.06717,0.03992,43279.0,0,,,,
complete_states_only,mexican,pop_b03001,573,False,0.18101,0.02983,6.06853,-27.45824,-0.06497,0.60944,26770.0,13,,,,
complete_states_only,mexican,pop_b03001,573,True,-0.06264,0.0744,-0.84195,-14.28307,-0.06692,0.49481,26770.0,13,,-0.05142,0.01419,-3.62325
complete_states_only_name_classifier,mexican_by_name,pop_b03001,573,False,0.14185,0.02889,4.90951,-29.70179,-0.04984,0.59651,16886.0,19,,,,
complete_states_only_name_classifier,mexican_by_name,pop_b03001,573,True,-0.07908,0.08221,-0.96191,-13.12634,-0.05165,0.49393,16886.0,19,,-0.04624,0.01601,-2.88786
complete_states_only_tagged_offset,mexican,tagged,573,False,0.2082,0.01518,13.71693,-52.16707,-0.03585,-0.09645,26770.0,13,,,,
complete_states_only_tagged_offset,mexican,tagged,573,True,0.14533,0.04604,3.15696,-18.56507,-0.03635,-0.12298,26770.0,13,,-0.01316,0.00869,-1.51463
complete_states_only_placebo,all,pop_b03001,573,False,-0.02934,0.02122,-1.38296,-48.51912,-0.04004,0.72863,240992.0,0,,,,
complete_states_only_placebo,chinese,pop_b03001,573,False,-0.0766,0.04894,-1.56505,-21.99673,0.01111,1.55748,9900.0,106,,,,
complete_states_only_placebo,italian,pop_b03001,573,False,-0.06426,0.02598,-2.47383,-40.96908,-0.05809,0.78589,29138.0,8,,,,
complete_states_only_placebo,indian,pop_b03001,573,False,-0.04851,0.06584,-0.73673,-15.92405,0.02103,3.17553,2589.0,355,,,,
complete_states_only_placebo,american,pop_b03001,573,False,-0.00364,0.02285,-0.1595,-43.92198,-0.06414,0.04845,54470.0,0,,,,
