award,family,year_n,person_qid,person,family_name,ethnic,citizenship,birth_country,surname,pcthispanic,surname_matched,us_citizen,mexico_linked,hisp_documented,mex_documented,hisp_imputed_50,hisp_imputed_70,hisp_imputed_90,hispanic_any,period
Academy Award for Best Actor,film,1990.0,Q166389,Daniel Day-Lewis,Day-Lewis,English people|Irish people|Jewish people,Ireland|United Kingdom,United Kingdom,DAY-LEWIS,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1991.0,Q171745,Jeremy Irons,Irons,,United Kingdom,United Kingdom,IRONS,2.75,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1992.0,Q65932,Anthony Hopkins,Hopkins,,United Kingdom|United States,United Kingdom,HOPKINS,2.14,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1993.0,Q41163,Al Pacino,Pacino,Italian Americans|Sicilian Americans,United States,United States,PACINO,10.29,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1994.0,Q2263,Tom Hanks,Hanks,,Greece|United States,United States,HANKS,2.61,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1995.0,Q2263,Tom Hanks,Hanks,,Greece|United States,United States,HANKS,2.61,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1996.0,Q42869,Nicolas Cage,Cage|Coppola,English Americans|German Americans|Italian Americans|Polish Americans|Scottish Americans,United States,United States,CAGE,1.94,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1997.0,Q166272,Geoffrey Rush,Rush,,Australia,Australia,RUSH,2.16,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1998.0,Q39792,Jack Nicholson,Nicholson,,United States,United States,NICHOLSON,2.54,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1999.0,Q23301,Roberto Benigni,Benigni,,Italy,Italy,BENIGNI,1.42,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2000.0,Q25144,Kevin Spacey,Fowler,,United States,United States,FOWLER,2.16,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2001.0,Q129817,Russell Crowe,Crowe,New Zealanders,Australia|New Zealand,New Zealand,CROWE,2.19,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2002.0,Q42101,Q42101,Washington,African Americans,United States,United States,WASHINGTON,2.54,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2003.0,Q104514,Adrien Brody,Brody,,United States,United States,BRODY,2.15,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2004.0,Q44221,Sean Penn,Penn,,United States,United States,PENN,4.49,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2005.0,Q171905,Jamie Foxx,Bishop|Foxx,African Americans,United States,United States,FOXX,2.21,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2006.0,Q180560,Philip Seymour Hoffman,Hoffman,,United States,United States,HOFFMAN,2.12,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2007.0,Q182763,Forest Whitaker,Whitaker,,United States,United States,WHITAKER,2.03,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2008.0,Q166389,Daniel Day-Lewis,Day-Lewis,English people|Irish people|Jewish people,Ireland|United Kingdom,United Kingdom,DAY-LEWIS,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2009.0,Q44221,Sean Penn,Penn,,United States,United States,PENN,4.49,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2010.0,Q174843,Jeff Bridges,Bridges,,United States,United States,BRIDGES,2.1,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2011.0,Q162492,Colin Firth,Firth,,Italy|United Kingdom,United Kingdom,FIRTH,1.85,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2012.0,Q189422,Jean Dujardin,Dujardin,,France,France,DUJARDIN,4.97,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2013.0,Q166389,Daniel Day-Lewis,Day-Lewis,English people|Irish people|Jewish people,Ireland|United Kingdom,United Kingdom,DAY-LEWIS,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2014.0,Q188955,Matthew McConaughey,McConaughey,British Americans|German Americans|Irish Americans|Swedish Americans,United States,United States,MCCONAUGHEY,3.51,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2015.0,Q28288,Eddie Redmayne,Redmayne,,United Kingdom,United Kingdom,REDMAYNE,,False,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2016.0,Q38111,Leonardo DiCaprio,DiCaprio,,United States,United States,DICAPRIO,4.47,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2017.0,Q270730,Casey Affleck,Affleck|Boldt,,United States,United States,AFFLECK,1.88,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2018.0,Q83492,Gary Oldman,Oldman,,United Kingdom|United States,United Kingdom,OLDMAN,4.05,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2019.0,Q375590,Rami Malek,Malek,,Egypt|United States,United States,MALEK,2.2,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2020.0,Q185140,Joaquin Phoenix,Bottom|Phoenix,,United States,United States,PHOENIX,3.04,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2021.0,Q65932,Anthony Hopkins,Hopkins,,United Kingdom|United States,United Kingdom,HOPKINS,2.14,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2022.0,Q40096,Will Smith,Smith,African Americans,United States,United States,SMITH,2.4,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2023.0,Q193555,Brendan Fraser,Fraser,,Canada|United States,United States,FRASER,2.62,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2024.0,Q202589,Cillian Murphy,Murphy,Irish people,Ireland,Ireland,MURPHY,2.34,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actor,film,2025.0,Q104514,Adrien Brody,Brody,,United States,United States,BRODY,2.15,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,1990.0,Q182104,Jessica Tandy,Tandy,,United Kingdom|United States,United Kingdom,TANDY,2.81,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1991.0,Q544465,Kathy Bates,Bates,,United States,United States,BATES,2.41,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1992.0,Q41351,Jodie Foster,Foster,,United States,United States,FOSTER,2.65,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1993.0,Q168724,Emma Thompson,Thompson,,United Kingdom,United Kingdom,THOMPSON,2.49,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1994.0,Q105660,Holly Hunter,Hunter,,United States,United States,HUNTER,2.41,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1995.0,Q173585,Jessica Lange,Lange,,United States,United States,LANGE,2.51,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1996.0,Q133050,Susan Sarandon,Sarandon|Tomalin,,United States,United States,SARANDON,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1997.0,Q204299,Frances McDormand,Q66310114,,United States,United States,MCDORMAND,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1998.0,Q170574,Helen Hunt,Q254906,,United States,United States,HUNT,2.31,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,1999.0,Q34460,Gwyneth Paltrow,Paltrow,,United States,United States,PALTROW,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2000.0,Q93187,Hilary Swank,Swank,,United States,United States,SWANK,2.31,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2001.0,Q40523,Julia Roberts,Roberts,,United States,United States,ROBERTS,2.4,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2002.0,Q1033016,Halle Berry,Berry,African Americans,United States,United States,BERRY,2.53,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2003.0,Q37459,Nicole Kidman,Kidman,,Australia|United States,United States,KIDMAN,4.85,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2004.0,Q80046,Charlize Theron,Theron,,South Africa|United States,South Africa,THERON,4.42,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2005.0,Q93187,Hilary Swank,Swank,,United States,United States,SWANK,2.31,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2006.0,Q44063,Reese Witherspoon,Witherspoon,,United States,United States,WITHERSPOON,2.03,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2007.0,Q349391,Helen Mirren,Mirren,,United Kingdom|United States,United Kingdom,MIRREN,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2008.0,Q8927,Marion Cotillard,Cotillard,,France,France,COTILLARD,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2009.0,Q202765,Q202765,Winslet,,United Kingdom,United Kingdom,WINSLET,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2010.0,Q40791,Sandra Bullock,Bullock,,Germany|United States|West Germany,United States,BULLOCK,2.15,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2011.0,Q37876,Natalie Portman,Herschlag|Portman,,Israel|United States,Israel,PORTMAN,1.54,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2012.0,Q873,Q873,Streep,,United States,United States,STREEP,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2013.0,Q189490,Jennifer Lawrence,Lawrence,British Americans|French Americans|German Americans|Irish Americans|Swiss Americans,United States,United States,LAWRENCE,2.5,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2014.0,Q80966,Cate Blanchett,Blanchett,,Australia|United States,Australia,BLANCHETT,1.96,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actress,film,2015.0,Q80405,Julianne Moore,Moore,,United Kingdom|United States,United States,MOORE,2.34,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2016.0,Q29328,Brie Larson,Desaulniers,,Canada|United States,United States,DESAULNIERS,4.33,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2017.0,Q147077,Q147077,Stone,British Americans|German Americans|Irish Americans|Swedish Americans|Swiss Americans,United States,United States,STONE,2.39,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2018.0,Q204299,Frances McDormand,Q66310114,,United States,United States,MCDORMAND,,False,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2019.0,Q7088045,Olivia Colman,Colman,,United Kingdom,United Kingdom,COLMAN,8.12,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2020.0,Q122614,Renée Zellweger,Zellweger,,United States,United States,ZELLWEGER,,False,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2021.0,Q204299,Frances McDormand,Q66310114,,United States,United States,MCDORMAND,,False,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2022.0,Q229313,Jessica Chastain,Chastain,,United States,United States,CHASTAIN,2.12,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2023.0,Q214289,Michelle Yeoh,Yang|Yeoh,,Malaysia,Malaysia,YEOH,1.87,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2024.0,Q147077,Q147077,Stone,British Americans|German Americans|Irish Americans|Swedish Americans|Swiss Americans,United States,United States,STONE,2.39,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Actress,film,2025.0,Q26923245,Mikey Madison,Madison|Rosberg,,United States,United States,MADISON,2.06,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,1990.0,Q766468,Alfred Uhry,Uhry,,United States,United States,UHRY,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1991.0,Q942773,Michael Blake,Blake,,United States,United States,BLAKE,2.68,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1992.0,Q721671,Ted Tally,Tally,,United States,United States,TALLY,3.04,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1993.0,Q235759,Ruth Prawer Jhabvala,Prawer|Q131736804,,German Reich|United Kingdom|United States,Germany,PRAWER,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1994.0,Q291141,Steven Zaillian,,American Jews,United States,United States,ZAILLIAN,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1995.0,Q942932,Eric Roth,Roth,,United States,United States,ROTH,2.27,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1996.0,Q168724,Emma Thompson,Thompson,,United Kingdom,United Kingdom,THOMPSON,2.49,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1997.0,Q202735,Billy Bob Thornton,Thornton,,United States,United States,THORNTON,2.06,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1998.0,Q912327,Brian Helgeland,Helgeland,,United States,United States,HELGELAND,2.36,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1998.0,Q263486,Curtis Hanson,Hanson,,United States,United States,HANSON,2.11,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,1999.0,Q361336,Bill Condon,Condon,,United States,United States,CONDON,2.07,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2000.0,Q310379,John Irving,Irving,,United States,United States,IRVING,2.93,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2001.0,Q1971984,Stephen Gaghan,Gaghan,,United States,United States,GAGHAN,3.37,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2002.0,Q419454,Akiva Goldsman,Goldsman,,United States,United States,GOLDSMAN,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2003.0,Q706668,Ronald Harwood,Harwood|Horwitz,,Union of South Africa|United Kingdom,South Africa,HARWOOD,3.02,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2004.0,Q116861,Fran Walsh,Walsh,,New Zealand,New Zealand,WALSH,2.2,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2004.0,Q4465,Peter Jackson,Jackson,,New Zealand,New Zealand,JACKSON,2.5,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2004.0,Q116854,Philippa Boyens,Boyens,,New Zealand,New Zealand,BOYENS,5.98,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2005.0,Q313566,Alexander Payne,Papadopoulos|Payne,,Greece|United States,United States,PAYNE,2.42,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2005.0,Q1335583,Jim Taylor,Taylor,,United States,United States,TAYLOR,2.46,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2006.0,Q460684,Diana Ossana,,,United States,United States,OSSANA,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2006.0,Q611672,Larry McMurtry,McMurtry,,United States,United States,MCMURTRY,3.03,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2007.0,Q611586,William Monahan,Monahan,,United States,United States,MONAHAN,2.65,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2008.0,Q13595531,Ethan Coen,Coen,,United States,United States,COEN,4.18,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2008.0,Q13595311,Joel Coen,Coen,,United States,United States,COEN,4.18,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2009.0,Q931009,Simon Beaufoy,Beaufoy,,United Kingdom,United Kingdom,BEAUFOY,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2010.0,Q1502999,Geoffrey S. Fletcher,Fletcher,,United States,United States,FLETCHER,2.6,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2011.0,Q299194,Aaron Sorkin,Sorkin,,United States,United States,SORKIN,2.69,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2012.0,Q313566,Alexander Payne,Papadopoulos|Payne,,Greece|United States,United States,PAYNE,2.42,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2012.0,Q591785,Jim Rash,Rash,,United States,United States,RASH,1.88,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2012.0,Q2514422,Nat Faxon,Faxon,,United States,United States,FAXON,2.02,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2013.0,Q3208159,Chris Terrio,Terrio,,United States,United States,TERRIO,9.47,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2014.0,Q362930,John Ridley,Ridley,African Americans,United States,United States,RIDLEY,2.13,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Adapted Screenplay,film,2015.0,Q15429387,Graham Moore,Moore,,United States,United States,MOORE,2.34,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2016.0,Q350405,Adam McKay,McKay,,United States,United States,MCKAY,2.39,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2016.0,Q22074016,Charles Randolph,Randolph,,United States,United States,RANDOLPH,2.37,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2017.0,Q26821227,Barry Jenkins,Q170455,,United States,United States,JENKINS,2.07,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2017.0,Q2394090,Tarell Alvin McCraney,McCraney,,United States,United States,MCCRANEY,1.29,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2018.0,Q51577,James Ivory,Ivory,,United States,United States,IVORY,2.19,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2019.0,Q60834933,Charlie Wachtel,Wachtel,,,United States,WACHTEL,2.36,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2019.0,Q60835004,David Rabinowitz,,,,United States,RABINOWITZ,1.95,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2019.0,Q6397775,Kevin Willmott,Willmott,,United States,United States,WILLMOTT,3.13,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2019.0,Q51566,Spike Lee,Lee,African Americans,United States,United States,LEE,1.89,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2020.0,Q2388576,Taika Waititi,Waititi,Ashkenazi Jews|Māori,New Zealand,New Zealand,WAITITI,,False,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2021.0,Q515274,Christopher Hampton,Hampton,,United Kingdom,Portugal,HAMPTON,2.21,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2021.0,Q3074245,Florian Zeller,Q187733,,France,France,ZELLER,2.44,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2022.0,Q7506788,Siân Héder,Heder,,United States,United States,HEDER,4.45,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2023.0,Q234212,Sarah Polley,Polley,,Canada,Canada,POLLEY,1.85,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2024.0,Q100146356,Cord Jefferson,Jefferson,,United States,United States,JEFFERSON,2.47,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Adapted Screenplay,film,2025.0,Q7177144,Peter Straughan,Straughan,,United Kingdom,United Kingdom,STRAUGHAN,3.03,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,1990.0,Q179497,Oliver Stone,Stone,,France|United States,United States,STONE,2.39,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1991.0,Q11930,Kevin Costner,Costner,,United States,United States,COSTNER,2.56,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1992.0,Q48987,Jonathan Demme,Demme,,United States,United States,DEMME,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1993.0,Q43203,Clint Eastwood,Eastwood,Dutch Americans|English people,United States,United States,EASTWOOD,2.46,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1994.0,Q8877,Steven Spielberg,Spielberg,Jewish people,United States,United States,SPIELBERG,3.1,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1995.0,Q187364,Robert Zemeckis,Zemeckis,,United States,United States,ZEMECKIS,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1996.0,Q42229,Mel Gibson,Gibson,British Americans|Irish Americans,Ireland|United States,United States,GIBSON,2.31,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1997.0,Q188726,Anthony Minghella,Minghella,,United Kingdom,United Kingdom,MINGHELLA,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1998.0,Q42574,Q42574,Cameron,,Canada|New Zealand,Canada,CAMERON,3.14,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,1999.0,Q8877,Steven Spielberg,Spielberg,Jewish people,United States,United States,SPIELBERG,3.1,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2000.0,Q223233,Sam Mendes,Mendes,,United Kingdom,United Kingdom,MENDES,23.86,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2001.0,Q103917,Steven Soderbergh,Soderbergh,,United States,United States,SODERBERGH,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2002.0,Q103646,Ron Howard,Howard,,United States,United States,HOWARD,2.37,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2003.0,Q51552,Roman Polanski,Liebling|Polanski|Polański,,France|Poland,France,POLANSKI,1.53,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2004.0,Q4465,Peter Jackson,Jackson,,New Zealand,New Zealand,JACKSON,2.5,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2005.0,Q43203,Clint Eastwood,Eastwood,Dutch Americans|English people,United States,United States,EASTWOOD,2.46,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2006.0,Q160726,Ang Lee,Lee|Li,,Taiwan,Taiwan,LEE,1.89,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2007.0,Q41148,Martin Scorsese,Scorsese,Italian Americans|Sicilian Americans,Italy|United States,United States,SCORSESE,,False,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2008.0,Q13595531,Ethan Coen,Coen,,United States,United States,COEN,4.18,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2008.0,Q13595311,Joel Coen,Coen,,United States,United States,COEN,4.18,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2009.0,Q134867,Danny Boyle,Boyle,,United Kingdom,United Kingdom,BOYLE,2.26,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2010.0,Q34816,Kathryn Bigelow,Bigelow,,United States,United States,BIGELOW,2.07,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2011.0,Q295912,Tom Hooper,Hooper,,United Kingdom,United Kingdom,HOOPER,2.53,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2012.0,Q28556,Michel Hazanavicius,Q56538649,,France,France,HAZANAVICIUS,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2013.0,Q160726,Ang Lee,Lee|Li,,Taiwan,Taiwan,LEE,1.89,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Director,film,2014.0,Q28028,Alfonso Cuarón,Cuarón,,Mexico,Mexico,CUARÓN,,False,False,True,True,True,False,False,False,True,1990-2014
Academy Award for Best Director,film,2015.0,Q55215,Alejandro González Iñárritu,González,,Mexico|Spain,Mexico,GONZÁLEZ,,False,False,True,True,True,False,False,False,True,2015-2025
Academy Award for Best Director,film,2016.0,Q55215,Alejandro González Iñárritu,González,,Mexico|Spain,Mexico,GONZÁLEZ,,False,False,True,True,True,False,False,False,True,2015-2025
Academy Award for Best Director,film,2017.0,Q18350026,Damien Chazelle,Chazelle,,France|United States,United States,CHAZELLE,,False,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2018.0,Q219124,Guillermo del Toro,del Toro,,Mexico,Mexico,TORO,81.88,True,False,True,True,True,True,True,False,True,2015-2025
Academy Award for Best Director,film,2019.0,Q28028,Alfonso Cuarón,Cuarón,,Mexico,Mexico,CUARÓN,,False,False,True,True,True,False,False,False,True,2015-2025
Academy Award for Best Director,film,2020.0,Q495980,Bong Joon-ho,Bong,,South Korea,South Korea,BONG,2.15,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2021.0,Q21078321,Chloé Zhao,Zhao,,People's Republic of China,People's Republic of China,ZHAO,0.26,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2022.0,Q230448,Jane Campion,Campion,,New Zealand,New Zealand,CAMPION,3.62,True,False,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2023.0,Q28746830,Dan Kwan,Guan,,United States,United States,GUAN,1.19,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2023.0,Q28746848,Daniel Scheinert,Scheinert,,United States,United States,SCHEINERT,0.0,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2024.0,Q25191,Q25191,Nolan,,England|United States,United Kingdom,NOLAN,2.91,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Director,film,2025.0,Q7441419,Sean Baker,Baker,,United States,United States,BAKER,2.28,True,True,False,False,False,False,False,False,False,2015-2025
Academy Award for Best Original Screenplay,film,1990.0,Q942506,Tom Schulman,Shulman,,United States,United States,SHULMAN,1.46,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Original Screenplay,film,1991.0,Q991682,Bruce Joel Rubin,Rubin,,United States,United States,RUBIN,3.13,True,True,False,False,False,False,False,False,False,1990-2014
