cbsa,NAME,pop_b03001,mexican_share,all,tagged,mexican,cbp_restaurants,osm_coverage,tagged_coverage
34460,"Mount Sterling, KY Micro Area",47286,0.022438,24.0,20.0,2.0,45.0,0.533333,0.444444
34500,"Mount Vernon, IL Micro Area",36808,0.014155,43.0,33.0,3.0,55.0,0.781818,0.6
34620,"Muncie, IN Metro Area",112109,0.023843,145.0,126.0,18.0,161.0,0.900621,0.782609
34660,"Murray, KY Micro Area",37882,0.022649,61.0,54.0,9.0,59.0,1.033898,0.915254
34700,"Muscatine, IA Micro Area",42735,0.137054,19.0,16.0,3.0,70.0,0.271429,0.228571
34740,"Muskegon-Norton Shores, MI Metro Area",175378,0.048039,168.0,142.0,12.0,233.0,0.72103,0.609442
34860,"Nacogdoches, TX Micro Area",64897,0.185602,30.0,27.0,4.0,76.0,0.394737,0.355263
34880,"Nantucket, MA Micro Area",14299,0.006154,16.0,2.0,1.0,66.0,0.242424,0.030303
34900,"Napa, CA Metro Area",136070,0.30391,168.0,124.0,19.0,232.0,0.724138,0.534483
34940,"Naples-Marco Island, FL Metro Area",387681,0.099149,622.0,520.0,51.0,730.0,0.852055,0.712329
35020,"Natchez, MS-LA Micro Area",54550,0.014042,31.0,25.0,2.0,61.0,0.508197,0.409836
35060,"Natchitoches, LA Micro Area",37047,0.021513,54.0,40.0,3.0,59.0,0.915254,0.677966
35220,"New Castle, IN Micro Area",48896,0.015686,50.0,42.0,6.0,54.0,0.925926,0.777778
35300,"New Haven, CT Metro Area",566803,0.030284,817.0,681.0,54.0,1060.0,0.770755,0.642453
35340,"New Iberia, LA Micro Area",69194,0.019857,67.0,53.0,5.0,82.0,0.817073,0.646341
35380,"New Orleans-Metairie, LA Metro Area",988763,0.019639,1275.0,966.0,77.0,1928.0,0.661307,0.501037
35580,"New Ulm, MN Micro Area",25826,0.037443,31.0,27.0,2.0,36.0,0.861111,0.75
35620,"New York-Newark-Jersey City, NY-NJ Metro Area",19756722,0.029677,22663.0,18478.0,1638.0,37895.0,0.598047,0.487611
35660,"Niles, MI Metro Area",153411,0.044625,103.0,74.0,9.0,261.0,0.394636,0.283525
35700,"Nogales, AZ Micro Area",48209,0.804041,34.0,23.0,6.0,65.0,0.523077,0.353846
35840,"North Port-Bradenton-Sarasota, FL Metro Area",865031,0.050754,656.0,503.0,52.0,1382.0,0.474674,0.363965
35980,"Norwich-New London-Willimantic, CT Metro Area",279025,0.022238,485.0,380.0,33.0,542.0,0.894834,0.701107
36100,"Ocala, FL Metro Area",387697,0.024591,206.0,181.0,12.0,425.0,0.484706,0.425882
36180,"Ocean Pines, MD Micro Area",53279,0.011843,240.0,169.0,10.0,313.0,0.766773,0.539936
36220,"Odessa, TX Metro Area",163206,0.570518,186.0,140.0,21.0,243.0,0.765432,0.576132
36260,"Ogden, UT Metro Area",645510,0.104327,748.0,655.0,97.0,725.0,1.031724,0.903448
