cbsa,NAME,pop_total,pop_b03001,mexican_origin,median_hh_income,mexican_share,all,restaurant,tagged,named,mexican_by_name,mexican,chinese,italian,indian,thai,japanese,vietnamese,korean,american,cbsa_states,all_states_fetched
10100,"Aberdeen, SD Micro Area",42112,42112,880,70761,0.0208966565349544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SD,False
10140,"Aberdeen, WA Micro Area",76397,76397,6378,63539,0.0834849535976543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WA,False
10180,"Abilene, TX Metro Area",178244,178244,36917,66464,0.2071149660016606,193.0,98.0,151.0,188.0,18.0,22.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,50.0,TX,True
10220,"Ada, OK Micro Area",38158,38158,2105,62564,0.0551653650610619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OK,False
10300,"Adrian, MI Micro Area",98823,98823,7006,67013,0.070894427410623,66.0,35.0,53.0,66.0,6.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,MI,True
10380,"Aguadilla, PR Metro Area",252430,252430,693,20800,0.002745315533019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR,False
10420,"Akron, OH Metro Area",699508,699508,7472,71312,0.010681793489138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OH,False
10460,"Alamogordo, NM Micro Area",68235,68235,21013,52717,0.3079504653037297,81.0,45.0,57.0,78.0,4.0,9.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,18.0,NM,True
10480,"Alamosa, CO Micro Area",27622,27622,7966,48011,0.2883933096806893,52.0,35.0,40.0,52.0,7.0,11.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,11.0,CO,True
10500,"Albany, GA Metro Area",146768,146768,1723,54219,0.0117396162651259,102.0,44.0,93.0,100.0,7.0,9.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,44.0,GA,True
10540,"Albany, OR Metro Area",129794,129794,10918,73396,0.0841179099187943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OR,False
