age_grp,group,crude_per_1k,crude_se,std_per_1k,std_se,ratio_std_to_white,ratio_se
25-34,MEXBORN,7.719735,0.990701,14.620614,2.123193,0.673157,0.097621
25-34,USMEX,12.370466,0.664707,16.371941,0.991971,0.753791,0.049184
25-34,USWHITE,21.719461,0.340425,21.719461,0.340425,1.0,0.0
25-34,FBOTHER,15.777573,0.690106,16.679001,0.727717,0.767929,0.036331
35-44,MEXBORN,6.678491,0.833049,13.085522,1.757641,0.639013,0.085634
35-44,USMEX,11.658026,0.805728,15.226414,1.040191,0.74356,0.052376
35-44,USWHITE,20.477715,0.394398,20.477715,0.394398,1.0,0.0
35-44,FBOTHER,14.037824,0.573006,14.999908,0.677081,0.732499,0.034471
45-54,MEXBORN,5.363614,0.625684,14.685854,2.077359,0.872564,0.124347
45-54,USMEX,10.240719,0.994398,12.070048,1.293399,0.717145,0.077324
45-54,USWHITE,16.830683,0.306251,16.830683,0.306251,1.0,0.0
45-54,FBOTHER,13.355043,0.51801,14.826044,0.59171,0.880894,0.037821
55-64,MEXBORN,4.01744,0.596615,10.309505,2.067862,0.859984,0.171532
55-64,USMEX,6.493443,0.802689,7.747037,1.006372,0.646231,0.084452
55-64,USWHITE,11.988023,0.248435,11.988023,0.248435,1.0,0.0
55-64,FBOTHER,10.086543,0.553482,11.050765,0.642789,0.921817,0.054112
