occupation,occp_codes,group,state,n_unweighted,weighted_workers,share,share_se,total_weighted_workers
chefs_and_cooks,4000+4020,OTHER_USBORN,42,136,23872.0,0.2507510346421294,0.02459059500929975,95202.0
chefs_and_cooks,4000+4020,USMEX,42,7,1881.0,0.019757988277557193,0.011008522750517814,95202.0
chefs_and_cooks,4000+4020,USWHITE,42,622,55528.0,0.5832650574567761,0.025511712210375105,95202.0
chefs_and_cooks,4000+4020,FBOTHER,48,315,49262.0,0.18050110289537516,0.014193631240350495,272918.0
chefs_and_cooks,4000+4020,MEXBORN,48,429,61715.0,0.2261301929517291,0.012959392109421809,272918.0
chefs_and_cooks,4000+4020,OTHER_USBORN,48,334,45340.0,0.166130486080068,0.009420411366007634,272918.0
chefs_and_cooks,4000+4020,USMEX,48,523,67126.0,0.24595666097509142,0.012133454975201725,272918.0
chefs_and_cooks,4000+4020,USWHITE,48,516,49475.0,0.18128155709773633,0.00877531644302943,272918.0
chefs_and_cooks,4000+4020,FBOTHER,US,3846,514701.0,0.18724965820728173,0.0033070516942169978,2748742.0
chefs_and_cooks,4000+4020,MEXBORN,US,2241,331136.0,0.12046819963459648,0.003225717127246502,2748742.0
chefs_and_cooks,4000+4020,OTHER_USBORN,US,4593,627407.0,0.22825241510480068,0.0033882240136639003,2748742.0
chefs_and_cooks,4000+4020,USMEX,US,1870,232386.0,0.08454267443070321,0.002474073513558117,2748742.0
chefs_and_cooks,4000+4020,USWHITE,US,10667,1043112.0,0.3794870526226179,0.003522638724439225,2748742.0
chefs_head_cooks,4000,FBOTHER,US,1215,151076.0,0.29556330285280524,0.010327913045763568,511146.0
chefs_head_cooks,4000,MEXBORN,US,268,38305.0,0.07493944978538422,0.005516239327611774,511146.0
chefs_head_cooks,4000,OTHER_USBORN,US,770,108051.0,0.21138970078998956,0.008977593036794974,511146.0
chefs_head_cooks,4000,USMEX,US,244,29698.0,0.058100816596432334,0.004536651115098914,511146.0
chefs_head_cooks,4000,USWHITE,US,1761,184016.0,0.36000672997538863,0.008105119403658656,511146.0
cooks,4020,FBOTHER,US,2631,363625.0,0.1625069941133252,0.003050499772882725,2237596.0
cooks,4020,MEXBORN,US,1973,292831.0,0.1308685750242671,0.003795069286090372,2237596.0
cooks,4020,OTHER_USBORN,US,3823,519356.0,0.2321044549596978,0.003796401169628142,2237596.0
cooks,4020,USMEX,US,1626,202688.0,0.09058292917935142,0.002726587458483316,2237596.0
cooks,4020,USWHITE,US,8906,859096.0,0.3839370467233585,0.003694922421571705,2237596.0
