mexican_share,pred_mex_per_100k,pct_of_value_at_50pct
0.005,5.466,0.3229
0.01,7.449,0.4401
0.02,9.662,0.5708
0.05,12.633,0.7464
0.1,14.611,0.8632
0.2,16.083,0.9502
0.35,16.764,0.9904
0.5,16.926,1.0
