report,status,url,latin_share_of_us_revenue_pct,reporting_basis,latin_total_revenue_musd_latest_year,source_sentence,pages,latin_lines,share_sentences,percentages_found
riaa_latin_2025_year_end,parsed,https://www.riaa.com/wp-content/uploads/2026/04/RIAA-US-Latin-Year-End-Revenue-2025.pdf,8.8,wholesale,"1,009.6",Latin music made up 8.8% of total US revenue,2,0,3,11.3|12.7|14.3|15.2|18.5|18.7|2.4|20.0|28.1|3.0|3.1|4.2|4.6|55.2|74.6|74.7|8.8|9.8|98.2
riaa_latin_2024_year_end,parsed,https://www.riaa.com/wp-content/uploads/2025/03/RIAA-2024-Year-End-US-Market-Latin-Music-Revenue-Report.pdf,8.1,retail value,,growing to 8.1% of total recorded music revenue in the US,2,5,5,0.6|0.8|02.3|03.0|1.3|10.0|10.6|12.6|14.5|15.6|16.4|18.1|19.7|23.6|35.8|37.9|40.8|5.5|5.6|5.8
riaa_all_2024_year_end,parsed,https://www.riaa.com/wp-content/uploads/2025/03/RIAA-2024Year-End-Revenue-Report.pdf,,,,,3,0,0,0.7|05.0|1.0|1.5|1.8|12.9|14.9|17.1|17.7|18.6|19.0|2.1|2.3|2.5|23.1|3.1|3.3|3.5|3.6|32.5
