cbsa,NAME,pop_total,pop_b03001,mexican_origin,median_hh_income,mexican_share
10100,"Aberdeen, SD Micro Area",42112,42112,880,70761,0.020896656534954407
10140,"Aberdeen, WA Micro Area",76397,76397,6378,63539,0.08348495359765436
10180,"Abilene, TX Metro Area",178244,178244,36917,66464,0.20711496600166066
10220,"Ada, OK Micro Area",38158,38158,2105,62564,0.0551653650610619
10300,"Adrian, MI Micro Area",98823,98823,7006,67013,0.07089442741062303
10380,"Aguadilla, PR Metro Area",252430,252430,693,20800,0.0027453155330190546
10420,"Akron, OH Metro Area",699508,699508,7472,71312,0.01068179348913808
10460,"Alamogordo, NM Micro Area",68235,68235,21013,52717,0.30795046530372977
10480,"Alamosa, CO Micro Area",27622,27622,7966,48011,0.2883933096806893
10500,"Albany, GA Metro Area",146768,146768,1723,54219,0.011739616265125914
10540,"Albany, OR Metro Area",129794,129794,10918,73396,0.08411790991879439
10580,"Albany-Schenectady-Troy, NY Metro Area",902372,902372,7418,86072,0.008220556488898148
10620,"Albemarle, NC Micro Area",63557,63557,2474,61631,0.038925688751829064
10660,"Albert Lea, MN Micro Area",30752,30752,2681,69012,0.08718132154006243
10700,"Albertville, AL Micro Area",98712,98712,9112,60946,0.09230893913607262
10740,"Albuquerque, NM Metro Area",918567,918567,261881,67995,0.2850973309513623
10760,"Alexander City, AL Micro Area",41070,41070,773,57185,0.018821524226929634
10780,"Alexandria, LA Metro Area",150593,150593,3495,56492,0.023208250051463215
10820,"Alexandria, MN Micro Area",39354,39354,720,77264,0.018295471870712
10860,"Alice, TX Micro Area",45850,45850,34032,45939,0.7422464558342421
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,866764,11657,82602,0.0134488742033587
10940,"Alma, MI Micro Area",41478,41478,2391,61128,0.05764501663532475
10980,"Alpena, MI Micro Area",28908,28908,311,51909,0.010758267607582675
11020,"Altoona, PA Metro Area",121854,121854,271,60594,0.002223972951236726
11060,"Altus, OK Micro Area",24730,24730,4906,61497,0.19838253133845532
11100,"Amarillo, TX Metro Area",270207,270207,69798,66571,0.25831307108994217
11140,"Americus, GA Micro Area",33713,33713,1071,42821,0.031768160650194284
11180,"Ames, IA Metro Area",125261,125261,3850,71090,0.030735823600322527
11200,"Amherst Town-Northampton, MA Metro Area",156595,156595,1246,86391,0.00795683131645327
11220,"Amsterdam, NY Micro Area",49461,49461,986,62923,0.01993489820262429
11260,"Anchorage, AK Metro Area",399746,399746,15057,95918,0.03766641817554147
