measure,cells,numerator,denominator,group,n_sample,n_numerator_sample,crude_per_1k,crude_se,std_per_1k,std_se,ratio_std_to_white,ratio_se,ratio_crude_to_white,ratio_crude_se
creative_per_1k_pop,age_educ_sex,creative,pop,MEXBORN,67948,426.0,5.860031,0.374208,13.071426,1.051265,0.74232,0.058767,0.332788,0.02108
creative_per_1k_pop,age_educ_sex,creative,pop,USMEX,90722,1042.0,11.061467,0.452026,12.724717,0.579208,0.72263,0.033864,0.628175,0.026086
creative_per_1k_pop,age_educ_sex,creative,pop,USWHITE,1007048,16796.0,17.608886,0.153909,17.608886,0.153909,1.0,0.0,1.0,0.0
creative_per_1k_pop,age_educ_sex,creative,pop,FBOTHER,222034,3325.0,13.348221,0.311957,14.287617,0.37981,0.811387,0.022355,0.758039,0.018204
creative_per_1k_pop_ageeduc,age_educ,creative,pop,MEXBORN,67948,426.0,5.860031,0.374208,12.954064,1.038887,0.735655,0.058018,0.332788,0.02108
creative_per_1k_pop_ageeduc,age_educ,creative,pop,USMEX,90722,1042.0,11.061467,0.452026,12.657738,0.573076,0.718827,0.033548,0.628175,0.026086
creative_per_1k_pop_ageeduc,age_educ,creative,pop,USWHITE,1007048,16796.0,17.608886,0.153909,17.608886,0.153909,1.0,0.0,1.0,0.0
creative_per_1k_pop_ageeduc,age_educ,creative,pop,FBOTHER,222034,3325.0,13.348221,0.311957,14.154645,0.378831,0.803835,0.022256,0.758039,0.018204
creative_per_1k_ba_pop,age_educ_sex,creative_ba,ba,MEXBORN,67948,,21.854989,2.319797,21.499311,2.346227,0.755753,0.081616,0.768256,0.080941
creative_per_1k_ba_pop,age_educ_sex,creative_ba,ba,USMEX,90722,,22.300561,1.229709,19.0944,1.150084,0.671215,0.041183,0.783919,0.044351
creative_per_1k_ba_pop,age_educ_sex,creative_ba,ba,USWHITE,1007048,,28.447534,0.284919,28.447534,0.284919,1.0,0.0,1.0,0.0
creative_per_1k_ba_pop,age_educ_sex,creative_ba,ba,FBOTHER,222034,,19.508978,0.498244,20.318341,0.53521,0.714239,0.019463,0.685788,0.018091
creative_per_1k_pop_REVSTD,age_educ_sex,creative,pop,MEXBORN,67948,426.0,5.860031,0.374208,8.487748,0.180631,0.690411,0.044393,,
creative_per_1k_pop_REVSTD,age_educ_sex,creative,pop,USMEX,90722,1042.0,11.061467,0.452026,14.6359,0.174776,0.755776,0.03139,,
creative_per_1k_pop_REVSTD,age_educ_sex,creative,pop,USWHITE,1007048,16796.0,17.608886,0.153909,17.608886,0.153909,1.0,0.0,,
creative_per_1k_pop_REVSTD,age_educ_sex,creative,pop,FBOTHER,222034,3325.0,13.348221,0.311957,16.807576,0.16974,0.794179,0.019483,,
creative_per_1k_emp,age_educ_sex,creative,emp,MEXBORN,67948,426.0,7.899226,0.500981,17.202638,1.380961,0.768014,0.060798,0.352662,0.022172
creative_per_1k_emp,age_educ_sex,creative,emp,USMEX,90722,1042.0,14.191387,0.575917,16.09664,0.734038,0.718637,0.033787,0.633577,0.026164
creative_per_1k_emp,age_educ_sex,creative,emp,USWHITE,1007048,16796.0,22.398851,0.193353,22.398851,0.193353,1.0,0.0,1.0,0.0
creative_per_1k_emp,age_educ_sex,creative,emp,FBOTHER,222034,3325.0,16.985255,0.395847,18.762176,0.4946,0.83764,0.022948,0.758309,0.018204
music_perf_per_1k_pop,age_educ_sex,g_music_perf,pop,MEXBORN,67948,54.0,0.907807,0.165437,1.325082,0.334963,0.845328,0.213717,0.57913,0.10778
music_perf_per_1k_pop,age_educ_sex,g_music_perf,pop,USMEX,90722,86.0,1.102272,0.135932,1.250862,0.196787,0.79798,0.129194,0.703188,0.089423
music_perf_per_1k_pop,age_educ_sex,g_music_perf,pop,USWHITE,1007048,1455.0,1.567536,0.046124,1.567536,0.046124,1.0,0.0,1.0,0.0
music_perf_per_1k_pop,age_educ_sex,g_music_perf,pop,FBOTHER,222034,334.0,1.445768,0.095175,1.58048,0.114237,1.008258,0.080439,0.922319,0.06676
visual_design_per_1k_pop,age_educ_sex,g_visual_design,pop,MEXBORN,67948,216.0,2.966253,0.26872,6.815182,0.824039,0.796899,0.094824,0.346844,0.030588
visual_design_per_1k_pop,age_educ_sex,g_visual_design,pop,USMEX,90722,512.0,5.374211,0.278368,5.945492,0.32755,0.695207,0.040343,0.628407,0.033957
visual_design_per_1k_pop,age_educ_sex,g_visual_design,pop,USWHITE,1007048,8111.0,8.552123,0.110783,8.552123,0.110783,1.0,0.0,1.0,0.0
visual_design_per_1k_pop,age_educ_sex,g_visual_design,pop,FBOTHER,222034,1745.0,6.981051,0.234917,7.505617,0.267879,0.877632,0.033713,0.816295,0.02961
writers_media_per_1k_pop,age_educ_sex,g_writers_media,pop,MEXBORN,67948,116.0,1.402655,0.16222,3.321519,0.421032,0.683566,0.087067,0.288665,0.033578
writers_media_per_1k_pop,age_educ_sex,g_writers_media,pop,USMEX,90722,275.0,2.802867,0.24218,3.504111,0.354867,0.721143,0.075323,0.576828,0.051278
writers_media_per_1k_pop,age_educ_sex,g_writers_media,pop,USWHITE,1007048,4676.0,4.859107,0.081006,4.859107,0.081006,1.0,0.0,1.0,0.0
writers_media_per_1k_pop,age_educ_sex,g_writers_media,pop,FBOTHER,222034,814.0,3.213104,0.148572,3.356793,0.177583,0.690825,0.037796,0.661254,0.032143
film_tv_per_1k_pop,age_educ_sex,g_film_tv,pop,MEXBORN,67948,40.0,0.583315,0.118919,1.609643,0.39466,0.612004,0.150319,0.221783,0.045176
film_tv_per_1k_pop,age_educ_sex,g_film_tv,pop,USMEX,90722,169.0,1.782116,0.200568,2.024251,0.249017,0.769642,0.098116,0.67758,0.078817
film_tv_per_1k_pop,age_educ_sex,g_film_tv,pop,USWHITE,1007048,2554.0,2.630119,0.062833,2.630119,0.062833,1.0,0.0,1.0,0.0
film_tv_per_1k_pop,age_educ_sex,g_film_tv,pop,FBOTHER,222034,432.0,1.708298,0.104827,1.844727,0.124019,0.701385,0.049515,0.649514,0.042444
sports_per_1k_pop,age_educ_sex,g_sports,pop,MEXBORN,67948,28.0,0.349445,0.08567,0.67173,0.186788,0.396315,0.109927,0.206169,0.050481
sports_per_1k_pop,age_educ_sex,g_sports,pop,USMEX,90722,105.0,1.119533,0.151818,1.397468,0.222189,0.824494,0.132807,0.660515,0.09167
sports_per_1k_pop,age_educ_sex,g_sports,pop,USWHITE,1007048,1614.0,1.694939,0.050724,1.694939,0.050724,1.0,0.0,1.0,0.0
sports_per_1k_pop,age_educ_sex,g_sports,pop,FBOTHER,222034,271.0,1.133725,0.093456,1.224167,0.103729,0.722248,0.064814,0.668888,0.05945
ba_per_1k_pop,age_educ_sex,ba,pop,MEXBORN,67948,,110.046016,1.628454,,,,,,
