award,family,qid,person_qid,person,year,ethnic,citizenship,birth_country,given_name,family_name
Academy Award for Best Actor,film,Q103916,Q77181,Emil Jannings,1929,,German Reich,Switzerland,Emil,Jannings
Academy Award for Best Actor,film,Q103916,Q77181,Emil Jannings,1929,,Germany,Switzerland,Emil,Jannings
Academy Award for Best Actor,film,Q103916,Q77181,Emil Jannings,1929,,Austria,Switzerland,Emil,Jannings
Academy Award for Best Actor,film,Q103916,Q182229,George Arliss,1930,,United Kingdom,United Kingdom,George,Arliss
Academy Award for Best Actor,film,Q103916,Q312073,Warner Baxter,1930,,United States,United States,Warner,Baxter
Academy Award for Best Actor,film,Q103916,Q295593,Lionel Barrymore,1931,,United States,United States,Lionel,Barrymore
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Ernest,March
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Frederick,March
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Fredric,March
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Ernest,Bickel
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Frederick,Bickel
Academy Award for Best Actor,film,Q103916,Q181819,Fredric March,1932,,United States,United States,Fredric,Bickel
Academy Award for Best Actor,film,Q103916,Q322179,Wallace Beery,1932,,United States,United States,Wallace,Beery
Academy Award for Best Actor,film,Q103916,Q55264,Charles Laughton,1934,,United Kingdom,United Kingdom,Charles,Laughton
Academy Award for Best Actor,film,Q103916,Q55264,Charles Laughton,1934,,United States,United Kingdom,Charles,Laughton
Academy Award for Best Actor,film,Q103916,Q71243,Clark Gable,1935,,United States,United States,Clark,Gable
Academy Award for Best Actor,film,Q103916,Q71243,Clark Gable,1935,,United States,United States,William,Gable
Academy Award for Best Actor,film,Q103916,Q329577,Victor McLaglen,1936,,United Kingdom,United Kingdom,Victor,McLaglen
Academy Award for Best Actor,film,Q103916,Q329577,Victor McLaglen,1936,,United States,United Kingdom,Victor,McLaglen
Academy Award for Best Actor,film,Q103916,Q182292,Paul Muni,1937,,United States,Ukraine,Paul,Muni
Academy Award for Best Actor,film,Q103916,Q71275,Spencer Tracy,1938,,United States,United States,Spencer,Tracy
Academy Award for Best Actor,film,Q103916,Q71275,Spencer Tracy,1939,,United States,United States,Spencer,Tracy
Academy Award for Best Actor,film,Q103916,Q116983,Robert Donat,1940,,United Kingdom,United Kingdom,Frederick,Donat
Academy Award for Best Actor,film,Q103916,Q116983,Robert Donat,1940,,United Kingdom,United Kingdom,Robert,Donat
Academy Award for Best Actor,film,Q103916,Q102462,James Stewart,1941,,United States,United States,James,Stewart
Academy Award for Best Actor,film,Q103916,Q93957,Gary Cooper,1942,,United States,United States,Gary,Cooper
Academy Award for Best Actor,film,Q103916,Q94041,James Cagney,1943,,United States,United States,James,Cagney
Academy Award for Best Actor,film,Q103916,Q182057,Paul Lukas,1944,,United States,Hungary,Paul,Lukács
Academy Award for Best Actor,film,Q103916,Q182057,Paul Lukas,1944,,Hungary,Hungary,Paul,Lukács
Academy Award for Best Actor,film,Q103916,Q182057,Paul Lukas,1944,,United States,Hungary,Pál,Lukács
Academy Award for Best Actor,film,Q103916,Q182057,Paul Lukas,1944,,Hungary,Hungary,Pál,Lukács
