measure,grp,age_grp,educ,sex,n_unw,weighted
ba,FBOTHER,25-34,1_lths,1,2600,0.0
ba,FBOTHER,25-34,1_lths,2,2094,0.0
ba,FBOTHER,25-34,2_hs,1,4121,0.0
ba,FBOTHER,25-34,2_hs,2,3526,0.0
ba,FBOTHER,25-34,3_somecoll,1,3688,0.0
ba,FBOTHER,25-34,3_somecoll,2,3952,0.0
ba,FBOTHER,25-34,4_ba,1,5572,715018.0
ba,FBOTHER,25-34,4_ba,2,7109,882239.0
ba,FBOTHER,25-34,5_grad,1,5129,644681.0
ba,FBOTHER,25-34,5_grad,2,5595,671451.0
ba,FBOTHER,35-44,1_lths,1,3630,0.0
ba,FBOTHER,35-44,1_lths,2,3389,0.0
ba,FBOTHER,35-44,2_hs,1,4651,0.0
ba,FBOTHER,35-44,2_hs,2,4563,0.0
ba,FBOTHER,35-44,3_somecoll,1,4588,0.0
ba,FBOTHER,35-44,3_somecoll,2,5301,0.0
ba,FBOTHER,35-44,4_ba,1,6996,909337.0
ba,FBOTHER,35-44,4_ba,2,9037,1065156.0
ba,FBOTHER,35-44,5_grad,1,7930,941887.0
ba,FBOTHER,35-44,5_grad,2,8760,957541.0
ba,FBOTHER,45-54,1_lths,1,4056,0.0
ba,FBOTHER,45-54,1_lths,2,4201,0.0
ba,FBOTHER,45-54,2_hs,1,4916,0.0
ba,FBOTHER,45-54,2_hs,2,5740,0.0
ba,FBOTHER,45-54,3_somecoll,1,4991,0.0
ba,FBOTHER,45-54,3_somecoll,2,6426,0.0
ba,FBOTHER,45-54,4_ba,1,6866,756563.0
ba,FBOTHER,45-54,4_ba,2,8872,911419.0
ba,FBOTHER,45-54,5_grad,1,7472,780941.0
ba,FBOTHER,45-54,5_grad,2,7943,776774.0
ba,FBOTHER,55-64,1_lths,1,4332,0.0
ba,FBOTHER,55-64,1_lths,2,4992,0.0
ba,FBOTHER,55-64,2_hs,1,5544,0.0
ba,FBOTHER,55-64,2_hs,2,6679,0.0
ba,FBOTHER,55-64,3_somecoll,1,5524,0.0
ba,FBOTHER,55-64,3_somecoll,2,6984,0.0
ba,FBOTHER,55-64,4_ba,1,5754,579117.0
ba,FBOTHER,55-64,4_ba,2,7254,690397.0
ba,FBOTHER,55-64,5_grad,1,6094,558893.0
ba,FBOTHER,55-64,5_grad,2,5163,461947.0
ba,MEXBORN,25-34,1_lths,1,1979,0.0
ba,MEXBORN,25-34,1_lths,2,1016,0.0
ba,MEXBORN,25-34,2_hs,1,2374,0.0
ba,MEXBORN,25-34,2_hs,2,1816,0.0
ba,MEXBORN,25-34,3_somecoll,1,1193,0.0
ba,MEXBORN,25-34,3_somecoll,2,1255,0.0
ba,MEXBORN,25-34,4_ba,1,776,94396.0
ba,MEXBORN,25-34,4_ba,2,856,105468.0
ba,MEXBORN,25-34,5_grad,1,246,32521.0
ba,MEXBORN,25-34,5_grad,2,281,32777.0
ba,MEXBORN,35-44,1_lths,1,4141,0.0
ba,MEXBORN,35-44,1_lths,2,3187,0.0
ba,MEXBORN,35-44,2_hs,1,2887,0.0
ba,MEXBORN,35-44,2_hs,2,2513,0.0
ba,MEXBORN,35-44,3_somecoll,1,1327,0.0
ba,MEXBORN,35-44,3_somecoll,2,1498,0.0
ba,MEXBORN,35-44,4_ba,1,732,98595.0
ba,MEXBORN,35-44,4_ba,2,883,111392.0
ba,MEXBORN,35-44,5_grad,1,323,39505.0
ba,MEXBORN,35-44,5_grad,2,419,50000.0
ba,MEXBORN,45-54,1_lths,1,5396,0.0
ba,MEXBORN,45-54,1_lths,2,5065,0.0
ba,MEXBORN,45-54,2_hs,1,2741,0.0
ba,MEXBORN,45-54,2_hs,2,2894,0.0
ba,MEXBORN,45-54,3_somecoll,1,1259,0.0
ba,MEXBORN,45-54,3_somecoll,2,1548,0.0
ba,MEXBORN,45-54,4_ba,1,578,68613.0
ba,MEXBORN,45-54,4_ba,2,813,90339.0
ba,MEXBORN,45-54,5_grad,1,332,40444.0
ba,MEXBORN,45-54,5_grad,2,364,38872.0
ba,MEXBORN,55-64,1_lths,1,4858,0.0
ba,MEXBORN,55-64,1_lths,2,4405,0.0
ba,MEXBORN,55-64,2_hs,1,1995,0.0
ba,MEXBORN,55-64,2_hs,2,2027,0.0
ba,MEXBORN,55-64,3_somecoll,1,1070,0.0
ba,MEXBORN,55-64,3_somecoll,2,1260,0.0
ba,MEXBORN,55-64,4_ba,1,519,54770.0
ba,MEXBORN,55-64,4_ba,2,597,59288.0
ba,MEXBORN,55-64,5_grad,1,253,25484.0
ba,MEXBORN,55-64,5_grad,2,272,27795.0
ba,USMEX,25-34,1_lths,1,2019,0.0
ba,USMEX,25-34,1_lths,2,1264,0.0
ba,USMEX,25-34,2_hs,1,6618,0.0
ba,USMEX,25-34,2_hs,2,4840,0.0
ba,USMEX,25-34,3_somecoll,1,5931,0.0
ba,USMEX,25-34,3_somecoll,2,6224,0.0
ba,USMEX,25-34,4_ba,1,3153,360049.0
ba,USMEX,25-34,4_ba,2,4175,483715.0
ba,USMEX,25-34,5_grad,1,771,86613.0
ba,USMEX,25-34,5_grad,2,1440,158331.0
ba,USMEX,35-44,1_lths,1,1853,0.0
ba,USMEX,35-44,1_lths,2,1227,0.0
ba,USMEX,35-44,2_hs,1,3903,0.0
ba,USMEX,35-44,2_hs,2,2961,0.0
ba,USMEX,35-44,3_somecoll,1,3764,0.0
ba,USMEX,35-44,3_somecoll,2,4041,0.0
ba,USMEX,35-44,4_ba,1,1800,222702.0
ba,USMEX,35-44,4_ba,2,2352,268500.0
ba,USMEX,35-44,5_grad,1,842,105261.0
ba,USMEX,35-44,5_grad,2,1375,145658.0
ba,USMEX,45-54,1_lths,1,1371,0.0
ba,USMEX,45-54,1_lths,2,1032,0.0
ba,USMEX,45-54,2_hs,1,2508,0.0
ba,USMEX,45-54,2_hs,2,2196,0.0
