measure,eta,quintile,bin_weight,mean_person_weight_p5,median_normalization_factor,mean_person_weight_p1,mean_person_weight_p2,mean_person_weight_p3,mean_person_weight_p10
spm,0.0,1,1.0,0.9999999999999934,,,,,
spm,0.0,2,1.0,0.9999999999999944,,,,,
spm,0.0,3,1.0,0.9999999999999925,,,,,
spm,0.0,4,1.0,0.9999999999999923,,,,,
spm,0.0,5,1.0,1.0000000000000033,,,,,
spm,0.0,0,,1.0,1.0,1.0,1.0,1.0,1.0
spm,1.0,1,4.08123495831909,3.9163264690474304,,,,,
spm,1.0,2,1.9607155146477995,1.9948037249084283,,,,,
spm,1.0,3,1.3090991798721443,1.3240805585892086,,,,,
spm,1.0,4,0.8922760487736372,0.9059037749628139,,,,,
spm,1.0,5,0.42366463847218644,0.4983011272613142,,,,,
spm,1.0,0,,1.7278944779114276,0.7631318837180763,,2.215424189822176,1.8782307638141051,1.596627189555538
spm,1.3,1,6.223419515499471,5.988788206985312,,,,,
spm,1.3,2,2.3996005947585206,2.4622910225753496,,,,,
spm,1.3,3,1.419267689882481,1.443624663025262,,,,,
spm,1.3,4,0.8622813759842491,0.8819995704990731,,,,,
spm,1.3,5,0.3274378513361528,0.4121950279500584,,,,,
spm,1.3,0,,2.2378005137442916,0.7036869198638853,,3.5969259493169248,2.592196182606667,1.971827366886545
spm,1.4,1,7.163219135549418,6.910092767199868,,,,,
spm,1.4,2,2.566731375650126,2.6422233007192752,,,,,
spm,1.4,3,1.4580135869081936,1.48616271284488,,,,,
spm,1.4,4,0.8525089156974548,0.8744290102706165,,,,,
spm,1.4,5,0.30049074708881746,0.38752156426261836,,,,,
spm,1.4,0,,2.4601110739824494,0.6849193538788562,,4.354365002647412,2.925754952396517,2.127907314959273
spm,2.0,1,16.656478785005827,16.55769353058603,,,,,
spm,2.0,2,3.844405329380585,4.048759180330205,,,,,
spm,2.0,3,1.713740662741921,1.7732567002071917,,,,,
spm,2.0,4,0.7961565472150942,0.8328774562538108,,,,,
spm,2.0,5,0.17949172589176843,0.27122152401620914,,,,,
spm,2.0,0,,4.6968359297490245,0.5823702719470994,,17.868818838726806,6.902512471724238,3.5379792577602176
money,0.0,1,1.0,0.9999999999999936,,,,,
money,0.0,2,1.0,0.9999999999999942,,,,,
money,0.0,3,1.0,0.9999999999999919,,,,,
money,0.0,4,1.0,0.999999999999996,,,,,
money,0.0,5,1.0,1.0000000000000002,,,,,
money,0.0,0,,1.0,1.0,1.0,1.0,1.0,1.0
money,1.0,1,5.106186716956732,5.234072199441806,,,,,
money,1.0,2,2.1315009280491983,2.1867298134434336,,,,,
money,1.0,3,1.3410211580095945,1.360226928940338,,,,,
money,1.0,4,0.8857784494392289,0.9003545168827992,,,,,
money,1.0,5,0.40644541540451273,0.48629999489607284,,,,,
money,1.0,0,,2.0335373461061614,0.7410350605541733,225.45135885895806,2.585657064669656,2.252644552435429,1.8313163755432644
money,1.3,1,8.327712030016437,8.789684762610516,,,,,
money,1.3,2,2.6747991954434376,2.779262997937496,,,,,
money,1.3,3,1.4644222506786244,1.4958935358137009,,,,,
money,1.3,4,0.8541273780192414,0.8751877003089366,,,,,
money,1.3,5,0.3102436476657807,0.39974030340359845,,,,,
money,1.3,0,,2.8679541123340413,0.6773145155468915,4381.452981661205,4.501873756257298,3.4406890463913236,2.417639820343566
money,1.4,1,9.802466530713978,10.469521411339832,,,,,
money,1.4,2,2.8850924648901946,3.0120787689345296,,,,,
money,1.4,3,1.50802965535022,1.5444966924512527,,,,,
money,1.4,4,0.8438303738819205,0.8672315391197314,,,,,
money,1.4,5,0.2835326786525472,0.3750429195677181,,,,,
money,1.4,0,,3.253674205076923,0.657316083176188,11824.495908058141,5.574800322849465,4.032593691618829,2.673206595164761
money,2.0,1,26.073142788425375,30.515098976748703,,,,,
money,2.0,2,4.543296206274594,4.907250950693419,,,,,
money,2.0,3,1.7983377462293941,1.8766831260455072,,,,,
money,2.0,4,0.7846034614909646,0.8236991849234094,,,,,
money,2.0,5,0.16519787570334693,0.25937886462136084,,,,,
money,2.0,0,,7.676416097434157,0.5491329609705273,4604996.401823594,25.639829548944892,12.215691375834316,5.228203587352388
