measure,channel,eta,unweighted_bn,person_p1,person_p2,person_p3,person_p5,person_p10,quintile_bins,decile_bins,quintile_bins_floored_p5,decile_bins_floored_p5,equal_split_p1,equal_split_p2,equal_split_p3,equal_split_p5,equal_split_p10,median_normalized_p5
spm,wages,0.0,-1.469097263186157,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631861572,-1.4690972631862793,-1.4690972631861572,-1.4690972631862793,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365,-1.4690972631862365
spm,wages,1.0,-1.469097263186157,,-47.04596364748414,-46.832571322146286,-46.16452903140676,-44.87901914469433,-47.5776358839508,-49.27328507109537,-45.39548660460874,-46.57440419129911,,-21.235645915403836,-24.934407541618494,-26.717215444317873,-28.108640162383526,-35.22962400069526
spm,wages,1.3,-1.469097263186157,,-64.79414499431236,-64.2093047324371,-62.653834118769225,-60.068399212197825,-66.7952382260251,-69.34076395033622,-62.54385548661473,-63.41737609514452,,-18.01375560890185,-24.770233504421473,-27.997953228608715,-30.463315511765103,-44.08868354869952
spm,wages,1.4,-1.469097263186157,,-71.8307096059665,-71.02250104087369,-68.98719858521412,-65.76596283531002,-74.38184114144774,-77.49527349846338,-69.1423093311339,-69.8980380333965,,-16.49625365863774,-24.274931495099548,-28.04231049354086,-30.906403851790298,-47.25066748089719
spm,wages,2.0,-1.469097263186157,,-136.25735845449947,-131.0582933920117,-121.65537578960182,-110.58511750628287,-140.4531620021507,-155.0690328001736,-123.63547477004393,-124.03318205911638,,-7.625426150674888,-18.987041882051614,-25.90155960506427,-31.256575985776355,-70.84847428241699
spm,renters,0.0,-33.85640156627464,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.85640156627464,-33.8564015662745,-33.85640156627464,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745,-33.8564015662745
spm,renters,1.0,-33.85640156627464,,-89.08810982478334,-69.93768168064537,-62.22500668869037,-56.28519220165926,-61.44446378578807,-69.54468545316384,-57.89489681140133,-60.99289334123127,,-40.212664569638974,-37.23593662081415,-36.012040945870794,-35.25255774789084,-47.48588656871018
spm,renters,1.3,-33.85640156627464,,-157.9964949476573,-100.82373055112163,-82.61142623280425,-70.56325267454257,-80.86523144827055,-98.93443483651289,-73.94977066373664,-80.16532875437653,,-43.925423312554344,-38.895100312097156,-36.91634965914753,-35.78571525049872,-58.1325800713246
spm,renters,1.4,-33.85640156627464,,-196.87067887027987,-115.52599719184187,-91.58323138041683,-76.52950048485471,-89.2852018135956,-112.59286024332344,-80.76238018484513,-88.51992734398122,,-45.212259135507566,-39.48587597782695,-37.22727495883391,-35.96467757164482,-62.72712766321288
spm,renters,2.0,-33.85640156627464,,-924.0379351109103,-297.3270970833332,-183.53590451554126,-130.9088007489601,-172.09653843234094,-270.414672234635,-144.74024903922907,-172.0731168361156,,-51.71231201405756,-43.0751988209101,-39.07649900075358,-37.00100854515306,-106.88585462477265
spm,landlords,0.0,37.36398472186478,37.36398472186452,37.36398472186452,37.36398472186452,37.36398472186452,37.36398472186452,37.363984721864774,37.363984721864504,37.363984721864774,37.363984721864504,37.36398472186452,37.36398472186452,37.36398472186452,37.36398472186452,37.36398472186452,37.36398472186452
spm,landlords,1.0,37.36398472186478,,24.654784441084853,22.026194048822017,21.214194752804666,20.75185539397973,24.289215755679322,23.14175861936983,24.01405467146958,22.52624516235347,,11.128696957607836,11.72709683664942,12.277482811593378,12.997308031411228,16.189228403269954
spm,landlords,1.3,37.36398472186478,,30.747058853317405,22.872000868152387,20.946805785017066,20.006929717883292,23.55268275324166,23.18848613661555,23.016598858779844,21.837583633548057,,8.548148971250418,8.82340658535833,9.360443728725773,10.146390122109738,14.739993243845673
spm,landlords,1.4,37.36398472186478,,34.95963786434913,23.742277356246603,21.207926683502357,20.03271190747208,23.623989152651923,23.671591269670287,22.96330325580436,21.938946935540354,,8.028642027734012,8.114923410383037,8.620719164997205,9.414278416471113,14.525719441174587
spm,landlords,2.0,37.36398472186478,,126.21001174716977,39.21597718241707,27.075257023790627,22.948067863907266,27.975635462418992,33.580990481284765,25.854986294878046,26.50287750339227,,7.06314238709706,5.6814062043441655,5.764573731924545,6.4862075755737925,15.767824795982563
spm,crime,0.0,-32.33810000000006,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33810000000007,-32.33809999999998,-32.33810000000007,-32.33809999999998,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33809999999999,-32.33809999999999
spm,crime,1.0,-32.33810000000006,,-101.13513248899977,-79.62083857678607,-70.0439946684523,-61.932292030782094,-68.99214391178994,-80.304555622805,-64.24914650455118,-68.52910337222397,,-45.650459606617154,-42.39140371394024,-40.537194582111965,-38.78945093501917,-53.452805594474896
spm,crime,1.3,-32.33810000000006,,-183.37467791379825,-119.26412515995828,-96.68730466892978,-80.24095599057611,-94.1273139129945,-119.41288834321755,-84.88674659659034,-93.56863142449544,,-50.98094331039038,-46.00891165576379,-43.20640024662092,-40.69370236871909,-68.03759161242026
spm,crime,1.4,-32.33810000000006,,-229.26508702188355,-138.10503710414696,-108.4407770789154,-87.8947394353946,-105.02847634818521,-137.65063211039146,-93.64012357749097,-104.5032323399841,,-52.651784331927296,-47.20321399132338,-44.07962641433524,-41.3057179781709,-74.27318697101181
spm,crime,2.0,-32.33810000000006,,-1070.160484758542,-370.2985236669114,-229.77376683553626,-158.01075748747823,-212.6880748467097,-350.0867761990633,-176.13409217798713,-214.6746573488729,,-59.88982788494113,-53.6469184494514,-48.920969408402186,-44.66130126141831,-133.81341107832068
spm,unreimbursed_care,0.0,-4.400799999999996,-4.4008,-4.4008,-4.4008,-4.4008,-4.4008,-4.400799999999995,-4.400799999999999,-4.400799999999995,-4.400799999999999,-4.4008,-4.4008,-4.4008,-4.4008,-4.4008,-4.4008
spm,unreimbursed_care,1.0,-4.400799999999996,,-7.187621257311297,-6.352215074391512,-5.999626247152603,-5.714806684010576,-6.00086482172047,-6.3418654390746,-5.795413987200225,-5.928041716843398,,-3.2443544176920005,-3.382020567851913,-3.4722179646089164,-3.579299363930686,-4.5785060795939785
spm,unreimbursed_care,1.3,-4.400799999999996,,-10.544793600735902,-8.05063577873983,-7.2186745594591315,-6.641057280777653,-7.2472979473567944,-8.00277537332392,-6.847027379277151,-7.094532838870316,,-2.9316126462760277,-3.105720096634141,-3.22579001797655,-3.367970945277871,-5.079686866245585
spm,unreimbursed_care,1.4,-4.400799999999996,,-12.391758711735214,-8.843039582050057,-7.749577971463611,-7.027911810938424,-7.787811980234891,-8.763733716456032,-7.294506506995721,-7.598837450616317,,-2.8458245241731333,-3.022481282927208,-3.150092714683214,-3.30273398729913,-5.307835937048673
spm,unreimbursed_care,2.0,-4.400799999999996,,-45.55690840542392,-18.211829346164926,-13.022858570061684,-10.500927739257408,-13.040466229699438,-17.261691752317997,-11.457069571530115,-12.502915115519622,,-2.5495198544790862,-2.6384348338041663,-2.7726875634673407,-2.9680580281030853,-7.584125686975438
spm,housing_net,0.0,3.5075831555901154,3.507583155590026,3.507583155590026,3.507583155590026,3.507583155590026,3.507583155590026,3.5075831555901185,3.5075831555901242,3.5075831555901185,3.5075831555901242,3.507583155590026,3.507583155590026,3.507583155590026,3.507583155590026,3.507583155590026,3.507583155590026
spm,housing_net,1.0,3.5075831555901154,,-64.43332538369849,-47.91148763182336,-41.010811935885705,-35.53333680767953,-37.155248030108616,-46.40292683379395,-33.88084213993163,-38.46664817887776,,-29.083967612031138,-25.508839784164735,-23.734558134277417,-22.255249716479618,-31.296658165440224
spm,housing_net,1.3,3.5075831555901154,,-127.24943609433994,-77.95172968296924,-61.66462044778718,-50.55632295665928,-57.31254869502871,-75.74594869989728,-50.93317180495663,-58.327745120828446,,-35.37727434130394,-30.071693726738825,-27.55590593042176,-25.639325128388986,-43.39258682747892
spm,housing_net,1.4,3.5075831555901154,,-161.91104100593077,-91.78371983559528,-70.37530469691448,-56.49678857738263,-65.66121266094348,-88.92126897365307,-57.79907692904057,-66.58098040844085,,-37.183617107773564,-31.37095256744392,-28.60655579383671,-26.550399155173707,-48.201408222038296
spm,housing_net,2.0,3.5075831555901154,,-797.8279233637408,-258.11111990091615,-156.46064749175062,-107.96073288505279,-144.12090296992153,-236.83368175335,-118.88526274435064,-145.5702393327233,,-44.649169626960514,-37.393792616565946,-33.31192526882903,-30.51480096957926,-91.11802982879007
spm,TOTAL_a,0.0,-262.6246719251775,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.62467192517755,-262.624671925177,-262.62467192517755,-262.624671925177,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768
spm,TOTAL_a,1.0,-262.6246719251775,,-399.93364340367214,-353.4945891669061,-332.86813473420085,-314.63563363733067,-344.60607934594424,-364.10388077344567,-331.0528501719009,-336.0733565195067,,-180.5223781707346,-188.2061544179311,-192.6437864056093,-197.06268044008291,-254.02228668943312
spm,TOTAL_a,1.3,-262.6246719251775,,-594.1796289486805,-455.74013760234226,-407.1161250321914,-370.1857650259903,-419.43894636442894,-467.94423868163875,-393.0338029953308,-406.42404778200466,,-165.19095397599673,-175.8123635318597,-181.92690659052715,-187.7374111155087,-286.48229205082316
spm,TOTAL_a,1.4,-262.6246719251775,,-700.7341148722321,-503.85784050427606,-439.9701701796591,-393.8487602330646,-452.48998506783096,-516.4136966546765,-419.9474931026227,-437.50895707887213,,-160.92682043103704,-172.21464158902327,-178.8415876147541,-185.0873661010948,-301.3440846854225
spm,TOTAL_a,2.0,-262.6246719251775,,-2586.5875937834794,-1073.8960815874302,-771.2661352044038,-610.4813432415922,-781.0458135579141,-1070.0904214741586,-676.5919288526242,-747.7526801343095,,-144.7542569617198,-155.58046232970767,-164.2097247466799,-172.55085424895017,-449.162468902577
spm,TOTAL_b,0.0,-262.6246719251779,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.62467192517795,-262.6246719251761,-262.62467192517795,-262.6246719251761,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768,-262.6246719251768
spm,TOTAL_b,1.0,-262.6246719251779,,-724.7509569938279,-608.8114654576248,-557.0480283479553,-511.96952185798204,-554.8122390610802,-615.878999225606,-523.6412129080671,-548.0288834710808,,-327.1386853693247,-324.14092942515606,-322.3854439428967,-320.6568979953936,-425.1011111946155
spm,TOTAL_b,1.3,-262.6246719251779,,-1205.789730026043,-860.3001863922947,-738.2734550339136,-646.9340245822207,-737.4969470865276,-871.1651442413015,-676.7678467398334,-722.2506239146225,,-335.2278437244527,-331.88081680113885,-329.91030724120856,-328.08857177173155,-519.5133735900833
spm,TOTAL_b,1.4,-262.6246719251779,,-1467.8640078407743,-976.604823643753,-816.2718490187684,-702.1870981257186,-815.4265627576513,-987.5774849823326,-740.5821950349807,-796.582280422551,,-337.1017374400922,-333.7958371543746,-331.8028432339766,-329.9895127900146,-559.0803874194341
spm,TOTAL_b,2.0,-262.6246719251779,,-6122.539946875814,-2350.9297985003445,-1591.435492065943,-1193.4488321170638,-1567.4451342415525,-2300.004544870167,-1327.2119964319993,-1519.760377339564,,-342.6382013346361,-340.5904455994537,-338.83139966334346,-337.3249940624577,-926.8047203007093
spm,fiscal_a_cps_tax_fields,0.0,-227.92425781758078,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.92425781758075,-227.9242578175808,-227.92425781758075,-227.9242578175808,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806
spm,fiscal_a_cps_tax_fields,1.0,-227.92425781758078,,-191.30533479236686,-177.80796707422596,-173.36512959607361,-170.35984192971804,-179.08590113623254,-179.4236730552302,-177.00427938715941,-175.19032379509045,,-86.35155997268508,-94.66779615149792,-100.33316953800716,-106.69982513397011,-132.30045791968007
