measure,channel,quintile,bn,loss_bn,gain_bn,usd_per_household,usd_per_person,pct_of_resources
spm,fiscal_a,1,-6.911084398089805,-6.911084398089805,0.0,-255.02520419478708,-116.80436561102105,-1.2179419971887053
spm,fiscal_a,2,-14.574618232989831,-14.574618232989831,0.0,-609.5701231444854,-246.34120962696724,-1.283216467354641
spm,fiscal_a,3,-24.5704364563393,-24.5704364563393,0.0,-1033.4561047997222,-415.2796020336305,-1.439358024780738
spm,fiscal_a,4,-40.292485336269024,-40.292485336269024,0.0,-1631.7825135461107,-680.9966479166939,-1.5897135763900254
spm,fiscal_a,5,-141.57563339389367,-141.57563339389367,0.0,-5537.016990471858,-2392.8586295941227,-2.63811003440529
spm,fiscal_a,0,-227.92425781758163,-227.92425781758163,0.0,-1822.7299172112625,-770.4536762579284,-2.0149961316765386
spm,fiscal_b,1,-45.586227480308,-45.586227480308,0.0,-1682.172623278749,-770.4536762579237,-8.033671381152695
spm,fiscal_b,2,-45.58339311017796,-45.58339311017796,0.0,-1906.4838685530767,-770.4536762579252,-4.013371722113447
spm,fiscal_b,3,-45.58466874449487,-45.58466874449487,0.0,-1917.3348541440644,-770.4536762579392,-2.670390445890185
spm,fiscal_b,4,-45.58538364008907,-45.58538364008907,0.0,-1846.1366003211206,-770.4536762579287,-1.7985414067363574
spm,fiscal_b,5,-45.584584842511624,-45.584584842511624,0.0,-1782.8111711452123,-770.4536762579233,-0.8494198316785778
spm,fiscal_b,0,-227.92425781758152,-227.92425781758152,0.0,-1822.7299172112616,-770.453676257928,-2.0149961316765377
spm,wages,1,-4.790322859665976,-5.7711212060634045,0.9807983463974225,-176.76720396916753,-80.96133551051823,-0.8441997022193616
spm,wages,2,-11.057978607579376,-14.449466166902452,3.391487559323128,-462.4898761528986,-186.9027224366221,-0.9735953297755993
spm,wages,3,-11.828897206135714,-20.37347055430353,8.544573348167738,-497.5347528910219,-199.92724724242186,-0.6929473209892895
spm,wages,4,-4.190889691116163,-22.966240889275035,18.775351198158926,-169.7244649241896,-70.83161556355377,-0.16534880346840566
spm,wages,5,30.398991101311072,-26.06600023774611,56.464991339057164,1188.9032468804908,513.7924263093181,0.566452584655184
spm,wages,0,-1.469097263186157,-89.62629905429054,88.15720179110437,-11.748497323377217,-4.9659979066735636,-0.012987758875344904
