measure,channel,net_bn,gross_loss_bn,gross_gain_bn,loss_share_bottom2,gain_share_top2,net_share_q1,net_share_q5,pct_resources_q1,pct_resources_q5
spm,fiscal_a,-227.92425781758163,-227.92425781758163,0.0,0.09426685354516166,,0.030321846670752647,0.6211521088167948,-1.2179419971887053,-2.63811003440529
spm,fiscal_b,-227.92425781758152,-227.92425781758152,0.0,0.3999996378773043,,0.20000603672818712,0.19999882978228278,-8.033671381152695,-0.8494198316785778
spm,wages,-1.469097263186157,-89.62629905429054,88.15720179110437,0.22560997816854367,0.8534792507990916,3.260725467064579,-20.692293058515524,-0.8441997022193616,0.566452584655184
spm,renters,-33.85640156627464,-33.85640156627464,0.0,0.42467902050370526,,0.2301520809068103,0.20727466136342226,-1.3732073287343858,-0.13076496562502615
spm,landlords,37.36398472186478,0.0,37.36398472186478,,0.8805490691371823,0.01616643104711896,0.7674787187768688,0.10645051076535773,0.5343476702721243
spm,crime,-32.33810000000006,-32.33810000000006,0.0,0.5223635137735722,,0.3219724524585416,0.15114231200337921,-1.8349051720354508,-0.09107621077295103
spm,unreimbursed_care,-4.400799999999996,-4.400799999999996,0.0,0.26711118832618497,,0.10248412695310548,0.2625073597659104,-0.07948197447564401,-0.02152670247808049
spm,housing_net,3.5075831555901154,-20.172366638556067,23.6799497941461,0.6270796435441337,0.9748424004097134,-2.0492968152122764,6.174761364840049,-1.266756817969025,0.4035827046470966
spm,TOTAL_a,-262.6246719251775,-285.00614553466363,22.3814736094863,0.24174243441036572,0.8432055166119893,0.11328895925977712,0.3638692824540129,-5.243285663888209,-1.7806776583540327
spm,TOTAL_b,-262.6246719251779,-315.73071520564463,53.10604328046692,0.4360655507016316,0.9800074759311057,0.26055289603581944,-0.0016373085593763118,-12.059015047852217,0.008012544372666863
spm,fiscal_a_cps_tax_fields,-227.92425781758078,-227.92425781758078,0.0,0.07550043437051139,,0.02004894828332098,0.5932447407543753,-0.8053090030718375,-2.5195839814879823
spm,wages_pretax,8.086736521328618,-145.49723872449763,153.5839752458263,0.22560997816854328,0.8534792507990915,-0.9472294931138597,6.931860516524629,-1.3499227444850095,1.044545833501912
spm,fiscal_A_only_a,-237.4800916020955,-237.4800916020955,0.0,0.09426685354516214,,0.030321846670752817,0.6211521088167931,-1.2690047993483182,-2.748714062407476
spm,TOTAL_a_pretax_wages,-262.6246719251761,-334.9138063898635,72.28913446468752,0.2436720762346278,0.8435268127637384,0.1253191427914401,0.2887753773494336,-5.800071508313426,-1.4131884375094983
spm,fiscal_published_a,-182.7528296929848,-182.7528296929848,0.0,0.09426685354516232,,0.030321846670752755,0.6211521088167936,-0.9765627780010366,-2.115273198410008
spm,uncomp_inside_published_a,-4.699599999999967,-4.699599999999967,0.0,0.09426685354516305,,0.030321846670752998,0.6211521088167927,-0.025112904895665474,-0.0543955348869172
spm,fiscal_A_only_b,-237.48009160209605,-237.48009160209605,0.0,0.3999996378773067,,0.20000603672818967,0.19999882978228545,-8.370486905453632,-0.885032165365718
spm,TOTAL_b_pretax_wages,-262.6246719251766,-372.96366081235436,110.33898888717826,0.4072851716619935,0.9439584025932353,0.2787571907207216,-0.09205525272988067,-12.901553614418658,0.4504934595322673
spm,fiscal_published_b,-182.7528296929846,-182.7528296929846,0.0,0.3999996378773047,,0.20000603672818726,0.1999988297822838,-6.441509086339789,-0.6810765967738305
spm,uncomp_inside_published_b,-4.6996,-4.6996,0.0,0.3999996378773058,,0.20000603672818698,0.1999988297822833,-0.1656473180361623,-0.017514298298830423
spm,crime_equal_footing,-28.9228851746267,-28.9228851746267,0.0,0.5223635137735739,,0.32197245245854145,0.15114231200337874,-1.6411215129246888,-0.08145768571209035
spm,TOTAL_a_published_band,-218.73762897520908,-248.2949341976339,29.557305222425956,0.2558136392286721,0.8551382784809832,0.12538167404920725,0.31958701574889753,-4.833235690485377,-1.3026178321848332
spm,TOTAL_b_published_band,-218.73762897520788,-278.1369688742172,59.399339899009306,0.4307990702134508,0.9714472973261166,0.2707965889670146,-0.0413303344027521,-10.438716411964686,0.1684600060394431
spm,crime_tangible,-5.032871936321485,-5.032871936321485,0.0,0.5206631245094151,,0.3203315115585002,0.1519193186100178,-0.28411617046590587,-0.014247323190636272
