measure,channel,decile,bn
spm,landlords_scf_metro_local_low,7,0.97051630851273
spm,landlords_scf_metro_local_low,8,1.753172807207736
spm,landlords_scf_metro_local_low,9,3.2295427558871346
spm,landlords_scf_metro_local_low,10,15.268315282903977
spm,landlords_mid_metro_local_low,1,0.20386594571014266
spm,landlords_mid_metro_local_low,2,0.19135820473938822
spm,landlords_mid_metro_local_low,3,0.32496343565321
spm,landlords_mid_metro_local_low,4,0.5318701794637517
spm,landlords_mid_metro_local_low,5,0.7740468987599729
spm,landlords_mid_metro_local_low,6,0.894137443103671
spm,landlords_mid_metro_local_low,7,1.0691273791967364
spm,landlords_mid_metro_local_low,8,1.6951273305742087
spm,landlords_mid_metro_local_low,9,2.9819884818939593
spm,landlords_mid_metro_local_low,10,15.780725671440301
spm,owner_value_stock_metro_local_low,1,65.30199490384472
spm,owner_value_stock_metro_local_low,2,59.86213757378436
spm,owner_value_stock_metro_local_low,3,69.35143089836944
spm,owner_value_stock_metro_local_low,4,78.17265329135417
spm,owner_value_stock_metro_local_low,5,88.60636737145909
spm,owner_value_stock_metro_local_low,6,102.40238582388533
spm,owner_value_stock_metro_local_low,7,119.72960308886026
spm,owner_value_stock_metro_local_low,8,147.15353970144807
spm,owner_value_stock_metro_local_low,9,191.20712277153294
spm,owner_value_stock_metro_local_low,10,342.0459557666287
spm,renters_national_uniform_low,1,-2.993777032357272
spm,renters_national_uniform_low,2,-2.4299504736086615
spm,renters_national_uniform_low,3,-2.301469089780609
spm,renters_national_uniform_low,4,-2.152601836986835
spm,renters_national_uniform_low,5,-2.0065015515334035
spm,renters_national_uniform_low,6,-2.018500457858835
spm,renters_national_uniform_low,7,-1.8892400757541263
spm,renters_national_uniform_low,8,-1.7937257878197579
spm,renters_national_uniform_low,9,-1.886453326189422
spm,renters_national_uniform_low,10,-2.120766191281182
spm,landlords_intp_national_uniform_low,1,0.07981512785262292
spm,landlords_intp_national_uniform_low,2,0.1899794019114741
spm,landlords_intp_national_uniform_low,3,0.31671443499605706
spm,landlords_intp_national_uniform_low,4,0.43714845898396437
