group,side,incidents,person_years,rate_per_1000
White,victim,10821190.0,514054190.0,21.050679501318722
Black,victim,2363070.0,104274630.0,22.66198403197403
Hispanic,victim,3271380.0,156526080.0,20.899903709337128
Other,victim,1784910.0,78679990.0,22.68569174957953
White,offender,7634600.0,514054190.0,14.851741603351195
Black,offender,3831970.0,104274630.0,36.74882375511665
Hispanic,offender,2177710.0,156526080.0,13.912761374973423
Other,offender,1261520.0,78679990.0,16.033555672795586
