year,scope,measure,victim,offender,row_total,row_total_se,value,value_se,flag
2018,violent,percent,White,White,3581360.0,272794.0,62.1,2.75,
2018,violent,percent,White,Black,3581360.0,272794.0,15.3,1.72,
2018,violent,percent,White,Hispanic,3581360.0,272794.0,10.2,1.37,
2018,violent,percent,White,Asian,3581360.0,272794.0,2.2,0.54,
2018,violent,percent,White,Other,3581360.0,272794.0,8.1,1.2,
2018,violent,percent,White,MultipleVarious,3581360.0,272794.0,2.1,0.53,
2018,violent,percent,Black,White,563940.0,75952.0,10.6,2.71,
2018,violent,percent,Black,Black,563940.0,75952.0,70.3,4.76,
2018,violent,percent,Black,Hispanic,563940.0,75952.0,7.9,2.31,
2018,violent,percent,Black,Asian,563940.0,75952.0,0.05,,lt
2018,violent,percent,Black,Other,563940.0,75952.0,9.3,2.53,
2018,violent,percent,Black,MultipleVarious,563940.0,75952.0,1.9,1.04,
2018,violent,percent,Hispanic,White,734410.0,91029.0,28.2,3.93,
2018,violent,percent,Hispanic,Black,734410.0,91029.0,15.3,2.97,
2018,violent,percent,Hispanic,Hispanic,734410.0,91029.0,45.4,4.55,
2018,violent,percent,Hispanic,Asian,734410.0,91029.0,0.6,0.49,
2018,violent,percent,Hispanic,Other,734410.0,91029.0,7.4,2.02,
2018,violent,percent,Hispanic,MultipleVarious,734410.0,91029.0,3.0,1.22,
2018,violent,percent,Asian,White,182230.0,35497.0,24.1,6.24,
2018,violent,percent,Asian,Black,182230.0,35497.0,27.5,6.57,
2018,violent,percent,Asian,Hispanic,182230.0,35497.0,7.0,3.45,
2018,violent,percent,Asian,Asian,182230.0,35497.0,24.1,6.24,
2018,violent,percent,Asian,Other,182230.0,35497.0,14.4,4.96,
2018,violent,percent,Asian,MultipleVarious,182230.0,35497.0,2.9,2.15,
2019,violent,count,White,White,2796710.0,223256.0,1722230.0,160168.0,
2019,violent,count,White,Black,2796710.0,223256.0,472570.0,66797.0,
2019,violent,count,White,Hispanic,2796710.0,223256.0,463520.0,65942.0,
2019,violent,count,White,Other,2796710.0,223256.0,138380.0,30010.0,
2019,violent,count,Black,White,494610.0,68856.0,89980.0,22886.0,
2019,violent,count,Black,Black,494610.0,68856.0,346260.0,54360.0,
2019,violent,count,Black,Hispanic,494610.0,68856.0,43730.0,14707.0,
2019,violent,count,Black,Other,494610.0,68856.0,14640.0,7734.0,
2019,violent,count,Hispanic,White,774310.0,93010.0,170840.0,34331.0,
2019,violent,count,Hispanic,Black,774310.0,93010.0,249030.0,43801.0,
2019,violent,count,Hispanic,Hispanic,774310.0,93010.0,334600.0,53147.0,
2019,violent,count,Hispanic,Other,774310.0,93010.0,19840.0,9216.0,
2021,violent,count,White,White,2641720.0,152905.0,1495440.0,110031.0,
2021,violent,count,White,Black,2641720.0,152905.0,480030.0,61644.0,
2021,violent,count,White,Hispanic,2641720.0,152905.0,197180.0,27853.0,
2021,violent,count,White,Other,2641720.0,152905.0,93090.0,19659.0,
2021,violent,count,White,Unknown,2641720.0,152905.0,375990.0,55928.0,
2021,violent,count,Black,White,608000.0,63953.0,69850.0,18514.0,
2021,violent,count,Black,Black,608000.0,63953.0,358360.0,49358.0,
2021,violent,count,Black,Hispanic,608000.0,63953.0,65330.0,20821.0,
2021,violent,count,Black,Other,608000.0,63953.0,9100.0,4988.0,
2021,violent,count,Black,Unknown,608000.0,63953.0,105360.0,22325.0,
2021,violent,count,Hispanic,White,745570.0,79059.0,202640.0,44069.0,
2021,violent,count,Hispanic,Black,745570.0,79059.0,135630.0,24585.0,
2021,violent,count,Hispanic,Hispanic,745570.0,79059.0,194830.0,31956.0,
2021,violent,count,Hispanic,Other,745570.0,79059.0,33560.0,19112.0,
2021,violent,count,Hispanic,Unknown,745570.0,79059.0,178920.0,37940.0,
2022,violent,count,White,White,3858410.0,214229.0,2148030.0,159555.0,
2022,violent,count,White,Black,3858410.0,214229.0,543480.0,55405.0,
2022,violent,count,White,Hispanic,3858410.0,214229.0,262060.0,50820.0,
2022,violent,count,White,Other,3858410.0,214229.0,224610.0,50721.0,
2022,violent,count,White,Unknown,3858410.0,214229.0,680230.0,73852.0,
2022,violent,count,Black,White,720900.0,69184.0,96550.0,22208.0,
2022,violent,count,Black,Black,720900.0,69184.0,433290.0,53384.0,
