ncvs_offence,total_2024,cjs_2024
Rape/sexual assault,211613.4180964873,842.8788112369061
Robbery,35478.1337589752,9471.329507996084
Aggravated assault,100971.73819635676,9906.933293582088
Simple assault,25526.063151428847,5120.074334759009
