year,group,population,victim_incidents,offender_incidents
2021,White,171158580.0,2641720.0,1892700.0
2021,Black,33938330.0,608000.0,1079770.0
2021,Hispanic,49402220.0,745570.0,543280.0
2021,Asian,19293190.0,168990.0,44570.0
2021,Other,5396250.0,239290.0,109080.0
2021,MultipleVarious,,,34320.0
2022,White,171625260.0,3858410.0,2687770.0
2022,Black,34448440.0,720900.0,1283300.0
2022,Hispanic,50873240.0,1073070.0,694420.0
2022,Asian,19681580.0,252060.0,92310.0
2022,Other,5676110.0,325720.0,130290.0
2022,MultipleVarious,,,173480.0
2023,White,171573780.0,3541060.0,2630800.0
2023,Black,34813560.0,868760.0,1177040.0
2023,Hispanic,52113170.0,1037330.0,687540.0
2023,Asian,20351610.0,194600.0,65430.0
2023,Other,6004920.0,292830.0,105160.0
2023,MultipleVarious,,,235130.0
2024,White,170855150.0,3421720.0,2316030.0
2024,Black,35012630.0,773420.0,1371630.0
2024,Hispanic,53539670.0,1160980.0,795750.0
2024,Asian,20569310.0,231220.0,131570.0
2024,Other,6396460.0,488500.0,106120.0
2024,MultipleVarious,,,222030.0
