group,12-17,18-29,30+,total_12plus,share_12-17,share_18-29,share_30+
White,12368432.4,26799330.0,130422511.0,169590273.4,0.07293126045517655,0.15802398016536248,0.7690447593794609
Black,3473305.8,6955056.0,24072217.0,34500578.8,0.10067384144871216,0.2015924440085046,0.6977337145427833
Hispanic,6833710.2,12407217.0,33637866.0,52878793.2,0.1292334750181099,0.23463502567225758,0.6361314993096324
