offender,victim,col_share,row_share_excl_unknown
White,White,0.7599468210515286,0.6527610109099337
White,Black,0.03560369894951929,0.14248048768981586
White,Hispanic,0.12545123516621695,0.3596542284540542
White,Other,0.07899824483273518,0.41687344913151364
Black,White,0.38230988238425667,0.16482471763219447
Black,Black,0.3452949788229031,0.6935636895432887
Black,Hispanic,0.16724295858266114,0.24065444249595386
Black,Other,0.1051521802101791,0.27851006034131204
Hispanic,White,0.40156402826822674,0.09838741796735682
Hispanic,Black,0.0959080869353587,0.10947860591161408
Hispanic,Hispanic,0.40444319950773977,0.3307360412762905
Hispanic,Other,0.0980846852886748,0.14763922392640158
Other,White,0.5920239076669415,0.08402685349051499
Other,Black,0.08238474221573974,0.0544772168552813
Other,Hispanic,0.14556249603652735,0.06895528777370138
Other,Other,0.18002885408079142,0.15697726660077277
