arm,intra_White,intra_Black,intra_Hispanic,intra_Other
C1a_unknown_dropped,0.7599468210515286,0.3452949788229031,0.40444319950773977,0.18002885408079142
C1b_unknown_proportional_within_victim_row,0.7578219997656731,0.34819738390886174,0.40540269909170057,0.181497049557137
C1c_unknown_all_out_group,0.6730754984009589,0.2900259750625529,0.27248102770183863,0.12437588859380619
C1d_unknown_all_in_group,0.808445413459649,0.4148234190988671,0.5344859766121333,0.3533563382218721
C2_reported_to_police_only_baseline_2012_2015,0.8882592164276235,0.4296529010184341,0.42483139636164546,
C2_reported_to_police_only,0.8840716317582041,0.4423774995873089,0.43990049685014243,
C3_injury_only_baseline_2012_2015,0.8882592164276235,0.4296494664055318,0.42483139636164546,
C3_injury_only,0.9110541930720247,0.525861660137355,0.3795847919852633,
C3b_2022_2024_three_group_restricted,0.8251306979469472,0.38587005654660356,0.4484270229264145,
C4_year_2018_own_convention,0.8773884175158958,0.35817007775072307,0.44101811437673577,
C4_year_2019_own_convention,0.86847532840826,0.3242559886127395,0.3974579794500208,
C5_serious_violent_2019,0.8604295143051083,0.3872425644772807,0.45984800680402754,
C5_simple_assault_2019,0.8727917932188681,0.29092861745543064,0.3498198424669013,
