offender_group,homicide_intra_share_known,ncvs_violent_intra_share_2022_2024,difference,ncvs_concentration_ratio
White,0.809,0.7599468210515286,-0.0490531789484715,1.2618146859420911
Black,0.813,0.3452949788229031,-0.46770502117709684,2.826395181331825
Hispanic,0.717,0.40444319950773977,-0.3125568004922602,2.2054240533148644
Other,0.663,0.18002885408079142,-0.48297114591920864,1.9529858629198398
