years,victim,offender,count,se,row_share_incl_unknown,row_share_excl_unknown,col_share
2022-2024,Black,Black,1323160.0,132603.26346662815,0.5599326300109603,0.6935636895432887,0.3452949788229031
2022-2024,Black,Hispanic,208860.0,76535.90744219343,0.08838502456550165,0.10947860591161408,0.0959080869353587
2022-2024,Black,Other,103930.0,33479.036097235534,0.04398092312119404,0.0544772168552813,0.08238474221573974
2022-2024,Black,Unknown,455300.0,74046.6336101784,0.19267309051361153,,
2022-2024,Black,White,271820.0,40007.01718448902,0.11502833178873245,0.14248048768981586,0.03560369894951929
2022-2024,Hispanic,Black,640870.0,130009.92834779965,0.1959020352267239,0.24065444249595386,0.16724295858266114
2022-2024,Hispanic,Hispanic,880760.0,97710.15126894442,0.26923194492844,0.3307360412762905,0.40444319950773977
2022-2024,Hispanic,Other,183630.0,30651.04667054618,0.05613227445298315,0.06895528777370138,0.14556249603652735
2022-2024,Hispanic,Unknown,608350.0,84278.9359033442,0.18596127628095788,,
2022-2024,Hispanic,White,957770.0,144327.10563854594,0.2927724691108951,0.3596542284540542,0.12545123516621695
2022-2024,Other,Black,402940.0,55588.136180303794,0.22574807693385102,0.27851006034131204,0.1051521802101791
2022-2024,Other,Hispanic,213600.0,83057.18314510792,0.11966989932265493,0.14763922392640158,0.0980846852886748
2022-2024,Other,Other,227110.0,67021.90779886827,0.12723890840434532,0.15697726660077277,0.18002885408079142
2022-2024,Other,Unknown,338140.0,48053.923221730816,0.18944372545394444,,
2022-2024,Other,White,603120.0,119870.7474615888,0.3378993898852043,0.41687344913151364,0.07899824483273518
2022-2024,White,Black,1465000.0,106268.13911045963,0.1353825226245912,0.16482471763219447,0.38230988238425667
2022-2024,White,Hispanic,874490.0,95282.87737049087,0.0808127387098831,0.09838741796735682,0.40156402826822674
2022-2024,White,Other,746850.0,99292.5947994109,0.0690173631550689,0.08402685349051499,0.5920239076669415
2022-2024,White,Unknown,1932960.0,131592.05856357745,0.17862730439073707,,
2022-2024,White,White,5801890.0,306619.25849985355,0.5361600711197197,0.6527610109099337,0.7599468210515286
