arm,pricing,group,simple_assault_price_used,cost_per_incident,rate_per_1000,cost_per_1000_persons
simple_central,social_total_2024,White,25526.063151428847,82312.03746484117,21.050679501318722,1732724.3197729106
simple_central,social_total_2024,Black,25526.063151428847,85707.33039474156,22.66198403197403,1942298.1528287556
simple_central,social_total_2024,Hispanic,25526.063151428847,78903.72682569972,20.899903709337128,1649080.292964965
simple_central,social_total_2024,Other,25526.063151428847,88690.96182209656,22.68569174957953,2012015.820869809
simple_central,cjs_2024,White,5120.074334759009,10693.44012888228,21.050679501318722,225104.18091964122
simple_central,cjs_2024,Black,5120.074334759009,11436.780398732828,22.66198403197403,259180.13477327692
simple_central,cjs_2024,Hispanic,5120.074334759009,11023.578004638817,20.899903709337128,230391.71882931798
simple_central,cjs_2024,Other,5120.074334759009,11657.763366617028,22.68569174957953,264464.4262246144
simple_low_miller1996,social_total_2024,White,10492.985277828211,73085.32998609908,21.050679501318722,1538495.8577854906
simple_low_miller1996,social_total_2024,Black,10492.985277828211,77456.96243331367,22.66198403197403,1755328.4458289668
simple_low_miller1996,social_total_2024,Hispanic,10492.985277828211,69941.71992994768,20.899903709337128,1461775.211801332
simple_low_miller1996,social_total_2024,Other,10492.985277828211,79137.31809840242,22.68569174957953,1795284.8042687785
simple_low_miller1996,cjs_2024,White,5120.074334759009,10693.44012888228,21.050679501318722,225104.18091964122
simple_low_miller1996,cjs_2024,Black,5120.074334759009,11436.780398732828,22.66198403197403,259180.13477327692
simple_low_miller1996,cjs_2024,Hispanic,5120.074334759009,11023.578004638817,20.899903709337128,230391.71882931798
simple_low_miller1996,cjs_2024,Other,5120.074334759009,11657.763366617028,22.68569174957953,264464.4262246144
simple_high_miller2021_reweighted,social_total_2024,White,34671.16476160519,87924.93843761184,21.050679501318722,1850879.699223346
simple_high_miller2021_reweighted,social_total_2024,Black,34671.16476160519,90726.29284295044,22.66198403197403,2056037.7996871425
simple_high_miller2021_reweighted,social_total_2024,Hispanic,34671.16476160519,84355.60197607592,20.899903709337128,1763023.9586431556
simple_high_miller2021_reweighted,social_total_2024,Other,34671.16476160519,94502.74855899853,22.68569174957953,2143860.223297462
simple_high_miller2021_reweighted,cjs_2024,White,12589.637157865893,15277.961791204176,21.050679501318722,321611.47710003244
simple_high_miller2021_reweighted,cjs_2024,Black,12589.637157865893,15536.183216957794,22.66198403197403,352080.73598052043
simple_high_miller2021_reweighted,cjs_2024,Hispanic,12589.637157865893,15476.576525087738,20.899903709337128,323458.9591245211
simple_high_miller2021_reweighted,cjs_2024,Other,12589.637157865893,16404.73152468339,22.68569174957953,372152.6826035772
simple_at_zero,social_total_2024,White,0.0,66645.15143109507,21.050679501318722,1402925.7230928352
simple_at_zero,social_total_2024,Black,0.0,71698.26216688624,22.66198403197403,1624824.8723462636
simple_at_zero,social_total_2024,Hispanic,0.0,63686.30056688695,20.899903709337128,1331037.5494518399
simple_at_zero,social_total_2024,Other,0.0,72468.94028613954,22.68569174957953,1644008.0407500472
simple_at_zero,cjs_2024,White,0.0,7550.941396856398,21.050679501318722,158952.44727846392
simple_at_zero,cjs_2024,Black,0.0,8626.810437371401,22.66198403197403,195500.64037857758
simple_at_zero,cjs_2024,Hispanic,0.0,7971.232910660871,20.899903709337128,166598.00027751134
simple_at_zero,cjs_2024,Other,0.0,8403.914324897005,22.68569174957953,190648.6098644892
simple_at_aggravated,social_total_2024,White,155924.42641300865,162345.3855015845,21.050679501318722,3417480.6787118907
simple_at_aggravated,social_total_2024,Black,155924.42641300865,157271.8155601666,22.66198403197403,3564091.3729040604
simple_at_aggravated,social_total_2024,Hispanic,155924.42641300865,156641.03654836633,20.899903709337128,3273782.580791614
simple_at_aggravated,social_total_2024,Other,155924.42641300865,171560.1862902061,22.68569174957953,3891961.5026800553
simple_at_aggravated,cjs_2024,White,12589.637157865893,15277.961791204176,21.050679501318722,321611.47710003244
simple_at_aggravated,cjs_2024,Black,12589.637157865893,15536.183216957794,22.66198403197403,352080.73598052043
simple_at_aggravated,cjs_2024,Hispanic,12589.637157865893,15476.576525087738,20.899903709337128,323458.9591245211
simple_at_aggravated,cjs_2024,Other,12589.637157865893,16404.73152468339,22.68569174957953,372152.6826035772
