year,crimeType,victim_race,rate,rateSE,rateLB,rateUB,count,countSE,countLB,countUB,sampleSizeUnwt,countFlag,rateFlag
1994,Simple assault,Hispanic,49.5,4.6,40.49,58.54,916414,91235.0,737597.0,1095232.0,271,0,0
1994,Simple assault,Other,44.5,5.99,32.77,56.23,324296,46501.0,233156.0,415436.0,84,0,0
1994,Simple assault,White,55.4,2.53,50.45,60.38,8990375,415675.0,8175667.0,9805083.0,2332,0,0
1994,Violent crime excluding simple assault,Black,41.7,3.75,34.39,49.07,1047383,99641.0,852089.0,1242676.0,284,0,0
1994,Violent crime excluding simple assault,Hispanic,42.4,4.19,34.16,50.57,784045,82341.0,622660.0,945430.0,230,0,0
1994,Violent crime excluding simple assault,Other,23.9,4.15,15.76,32.01,174040,31432.0,112435.0,235645.0,67,0,0
1994,Violent crime excluding simple assault,White,23.2,1.43,20.36,25.96,3757641,233388.0,3300210.0,4215073.0,1206,0,0
1994,Violent victimization,Black,84.2,5.75,72.9,95.42,2112194,158837.0,1800879.0,2423509.0,540,0,0
1994,Violent victimization,Hispanic,91.9,6.67,78.82,104.96,1700459,137449.0,1431064.0,1969854.0,501,0,0
1994,Violent victimization,Other,68.4,7.69,53.31,83.46,498335,61279.0,378230.0,618441.0,151,0,0
1994,Violent victimization,White,78.6,3.16,72.37,84.77,12748016,520881.0,11727109.0,13768924.0,3538,0,0
1995,Aggravated assault,Black,14.8,1.93,11.04,18.62,373508,50210.0,275098.0,471919.0,113,0,0
1995,Aggravated assault,Hispanic,20.0,2.55,15.0,25.01,387392,51444.0,286563.0,488221.0,113,0,0
1995,Aggravated assault,Other,18.8,3.39,12.13,25.44,142348,26721.0,89976.0,194721.0,29,0,0
1995,Aggravated assault,White,12.2,0.95,10.35,14.09,1991138,155833.0,1685711.0,2296566.0,567,0,0
1995,Personal theft/Larceny,Black,3.2,0.74,1.78,4.66,81186,18714.0,44508.0,117865.0,29,0,0
1995,Personal theft/Larceny,Hispanic,3.2,0.81,1.62,4.79,62005,15823.0,30993.0,93017.0,25,0,0
1995,Personal theft/Larceny,Other,2.4,0.99,0.44,4.31,17999,7524.0,3251.0,32746.0,8,1,1
1995,Personal theft/Larceny,White,1.6,0.24,1.09,2.02,252950,38813.0,176878.0,329022.0,108,0,0
1995,Rape/sexual assault,Black,3.2,0.73,1.75,4.61,80106,18558.0,43734.0,116478.0,21,0,0
1995,Rape/sexual assault,Hispanic,3.5,0.86,1.84,5.2,68109,16772.0,35238.0,100981.0,15,0,0
1995,Rape/sexual assault,Other,3.7,1.28,1.21,6.22,28123,9790.0,8936.0,47311.0,4,1,1
1995,Rape/sexual assault,White,2.4,0.31,1.76,2.99,386910,51401.0,286165.0,487655.0,118,0,0
1995,Robbery,Black,13.4,1.81,9.85,16.95,337449,46939.0,245451.0,429447.0,105,0,0
1995,Robbery,Hispanic,11.2,1.77,7.75,14.67,217087,35117.0,148260.0,285915.0,78,0,0
1995,Robbery,Other,6.0,1.7,2.69,9.36,45659,13111.0,19961.0,71357.0,19,0,0
1995,Robbery,White,4.6,0.49,3.64,5.57,750381,80182.0,593227.0,907535.0,243,0,0
