offender,victim,homicide_share,ncvs_violent_share,difference,ncvs_over_homicide
White,White,0.809,0.7599468210515286,-0.0490531789484715,0.9393656626100476
White,Black,0.092,0.03560369894951929,-0.056396301050480706,0.38699672771216626
White,Hispanic,0.081,0.12545123516621695,0.04445123516621695,1.5487806810644067
White,Other,0.018,0.07899824483273518,0.06099824483273518,4.388791379596399
Black,White,0.112,0.38230988238425667,0.2703098823842567,3.4134810927165775
Black,Black,0.813,0.3452949788229031,-0.46770502117709684,0.4247170711228821
Black,Hispanic,0.064,0.16724295858266114,0.10324295858266114,2.6131712278540804
Black,Other,0.011,0.1051521802101791,0.0941521802101791,9.559289110016282
Hispanic,White,0.156,0.40156402826822674,0.24556402826822674,2.574128386334787
Hispanic,Black,0.11,0.0959080869353587,-0.014091913064641304,0.8718916994123518
Hispanic,Hispanic,0.717,0.40444319950773977,-0.3125568004922602,0.5640769867611434
Hispanic,Other,0.016,0.0980846852886748,0.0820846852886748,6.130292830542174
Other,White,0.165,0.5920239076669415,0.4270239076669414,3.588023682829948
Other,Black,0.095,0.08238474221573974,-0.012615257784260259,0.8672078127972604
Other,Hispanic,0.077,0.14556249603652735,0.06856249603652735,1.890422026448407
Other,Other,0.663,0.18002885408079142,-0.48297114591920864,0.27153673315353155
