victim,avg_annual_number,White,Black,Hispanic,Other,TwoOrMoreRaces,MixedOffenderGroup,Unknown
Total,5833800,43.8,22.7,14.4,2.2,6.0,2.8,8.0
White,3679410,56.6,14.7,11.0,1.7,6.1,2.1,7.9
Black,850720,10.9,63.2,6.6,0.5,7.4,4.0,7.4
Hispanic,846520,20.0,20.5,40.3,2.5,5.7,3.3,7.8
Other,198320,29.6,18.9,9.7,17.5,3.6,6.1,14.5
