k_aggravated_over_simple,simple_assault_2024
1.5,34764.05222444207
2.0,32378.15238530471
3.0,28470.254877101277
3.9556330170210665,25526.063151428847
5.0,22934.155773413688
7.0,19200.56647734409
10.0,15432.131966679415
13.0,12900.242194602402
