DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,SEX,AGE,CITIZENSHIP,COUNTRY_CITIZEN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_COUNTRY_CITIZEN,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,FRG,WORLD,2023,50,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,FRG,WORLD,2024,61,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,ITL,WORLD,2023,613,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,ITL,WORLD,2024,650,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,TOTAL,WORLD,2023,663,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_GE65,TOTAL,WORLD,2024,711,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,FRG,WORLD,2023,31,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,FRG,WORLD,2024,19,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,ITL,WORLD,2023,25,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,ITL,WORLD,2024,20,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,TOTAL,WORLD,2023,56,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y_UN13,TOTAL,WORLD,2024,39,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,FRG,WORLD,2023,256,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,FRG,WORLD,2024,295,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,ITL,WORLD,2023,211,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,ITL,WORLD,2024,240,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,TOTAL,WORLD,2023,467,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y14-17,TOTAL,WORLD,2024,535,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,FRG,WORLD,2023,372,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,FRG,WORLD,2024,430,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,ITL,WORLD,2023,506,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,ITL,WORLD,2024,599,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,TOTAL,WORLD,2023,878,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y18-24,TOTAL,WORLD,2024,1029,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,FRG,WORLD,2023,662,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,FRG,WORLD,2024,711,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,ITL,WORLD,2023,853,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,ITL,WORLD,2024,841,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,TOTAL,WORLD,2023,1515,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y25-34,TOTAL,WORLD,2024,1552,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y35-44,FRG,WORLD,2023,537,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y35-44,FRG,WORLD,2024,626,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y35-44,ITL,WORLD,2023,1170,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y35-44,ITL,WORLD,2024,1184,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_5(1.0),A,IT,OFFEND,BLOWS,1,Y35-44,TOTAL,WORLD,2023,1707,,,,TIPO_DATO35__OFFEND_N1,,,,,ISO__WORLD_N1,,,,
