DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TYPE_CRIME,SEX,AGE,CITIZENSHIP,COUNTRY_CITIZEN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_TYPE_CRIME,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_COUNTRY_CITIZEN,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,FRG,WORLD,2024,0,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,ITL,WORLD,2022,10,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,ITL,WORLD,2023,2,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,ITL,WORLD,2024,8,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,TOTAL,WORLD,2022,26,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,TOTAL,WORLD,2023,6,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y_UN13,TOTAL,WORLD,2024,8,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,FRG,WORLD,2022,26,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,FRG,WORLD,2023,29,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
IT1:73_230_DF_DCCV_AUTVITTPS_1(1.0),A,IT,OFFEND,ARSON,1,Y14-17,FRG,WORLD,2024,87,,,,TIPO_DATO35__OFFEND_N1,REATI_PS__ARSON_N1,,,,ISO__WORLD_N1,,,,
