group,persons_m,uninsured_person_years_m,uninsured_rate,uninsured_rate_se,share_of_uninsured_py,share_se,share_of_medicaid_covered,cost_bn_price2020,cost_bn_2024,cost_bn_2024_se
target,40.896574,8.381247,0.204938,0.004921,0.257413,0.006272,0.196475,12.772422,15.326906,0.400881
target_mexico_born,12.220782,4.29186,0.351194,0.009823,0.131816,0.004711,0.043793,6.540489,7.848586,0.292322
target_us_born,28.675792,4.089387,0.142608,0.004932,0.125597,0.004509,0.152682,6.231933,7.47832,0.275741
other_civilian,295.831229,24.178337,0.08173,0.001225,0.742587,0.006272,0.803525,36.846059,44.215271,0.674649
all_civilian,336.727803,32.559584,0.096694,0.001157,1.0,0.0,1.0,49.618481,59.542177,0.712763
