use_intensity,offset_year,state_local_key,prices,national_bn,gov_offset_share,key_share,target_share,target_bn,outside_accounts_bn,inside_undercharged_bn,added_cost_bn
1.0,2013,health_other,2020,42.67,0.5783,0.0876,0.2574,10.9838,4.6317,4.1904,8.8221
1.0,2013,health_other,2024,51.204,0.5783,0.0876,0.2574,13.1806,5.5581,5.0285,10.5865
1.0,2013,per_head,2020,42.67,0.5783,0.1094,0.2574,10.9838,4.6317,3.6516,8.2833
1.0,2013,per_head,2024,51.204,0.5783,0.1094,0.2574,13.1806,5.5581,4.3819,9.94
1.0,2017,health_other,2020,42.67,0.7047,0.0981,0.2574,10.9838,3.2435,4.7897,8.0332
1.0,2017,health_other,2024,51.204,0.7047,0.0981,0.2574,13.1806,3.8922,5.7476,9.6398
1.0,2017,per_head,2020,42.67,0.7047,0.1213,0.2574,10.9838,3.2435,4.0926,7.3361
1.0,2017,per_head,2024,51.204,0.7047,0.1213,0.2574,13.1806,3.8922,4.9111,8.8033
0.7,2013,health_other,2020,42.67,0.5783,0.0876,0.1953,8.3321,3.5135,2.6569,6.1704
0.7,2013,health_other,2024,51.204,0.5783,0.0876,0.1953,9.9985,4.2162,3.1882,7.4045
0.7,2013,per_head,2020,42.67,0.5783,0.1094,0.1953,8.3321,3.5135,2.1181,5.6316
0.7,2013,per_head,2024,51.204,0.5783,0.1094,0.1953,9.9985,4.2162,2.5417,6.7579
0.7,2017,health_other,2020,42.67,0.7047,0.0981,0.1953,8.3321,2.4605,2.921,5.3815
0.7,2017,health_other,2024,51.204,0.7047,0.0981,0.1953,9.9985,2.9526,3.5052,6.4578
0.7,2017,per_head,2020,42.67,0.7047,0.1213,0.1953,8.3321,2.4605,2.2239,4.6844
0.7,2017,per_head,2024,51.204,0.7047,0.1213,0.1953,9.9985,2.9526,2.6687,5.6213
